##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A, -2.0256335396449e-01, -2.1698847044757e+00,  5.1868587680535e-01,                    A,  1.6820011745714e+00,  1.3346492785679e+00, -2.0411233850345e+00,                    B,  6.5019047575931e-01,  8.2575480356725e-01, -1.4402178510739e+00,                    A,  1.0349339714773e+00,  1.5725438685711e-01, -4.5513651020582e-01,                    B,  9.5824124849794e-01, -5.7794826550597e-01,  2.2502414349636e+00,                    B,  2.8366019373792e+00,  1.9719810563078e+00,  5.9352487625221e-01,                    B, -1.8573595022357e+00,  4.2322368169498e-01, -1.9650498256935e-01,                    A,  7.1371090387729e-01,  1.8377893511920e+00, -1.3572114291890e+00
                    A, -3.4018652446067e+00,  8.2968443651762e-01,  2.2593104247468e+00,                    A, -1.4777174234212e+00,  1.4735077539891e-01, -2.2073689892184e+00,                    B, -2.3484302112207e+00,  8.1674752886351e-01, -4.3801492016470e-01,                    B, -7.9874780892461e-01, -2.0065403176000e+00,  1.1644997508837e+00,                    A,  2.3047467913839e+00, -2.2965573514032e+00,  4.9405708746752e-01,                    A,  1.2374919325435e+00,  1.5526467215972e+00, -3.1583127633663e-01,                    B, -3.3183389549093e-01,  3.3189803913395e-01, -4.5527610779142e-01,                    B, -1.2632885948075e+00,  1.8697619093617e+00,  1.4088877918329e+00
                    B, -1.5902388870585e+00, -9.2748462479611e-01, -1.4884607180753e+00,                    B, -7.4757353757018e-01, -1.0430848608907e+00,  2.7506819478656e-01,                    A, -3.4479713945156e+00, -7.3392540181071e-01,  2.7898284702062e+00,                    A,  4.2305341221796e-01, -2.3397789575036e-01, -5.5887621259920e-01,                    B, -2.8200184686663e-01,  2.2436503325154e+00,  2.1713806258294e+00,                    B,  2.3692616454159e+00,  1.4287677337007e+00,  9.9469972459531e-01,                    A,  1.1414754150370e+00, -1.4063341140619e+00,  1.3891370902047e+00,                    A,  3.1127175793344e+00,  3.9315717972303e-01,  1.5129779250843e+00
                    B, -1.7179786734964e+00, -1.5973795802015e+00,  2.2488500836825e+00,                    A,  8.1317460754555e-01,  7.4965301476634e-02,  1.0366052178832e+00,                    B,  1.5001283430087e+00, -2.0266746073625e+00, -8.3817779967387e-01,                    A, -3.9576415304482e+00,  1.7928482269191e+00, -3.2973490712023e-01,                    A,  2.1372134177069e+00,  1.6551486557755e-01,  2.3430544344027e+00,                    B, -1.7074240266360e-01,  4.3235227058102e-02, -1.6997135291567e+00,                    B,  2.8028087331249e-01, -9.4290268329732e-01, -1.9208484153738e+00,                    A, -6.8015352950235e-01,  1.2990061859781e+00, -4.1704077695086e+00
                    A,  2.2163111544014e-01, -1.5813388955420e+00, -3.5359502808347e+00,                    A,  2.4411100144760e+00,  3.3648122090649e+00, -1.7935797618355e+00,                    B,  1.6209021939599e+00,  2.2553041931185e-02, -1.8466331923974e+00,                    A,  9.2406587924226e-01,  1.7244807038972e+00,  8.3524341844287e-01,                    B, -2.3273751661785e-01, -5.0880326770046e-01, -4.2894925925416e-01,                    A,  4.5017743174761e-01,  5.6501269521154e-01,  2.9408263552456e+00,                    B,  9.8990165014910e-01, -2.4105789804181e-01,  8.7961589672443e-01,                    B,  1.3900668230350e+00,  1.2621537698864e+00, -3.9353865056253e-01
                    A,  6.7692248907409e-01,  1.5144741940625e+00,  8.8849904473025e-01,                    B,  2.0520137867760e+00,  6.7510982367158e-01, -7.1955285498714e-01,                    B,  3.2194089361214e-01,  4.5536514266038e-01, -1.5897746794487e-01,                    A,  2.1854751183023e+00, -1.6347239690956e+00, -1.0431500979610e-01,                    B,  2.5548159268236e+00,  1.8127975910901e+00,  1.8508998606578e+00,                    A,  6.0622222651010e-01,  2.8778609133678e-01,  1.1508544024767e+00,                    B, -3.9552813029343e+00,  1.3281739121189e+00,  2.0864512394115e+00,                    A, -2.8323197401391e+00,  1.1460156659236e+00,  2.5041888634283e+00
                    B, -2.0024064642903e+00,  2.1357483895636e-01,  2.1010934998598e-01,                    A, -3.3118829086386e-01, -1.2993005426107e-01, -3.5608257362313e+00,                    B,  1.2585771010280e+00,  2.2056108756681e+00,  7.7312884007423e-01,                    A,  2.0654500242248e+00, -2.9075108402761e+00, -2.4133194665036e-01,                    B, -4.4186963470841e+00, -8.3605753933713e-01,  1.2378797159644e+00,                    A, -1.2809506866820e+00,  2.9765420384761e+00, -1.8642172063101e+00,                    A, -2.4402321533464e-01,  1.0505947744673e+00,  5.2288772231738e-01,                    B, -2.7484152100588e-03, -2.9509656943220e+00,  2.4044040384053e-01
                    A,  8.0440281097624e-01, -7.4171976645716e-01, -6.9968158637608e-01,                    B, -2.0943362669087e+00, -1.2906123787134e+00, -1.2994940648436e+00,                    B,  7.0150154032722e-01,  1.1188063997010e-01, -4.2020268592604e+00,                    A, -9.6365585002528e-01, -1.2210075465533e+00,  6.6526914430522e-01,                    B, -2.8075611408971e+00, -2.0696031785304e+00,  2.3634845168897e+00,                    A, -4.8157240169154e-01, -6.7664923174799e-03, -2.9686259927306e+00,                    B,  1.7199807003868e+00,  2.6458994848443e+00, -2.1214512764495e+00,                    A,  4.0192478718329e-02,  2.0987332868862e+00,  2.1554008179561e+00
                    B,  6.8520872679495e-02, -6.7879635393290e-01,  1.4406124901970e+00,                    A,  6.6361346546347e-01, -2.1676486054295e+00, -1.0818871310679e+00,                    B,  8.9918949995843e-01, -1.8991299416996e-01,  4.7289054236430e-01,                    A,  2.5731078367355e-01,  3.1841660135388e+00, -1.1513203805798e+00,                    B,  6.8564106877497e-01, -2.6775014360238e+00,  2.6642721446786e+00,                    B, -2.0488915041171e+00, -9.7782823549430e-01,  2.3988213859518e+00,                    A, -1.1734117181514e-01,  5.8150760097865e-01, -8.0473151450241e-01,                    A,  2.2344682736067e-02,  9.9311486929145e-01, -1.8727367082882e+00
                    B,  6.5511632316191e-01, -2.1335200071895e+00,  1.3887726258670e+00,                    B,  2.3233451550371e-01, -6.8189803764829e-01, -2.9254696187286e+00,                    A, -2.0681080116745e+00,  1.1490231269838e+00, -1.2588032633552e+00,                    A,  2.3723425077444e+00, -1.1736023217355e+00, -9.7194815676732e-01,                    A,  1.1743690261228e+00,  1.5080349196927e+00, -5.7724461674890e-03,                    A,  1.0718450493929e+00, -8.7914076069333e-01, -1.0320759793536e+00,                    B, -4.2516966885624e-01,  1.4387826020850e+00,  1.8405106782946e-01,                    B, -9.5579119973885e-01, -3.0340350411919e+00,  7.7768045904647e-01
