##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    A, -3.0795070698808e+00, -2.0635611161026e-01,  6.6129405311736e-02,                    A, -1.1223727343182e+00, -2.0583222863669e+00, -5.0886459745289e-01,                    A, -4.8288580909457e-01, -4.9613277805681e-01, -1.0469008652431e+00,                    B, -1.4500315553044e+00, -1.3850506183972e+00, -3.3671422028527e+00,                    B,  7.6061468267572e-01, -2.7370283776699e+00,  9.0618417360224e-02,                    B,  5.3589648845796e-01, -2.6006821456738e+00, -1.5721367935618e+00
                    A, -1.6225435946096e+00,  7.7367179635659e-01, -4.3636614470324e-01,                    A,  7.5231168497572e-01, -1.2659349324449e+00,  5.1661441402473e-02,                    B, -4.4169322278229e-01,  1.8898584499819e+00, -9.7597992254807e-01,                    A, -3.3041183127545e+00,  1.0902110013530e+00, -4.9794731816196e-01,                    B,  2.5752946709310e-01,  6.0389973831176e-01, -9.8881176885929e-01,                    B, -1.1269237046241e+00,  1.4780052892607e-01,  5.6325955572355e-01
                    A, -5.5423586952545e-01,  8.1932681950358e-02, -1.6304516048306e+00,                    B,  1.2012740217613e+00,  1.1433932640144e+00, -6.6188757154239e-01,                    A,  8.3744950041001e-01, -8.3852462221806e-01, -1.8522473448511e+00,                    B, -5.4147774822876e-01,  2.6744958253931e+00, -6.2465764641400e-01,                    A, -4.1565098939904e-01, -2.5350242875998e+00, -6.6860791699420e-01,                    B,  1.0498884368795e+00,  8.3538137704088e-01,  9.3272578253730e-01
                    B,  4.1273446016903e-01,  1.8576835071197e+00, -1.3294077758646e+00,                    B, -2.8771727312384e-01,  4.2948355919285e-01, -3.1651935333361e+00,                    A, -4.0323647068260e-01,  9.5196122651462e-01,  8.7704353774049e-01,                    A,  5.6161291322972e-01, -1.0905690821408e-01, -1.5750033135259e+00,                    B,  7.0874415974335e-01,  1.3163625609073e+00,  1.0924083070544e+00,                    A,  1.9802871295404e+00, -3.3732667004980e-02, -9.8412525689041e-01
                    B,  1.1700375724386e+00,  1.9171858447000e+00,  4.7852522566072e-02,                    B,  1.3989646715145e+00,  1.7986926365253e+00, -8.4853838612440e-01,                    A, -1.9625702406340e+00, -1.7944094930476e-01, -8.1123701059148e-01,                    A,  9.8738636545160e-01, -5.7556506961552e-01, -8.1303435880300e-01,                    B, -2.1388978612838e+00, -8.5050465558277e-02,  9.1975326898165e-01,                    A,  4.1057373943464e-02, -1.2477330437455e+00,  3.2988310889278e-01
                    B,  5.4934879454815e-01,  1.8331936521355e-01,  8.9655280177797e-01,                    B,  1.2766041197295e+00, -3.2650029087216e-01,  3.1442806299952e-01,                    A,  1.3418813522638e+00, -9.7194900606650e-01, -8.7317185192281e-01,                    B,  1.4539677422906e+00,  1.4895103774963e+00,  5.1341993296974e-01,                    A,  1.7390065169956e+00,  2.3850580342939e-01, -9.4949412064534e-01,                    A, -3.9009404957671e-01, -6.7043378017782e-01,  3.4747257242847e-01
                    A,  4.6141132069473e-01,  4.2249416340089e-01,  1.2813511980820e+00,                    B, -5.8577146150823e-01, -1.7484536128458e+00, -9.2920906010839e-01,                    A,  2.4832419005579e-01,  4.2431701044296e-01, -7.3807526565382e-01,                    A, -4.5465800681879e-01,  1.8658769056770e+00,  2.4741566207522e-02,                    B, -3.0046018802987e+00, -8.2285458717045e-01, -3.1960508681465e-01,                    B,  1.2803528267459e+00,  7.7670176400492e-01, -2.1926408790459e+00
                    B, -1.1678353576741e+00, -1.3293739422610e-01,  1.5147035397397e+00,                    B, -1.3175520509901e+00,  6.1859371067023e-01, -1.9598785760088e+00,                    B, -2.4574352018211e-01,  6.4430117653491e-01, -2.0213097711271e+00,                    A,  1.1144638941091e+00,  3.4253088072975e-01, -2.8129660186130e+00,                    A,  8.1715919943467e-01,  3.4319662147502e-01,  1.3670907291637e+00,                    A, -1.1198773635197e+00,  7.0024228567601e-01, -3.8580887175234e-01
                    A, -5.8707983882003e-01, -1.7874438792594e+00, -4.2206360594283e+00,                    A,  1.5572094858352e-02,  1.6913424540198e-01, -2.2559316868959e-01,                    B,  1.2752929836967e+00, -1.6913476913331e+00, -1.4702161014385e+00,                    B,  1.6896623754403e-01,  1.3219597970569e+00,  1.0978446117129e+00,                    B, -2.7344548209670e-01, -5.3066290785254e-01, -1.0996775121833e+00,                    A,  1.4662291553595e+00, -2.4741957355883e-01,  1.7838970200607e+00
                    A,  1.7836034085656e+00, -2.1929846731438e+00,  3.3404700965715e-01,                    A, -5.6634778430444e-01,  1.9196213113329e+00, -3.2368609025356e-01,                    B,  2.3430367705089e+00,  1.7619276143407e-01,  5.7760819107972e-01,                    B,  1.4837867421801e-03, -1.1815781433093e+00,  7.0650953686137e-02,                    A,  3.2847989201863e-01, -3.7292562179028e-01, -1.5567171353384e+00,                    B,  9.7527956604964e-02,  4.5667021538148e-02,  3.2305154449062e-01
