##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    B, -3.8986840380376e-01,  1.1886747347098e+00,  5.9611912584434e-01,                    A,  2.5520786369320e+00,  5.5678079522885e-01, -8.6329205759846e-01
                    A,  5.5833216098975e-01, -3.2125296479014e+00,  1.8032523996959e+00,                    B,  1.6784956560589e-01,  5.8355271072161e-01,  1.0806118874290e+00
                    B,  2.6906491769256e+00, -4.1286662625752e-01, -1.0320618762071e-01,                    A,  1.5876299857990e+00,  9.8272009241248e-01, -4.2693719197747e-01
                    A, -2.5801219646136e-01,  2.4713594445500e-02,  1.5156664297079e+00,                    B,  2.5423057501029e+00,  8.0947011489380e-01,  1.1683607679972e-01
                    B,  1.2686813808136e+00,  2.0098739243459e+00, -1.3774682312318e+00,                    A, -7.9595603871417e-01, -6.2705460845071e-01, -1.3277395776995e-01
                    B,  1.4780854128076e+00, -1.5637019882664e+00, -2.4236985503214e+00,                    A, -5.1558874570417e-01,  1.1571227505631e+00, -9.0864140913864e-01
                    B, -1.0177566275355e+00,  1.0725391773259e+00, -1.6315841762877e+00,                    A, -1.9151771366281e+00, -1.5832404523348e+00, -1.1701277990555e-01
                    A, -5.1620492630534e-01,  5.5518338046029e-01, -3.3831764794852e-01,                    B, -3.8651691690724e-01,  7.7066519029981e-01,  5.0734072721283e-01
                    A, -5.7397596567103e-01,  1.6964695360113e-01, -9.8213723633406e-01,                    B,  1.5081448092074e+00,  1.2231840381883e-01, -1.2223326222285e-01
                    B, -3.4321425098939e-01,  3.8461404120263e-01,  1.7794521926378e+00,                    A,  4.8178474502111e-01,  2.6502960859225e+00, -1.3060378881904e+00
