##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A,  2.2353955833176e+00, -6.1996727905907e-01, -8.3261457410374e-02,                    A, -3.8449883289184e-01, -8.9271904369830e-01,  9.8007246178897e-01,                    B,  1.6012227583761e+00,  2.5571088686479e+00, -9.5208251994926e-01,                    A, -2.1974597753618e+00, -9.9454320480783e-01, -1.0140733751786e+00,                    B,  9.1572781319488e-01, -5.9257569674229e-01, -2.4599833889902e+00,                    B, -4.3505237959010e-02, -1.8838505664497e+00,  1.3618674636243e+00,                    A,  6.4775600498403e-01, -2.4512007218342e+00, -7.4136905330119e-01,                    B, -3.0243954310908e+00,  7.0697182201696e-01, -1.2161955929066e+00
                    A,  3.1872171633345e-01,  3.1110469399189e-01,  3.1997826937286e+00,                    B,  1.5264735214689e+00,  1.5753889139507e+00,  1.4856865697543e+00,                    A,  2.8644966026547e-01,  9.1805871843228e-01,  6.4844447994211e-02,                    A,  1.1012783959481e-01, -1.6578380121640e-01,  1.7983013106872e+00,                    B,  3.5675121955633e+00,  1.6576484544283e+00, -1.2464710939905e+00,                    B,  1.0798282244584e+00, -7.3252169640527e-01,  7.3040961122695e-01,                    A,  4.1053884581320e-01, -1.4143074280706e+00,  1.2231893744202e+00,                    B, -1.8461751369842e+00,  2.7821305750575e-02,  1.4219959403216e+00
                    B, -1.5061963171170e+00, -9.7770790811372e-01,  1.5961878205266e-02,                    A,  2.9498445278092e-01,  1.3726488884774e+00,  3.2089043124772e-01,                    B, -2.4044897090688e-01,  2.9072723663319e+00, -2.0453142281717e+00,                    A,  2.9807499617135e+00, -2.4043847776580e+00,  2.3701869918783e-01,                    B, -6.8055051159307e-01,  1.6228787713228e+00, -1.4358397490551e+00,                    A,  1.1778591440943e+00, -8.5467098168970e-01,  7.7940066478765e-01,                    A, -6.2244275932262e-01,  2.4497610948244e+00, -4.8134304046248e-01,                    B, -2.9558630094717e+00,  2.2882495667359e+00, -2.6263482138018e-01
                    A,  1.1325786682069e+00,  2.7590030630179e-01, -2.7673921319532e-02,                    B,  2.2918745578346e+00, -4.0201599604944e-01,  1.5511306946642e+00,                    B, -9.3970530869598e-01,  3.0478584658383e-01,  1.7830103399430e+00,                    A, -1.3484319405822e+00,  1.2521754315608e+00, -1.6993398723370e+00,                    B, -6.8787662255580e-01, -4.7971659354959e-01, -2.7945497673348e-01,                    A,  7.6677149334982e-01, -3.2307525434841e-01, -1.6023862369195e+00,                    B, -2.9610512865962e+00,  1.1580669620714e+00, -1.8580081149108e-01,                    A, -8.3278557539340e-01,  1.4647263949504e-01, -2.5437151369375e+00
                    A, -1.1769274553032e-01,  1.8695549861042e+00, -8.2154090836889e-01,                    A, -4.2599749680639e-01,  5.5469809776905e-01, -1.1713549442877e+00,                    B,  2.2883330713581e+00, -2.6968323611761e-01,  2.2711903604492e+00,                    B,  1.1229983296307e+00,  8.4900127567244e-01, -2.4679310057852e-01,                    A,  5.1224827751758e-01,  7.3584536995828e-01, -2.1650316792503e+00,                    A,  1.1732741541380e+00, -1.7729896831096e+00,  3.1487702230402e-01,                    B,  7.1423357151814e-01, -9.4850511216086e-01,  6.4185167539504e-01,                    B,  1.2189235308664e+00,  3.0391658073794e+00, -5.2220704877264e-01
                    A,  2.5602047481516e-01, -7.1464397021172e-01,  1.1661581246561e+00,                    A, -4.0141927594915e-02,  4.2377544125846e-01,  5.7295231191873e-01,                    A,  1.3201543775526e+00,  8.2507107543142e-01, -8.6856607647782e-01,                    A,  4.3589145538657e-02,  2.7973963157381e+00,  1.4963864737911e-01,                    B, -9.6551324509160e-01,  1.1102197917631e+00,  1.4519012114360e+00,                    B, -1.5656561725229e+00,  1.8018471238296e+00, -5.9499178073550e-01,                    B,  1.8322127319028e+00, -8.6236513360772e-01,  1.8267242427197e+00,                    B, -7.9265926966000e-02, -2.1833543882003e+00,  1.0980994658804e-01
                    A,  6.9096929894491e-01,  1.5979305985368e+00,  1.6614824939932e+00,                    A,  8.1782585863415e-01, -2.9133818228984e+00,  5.8418666998141e-01,                    A,  1.1460031393353e+00, -1.4896307017977e-01,  8.7347047692025e-01,                    B, -3.3883017738422e+00, -1.2785850950821e+00, -7.9662385826674e-01,                    B,  2.9894024967755e-01,  1.5436484331848e+00, -1.2262228646042e+00,                    A,  1.6313682005531e+00,  3.2474668356681e-01, -3.1352090863992e+00,                    B,  1.5201609970226e+00, -1.1553015602611e+00,  9.9592266400960e-01,                    B, -1.2073428117333e-01, -8.5330770746080e-01, -1.3520994112624e+00
                    A,  1.6952596776729e+00, -9.3285479293924e-01,  7.2781919308747e-01,                    B, -6.3406829070965e-01, -6.8043975955863e-01, -3.5743363069049e+00,                    A, -1.8769025669745e+00,  1.5743721444973e+00, -7.7057435927600e-01,                    A,  3.7206550919561e-01,  1.1155060950555e+00, -6.4368515806065e-01,                    B,  1.0708106004270e+00, -2.6814689377361e+00, -4.6184379796373e-01,                    A,  8.1964663662827e-01, -8.4202285662184e-01, -1.3251991397350e+00,                    B, -3.7160247133010e-01, -1.1498910650773e+00,  5.9182907687289e-01,                    B,  3.4168302489888e-01, -4.1790853466365e-01, -3.5468330098898e-01
                    B,  1.0710382684044e+00,  4.5387251788875e-05,  2.7690299261483e+00,                    A,  1.4222471904598e+00, -7.0040540227136e-01, -1.8704446286380e-02,                    B, -1.7206107123192e+00, -4.1974841683504e-01,  1.1836416719758e+00,                    A, -2.6727996404898e+00, -7.5332645563639e-02, -2.2653486220622e-01,                    B, -1.7628343026620e+00,  1.0237831905596e+00, -3.0765955099315e-01,                    B, -9.5642657158660e-01, -5.3805279068776e-01, -1.9322644910455e+00,                    A,  1.9379150096242e+00, -1.5572456468330e+00, -1.2676280681729e+00,                    A,  1.1095476861759e+00,  2.4872211363687e+00, -8.6070871989976e-01
                    A,  1.1560462018195e+00, -1.4757968270589e+00,  1.6632296321727e+00,                    B, -2.7416313968355e-01,  1.6747903984520e+00, -8.7379480490605e-02,                    A, -1.9089778475468e+00, -3.8372617177913e+00, -8.4096311515928e-01,                    B, -5.6994561457675e-01,  7.8478534146626e-01,  1.4781527680624e+00,                    A,  1.1026428750641e+00, -1.5678024778664e+00, -4.7029027125450e-01,                    A,  7.6654425099784e-01,  1.2536088041099e+00,  3.0148665698927e-01,                    B,  1.4023955698679e+00,  6.9199737000431e-01, -1.2093746034075e+00,                    B,  1.8999234703995e-01, -1.0392180799106e-01,  1.2129588958952e-02
