#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B,-1.636119644307e+00, 1.091735012416e-01,-1.933714471157e+00,                  B,-1.154531588906e+00, 3.897434513432e+00, 3.335688392514e+00,                  A,-1.250379559199e+00, 7.518971120446e-01, 5.101302505292e-02,                  B, 1.503240700166e+00,-6.684203041387e+00, 1.108703141313e+00,                  A,-1.778208186712e+00,-3.740557391750e-01,-3.028442963042e+00,                  B,-2.360099924316e+00, 4.013938477282e+00, 6.087967619204e+00,                  A,-2.639579318756e+00, 1.751893586207e+00,-1.229088353994e+00,                  A, 5.487417698098e-01, 2.769978461635e+00, 3.931515435192e+00
                  B, 2.237217647440e+00,-1.613858418363e+00,-5.233480478830e-01,                  A,-1.269947927276e+00,-3.426128625720e+00,-7.628649691784e-01,                  B,-1.716876924915e+00, 5.008055357925e+00, 4.452324222774e+00,                  B, 5.570200124366e-01,-4.307821784160e+00,-4.835514168705e+00,                  A,-1.738391978384e+00, 2.352298203592e+00,-1.319843099538e-01,                  A,-1.080885382122e+00,-3.078228109166e+00,-8.612090571239e-01,                  B, 9.873050888847e-01, 4.216337278777e+00,-3.627473843461e+00,                  A, 2.882300728737e+00, 7.166832922584e-01, 2.953373772383e+00
                  B,-1.055409347324e+00, 4.188184337168e-01, 3.072345724292e+00,                  A,-4.154105830463e-01,-2.641873045796e+00, 1.846174443446e+00,                  B, 3.383115022251e+00, 4.114746965826e+00, 7.841301621378e-01,                  A,-1.478202905118e+00, 3.509583725141e+00, 1.794211491695e+00,                  A,-2.122712389815e+00,-7.708675635707e-01,-4.822105153175e-02,                  B, 2.595523661873e+00, 4.394563380644e+00,-1.094200945100e+00,                  A, 2.107336880489e+00, 3.723036884507e+00, 7.463668928940e-01,                  B,-5.797870765655e-01, 8.059331574496e-01, 1.909290365397e+00
                  A, 4.518372678002e+00, 5.337328563219e+00, 2.615182428197e-01,                  A,-1.550153839568e+00,-1.287522078186e+00,-2.459687473602e+00,                  B, 2.665723634708e+00,-1.972936518198e+00,-3.798323616541e+00,                  A, 8.937978913213e-01, 1.442626079805e+00, 2.824903832317e+00,                  B, 7.472795767214e-01,-2.363269548645e+00, 1.097877269693e+00,                  A,-2.573873299507e+00, 2.313005406516e+00, 6.396628480503e-01,                  B, 3.767575111634e-01, 1.159861121698e+00, 4.563540316903e-01,                  B, 2.240802161156e+00,-6.364760634284e+00,-1.297220333332e+00
                  B,-5.180827648082e-01,-6.492758886234e-01, 2.374204737999e-01,                  B,-1.323274379381e+00,-1.636756967709e+00,-2.247643063790e+00,                  A, 3.495211082628e+00,-4.043436388164e-02,-2.101694817565e+00,                  A,-4.433736578203e-01, 2.777699517102e+00, 2.645162496740e+00,                  A,-2.431545061132e+00,-8.677572014349e-01, 2.430922029428e-01,                  B, 2.504827873945e+00, 7.088252057574e+00, 1.907103199926e-01,                  B,-1.643726217747e+00,-3.817878157086e+00, 4.099335316091e-01,                  A, 2.957787747038e+00, 2.115717154205e-01, 3.849578492626e+00
