##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B, -6.6388969512146e-01,  8.2413337781101e-01, -1.6803111585070e+00,                    B,  2.9187705049011e-01, -1.1849083583017e-01,  5.1482890860346e-01,                    A, -6.2724408817447e-01, -2.8185736008142e+00, -3.5573024046756e-01,                    A, -1.6139931689658e+00, -8.0801230684485e-01,  4.8723853129331e-01,                    B,  2.0159130612005e-01, -9.0358296686120e-01,  1.4896740040856e+00,                    A, -3.9371984392383e+00, -1.5562394997638e+00, -1.1585294047292e+00,                    B, -1.7604738858120e+00, -1.7564883876677e+00, -3.1508009293608e+00,                    A,  1.3301220526860e+00,  1.0068090047177e+00,  2.4965402066842e-01
                    B,  2.5913191803254e+00,  2.2992989113340e+00, -1.3787820123994e+00,                    A,  1.0199809183729e+00,  1.0587153439027e+00, -2.6557679953001e+00,                    A,  3.2517284545986e-01,  1.3910774060391e+00,  2.0706297648810e-01,                    A,  2.7643593167272e+00,  2.8565691821673e+00,  1.0316914478566e+00,                    A,  1.4617493233647e+00,  1.6130014380250e+00,  1.5862240104257e+00,                    B, -4.6365132737390e-01,  1.2917385417293e-01,  1.8308676891297e+00,                    B, -1.1384487622276e+00, -1.0457322268893e+00,  5.1090598679112e-01,                    B,  7.4317361719563e-02, -1.6793410094744e+00, -1.4941639527240e+00
                    B,  2.5523446847401e+00,  2.5123277266822e+00, -1.0524480558439e+00,                    A,  2.7240339254825e+00, -1.4416880433054e+00,  3.3157038987912e+00,                    B,  6.7397932792993e-01, -1.2208133197288e-01,  7.6982306411660e-01,                    A, -7.9571658455289e-01,  2.7815425716752e+00, -2.6378129920705e-01,                    A, -1.0005367199561e+00,  1.0215197810546e+00, -1.7734355363050e+00,                    A, -1.3980893408067e-02, -2.0113637071442e+00,  6.2390759409147e-01,                    B, -2.2571906602031e+00, -2.7377356804963e+00,  3.2885197194506e-01,                    B, -2.4553757104410e+00,  1.6343291422337e+00, -5.7867958420799e-03
                    A, -1.7701843009268e+00, -1.7388234386939e+00, -2.2050600008955e+00,                    B,  1.0034354371725e+00, -6.6098593539993e-01,  1.6097882129326e+00,                    A, -1.6029415714638e-01, -7.4340102904868e-01,  6.1792824538364e-01,                    B, -7.6863019026332e-01,  4.2552784344515e-02,  1.3993334907549e+00,                    B, -5.9265843370658e-01, -1.8759087165221e-01, -5.0382538876662e-01,                    A,  2.3479689437824e+00,  7.1372951899378e-01, -2.3775176674326e-03,                    A,  3.8925411365581e+00,  2.3417925629669e+00,  5.8254619201061e-01,                    B, -9.9756035234581e-01,  9.2330630829219e-01, -1.6959884353449e+00
                    A, -1.1329137052155e+00,  9.7918288825943e-01,  1.3697462007286e+00,                    A,  3.7375753008081e-01,  3.7058365353375e+00, -7.3346894422750e-01,                    B, -2.4900043364307e+00, -1.7254539606376e+00, -9.2131403682299e-01,                    B,  6.6672875352219e-01, -1.2819077264863e+00, -2.9061052691360e+00,                    B,  8.5234495878532e-01,  4.5139180027114e-01, -5.2611369201227e-01,                    A,  1.2087178329470e-02, -7.3096153383121e-01,  4.5901556100802e-01,                    B,  2.4241994873808e+00,  1.1163412849964e+00, -9.4850462602625e-01,                    A, -2.5835101443048e+00,  1.4229720437240e-01,  1.2944535514727e+00
                    A,  3.1779704027333e+00,  3.2863425965908e-01, -7.7026236237596e-01,                    A,  8.8913658268739e-01,  1.2338276399018e+00,  6.6225366300650e-02,                    B,  8.0167219164059e-01, -2.9253600281816e+00,  6.2412677307472e-01,                    B,  2.3147532733996e-01,  1.3634070968657e+00,  3.3260362573027e+00,                    B, -6.2086277637234e-01,  2.0362321375377e+00, -7.5189156378027e-01,                    B, -2.1267662596866e+00, -2.9469103922979e+00,  4.0516760412436e-01,                    A,  2.6922092023636e+00,  4.8663965171244e-02,  1.6512343107360e+00,                    A, -1.1218234400284e+00, -2.6842317867417e+00, -3.1195329853612e+00
                    A,  1.1632853255660e-02, -7.1260109169908e-01, -1.1873978640610e+00,                    B, -5.4528226545730e-01,  7.5718275488665e-01,  2.0431548807780e+00,                    B, -4.5105995572792e-01,  2.0696339887684e+00, -2.0866436599162e+00,                    B,  1.0054229941652e+00,  1.0236305055588e+00, -2.4889906135217e+00,                    B,  2.0104482294941e+00,  1.2188874682868e+00,  4.1091744581513e-01,                    A, -7.1535023920727e-01, -1.0368155305567e+00, -1.7510972330801e+00,                    A,  1.2478743834903e+00, -1.8665649352152e+00, -1.7388744997632e+00,                    A,  9.0696910588628e-01,  1.6006193105368e-01,  2.2937149348384e-01
                    A, -1.2812945502209e+00, -9.3369168801204e-01, -2.0779401127210e+00,                    A,  1.4161736586167e+00,  9.5400663216772e-01,  1.3282119055990e+00,                    A,  6.4963196335466e-01,  1.2437213657553e+00,  3.4365618686386e+00,                    A, -1.2592259275305e+00, -1.6814965235718e+00,  1.8049466729667e+00,                    B,  2.5899665909373e+00, -3.4504923591422e-01,  1.9805274220220e+00,                    B, -1.1669112774701e+00,  4.6374913699017e-01,  2.0430840798131e+00,                    B,  8.3832158161225e-01,  1.9152286993914e+00, -9.8886942631765e-01,                    B,  2.9123151230965e-01,  5.7526434023065e-01, -2.3695612974586e-01
                    A,  9.5219676162171e-01, -2.2810227332260e-01, -2.7417635534410e+00,                    A,  2.0865687684994e+00,  5.2846990471955e-01, -3.0656272901103e-01,                    B,  4.9867024807797e-01,  2.6178813182114e+00, -1.4250405324331e+00,                    B, -7.4839012187834e-01,  6.0214538328247e-01, -1.3461670257351e-01,                    A,  6.0014239829844e-01, -1.5236898855549e+00,  9.2303560066028e-01,                    B, -9.1578996000117e-01, -2.3114737161724e-01,  3.4210465499496e+00,                    B,  1.3379467073489e+00, -2.5355949985002e-01, -9.9452335131594e-01,                    A,  1.5929535190264e+00,  2.2627960427152e+00,  8.2196219634516e-01
                    B, -1.7686573813268e+00, -1.9123760703189e+00, -1.8712223329979e+00,                    B, -1.0431815910351e+00,  4.8656602356296e-02, -9.6999010731409e-01,                    B, -9.7977126443502e-01,  1.4729692188025e+00, -1.8973267453846e+00,                    A, -1.1635882302818e+00, -1.9761955718219e+00,  1.1132621978267e+00,                    B, -3.1644048011918e-01, -8.3073353296369e-01, -1.7914692978660e-01,                    A,  2.4869964755391e+00,  4.9695189029585e-01, -1.7077138857769e+00,                    A,  4.8428997828385e-01,  1.7368587177159e+00,  5.5279269905828e-01,                    A,  3.9184704078665e-01, -1.6019944535250e+00, -2.0200006824943e+00
