#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B,-2.927938859073e-01,-2.441774116584e+00,-8.118202469743e-02,                  A,-2.550994185646e+00,-7.339111181209e-01, 2.049702901862e-01
                  A, 2.729690435875e+00, 2.066393089176e+00,-6.635021215344e-01,                  B,-4.501278064101e+00,-3.043145412692e-01,-3.145278722035e+00
                  B,-2.248458541090e+00,-2.681577160280e+00, 1.696996412164e-02,                  A, 4.049398235508e+00, 6.113092206417e+00, 6.036269565203e-01
                  B, 2.703118032891e+00,-5.646318334005e-02,-7.491837552373e-01,                  A, 2.822988324557e+00, 3.846826220692e-01,-5.277376593946e+00
                  B,-5.770575442694e-01,-6.889677901001e+00,-3.174270493994e+00,                  A, 9.584253454983e-01,-2.308393242117e+00, 9.310642562074e-01
