#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B,-8.632694012631e-01,-2.350390774501e+00,-3.320420802767e+00,                  A, 3.842004450889e+00, 2.455190375275e-02,-1.680195387818e+00
                  B,-1.056701890174e+00,-2.108442892631e+00, 2.037685924968e-01,                  A,-7.098117476838e-02,-3.375597452860e+00,-2.256049351312e+00
                  A,-5.094673852643e-01,-1.890442896128e-01,-5.759801616998e-02,                  B,-1.102323083955e-01,-1.034372131020e+00, 2.232663378183e+00
                  A,-9.824438347777e-01,-3.975931413332e+00, 2.149570437473e+00,                  B, 4.554046567467e-02, 1.753496238174e+00, 8.348430991581e-01
                  A, 1.846670672614e+00, 1.677377263315e-01,-5.793904012888e-01,                  B, 1.562017329562e+00,-3.345247125755e+00, 2.085314800365e+00
