#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B, 2.364678331333e+00,-9.297559479588e-02, 1.734091034755e+00,                  A, 1.165505020623e+00, 1.319765358260e+00, 1.609751901552e+00,                  B, 2.404362468367e+00,-7.616841446632e-01, 5.983502672156e-01,                  A,-1.297963558216e+00,-9.520137899133e-03, 3.087435394689e+00,                  A,-4.920327344321e-01, 1.408768143890e+00,-1.638417958341e+00,                  B,-1.173274352165e-01,-6.278412384917e-01, 3.450144680359e-02,                  B, 2.106449994919e+00,-9.854109836746e-01, 1.111894673392e+00,                  A, 2.335817982507e-01, 7.578452134875e-02,-1.504774898522e-01
                  A,-8.359506993030e-01, 5.811990164448e-02,-2.680036905221e-01,                  A, 1.657146460852e+00,-1.073363283531e+00,-2.060005587881e-02,                  B, 7.050337618458e-01, 2.153070486409e-01,-2.417773010097e+00,                  A, 1.529515013815e+00,-4.019169463635e-01, 8.724089998359e-01,                  B, 6.675572048695e-01,-9.105872436393e-01,-1.689702752002e+00,                  A, 1.538882096775e+00,-2.319214426797e-02,-2.523952521361e+00,                  B,-3.901119220406e-01,-1.759297990794e+00, 4.051370668811e-01,                  B,-1.022823199614e+00, 1.308227355021e+00, 1.199814438787e+00
                  A,-4.935517147364e-01, 1.678112872081e+00,-4.836865406216e-01,                  B, 8.247842384296e-01, 5.905189744409e-01,-7.257900328615e-01,                  B, 2.537779676363e+00, 1.120650380844e-01, 3.766849267276e-01,                  A, 2.184325959560e+00,-2.385262254891e-02, 2.857966934517e+00,                  B,-6.690514453777e-01,-9.056280243026e-01, 9.921222924809e-01,                  A,-5.276150124329e-02, 1.174322951134e+00, 2.347206957844e-01,                  B,-1.584763116724e+00,-7.337206877005e-02,-1.399243791580e+00,                  A, 3.746733818669e-01,-6.583132622994e-01, 9.380951891891e-01
                  A, 4.621898838208e+00, 3.089229675726e+00,-5.702036203661e-01,                  B,-6.306857230964e-01,-1.896529977034e+00,-6.151101628607e-01,                  B, 4.581563887900e-01,-1.227761443779e+00, 3.321404967535e-01,                  A, 2.167100451002e+00, 2.913495801736e-01,-2.702469059663e-01,                  A,-4.408560853230e-01,-1.027582825568e+00, 5.060629079168e+00,                  B, 1.150067855837e-01,-2.234375072629e-01,-1.394831162762e+00,                  B, 2.458452832432e+00, 1.453151078308e+00, 1.544426410215e-01,                  A,-5.532353680680e-01, 1.935340203655e+00, 2.074764984002e+00
                  B, 1.463494799760e-01,-2.939313894734e+00, 1.468071710674e+00,                  B,-3.939732477237e-01, 1.749934772216e-01, 3.989533952752e-02,                  A, 5.869934353527e-01, 7.731605487436e-02, 9.187454119463e-01,                  B, 4.412484643832e-01,-1.129836103280e+00,-9.105948042181e-01,                  B, 2.212267506853e-01,-6.301640205958e-01,-4.156777940738e-01,                  A, 1.440053285352e-01, 2.127332652822e+00, 1.993799684935e+00,                  A,-3.339158532700e-01,-5.971674198936e-01,-6.631272168251e-01,                  A, 2.713251175464e-01,-9.096515304644e-01, 1.057862844642e-02
