##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    A, -1.1512631216196e+00,  2.0323937169457e+00,  8.1885394135767e+00,                    A,  1.2703053035899e+00, -2.0925382007037e+00,  5.5037229645227e-01,                    B, -1.2900321703360e+00,  9.2333667421074e-01, -2.0448033696590e+00,                    B, -1.8157487172959e+00, -3.7634713798013e+00, -2.8878859599848e+00,                    B,  4.7530428148376e-01, -1.5041906760037e+00,  2.1407150228263e+00,                    A, -4.0996799556324e-01, -6.2283133982243e-01,  4.6733136215706e+00
                    A,  1.9766233948307e+00, -5.3198741170183e-01,  6.7370865828942e-01,                    A, -7.5393640449652e-01,  1.1291803309376e+00,  9.2476313409691e-02,                    B,  6.6568711999670e-01,  2.6757877460539e+00, -3.1930994985049e+00,                    B, -3.9209412039033e+00,  1.2835668834504e+00, -3.3348515222284e+00,                    A, -1.1115548962315e-01, -2.0975133844628e+00, -9.5491321895033e-01,                    B, -4.4239626721985e+00,  7.9785864286609e+00, -7.1399271631566e+00
                    B,  2.6674066636386e+00, -8.8212457062576e-01, -3.5014723778787e+00,                    A, -3.6557811615591e+00, -1.3522785630626e+00,  1.3772030090776e-01,                    A, -4.8613431972839e+00, -1.6229850557461e+00,  1.9681785352038e+00,                    B, -2.8296306006909e+00,  2.4021764606801e+00,  2.9815178134984e+00,                    B, -5.2456915454084e+00,  6.0192369417821e-01, -3.5499815599846e+00,                    A,  1.6634793491260e-01, -1.5272599158536e+00, -2.2429752136469e-03
                    A,  4.3503343708094e+00,  2.6262356176214e+00, -2.6243200044469e+00,                    A, -1.8911053420374e+00, -8.8347500978762e-01,  3.2343233788169e-01,                    A,  5.4475154415445e-01,  1.5414616637171e+00, -1.3658598642385e+00,                    B, -4.0363268901782e+00, -2.3534774391836e+00, -1.6274690385006e+00,                    B, -2.4220841322957e-01, -2.9698859378141e-01,  1.2219720872928e+00,                    B,  2.5447689888074e-02, -4.5417118768801e-01, -5.0318211064899e+00
                    A,  6.8933235609448e-01,  7.4264960158451e+00, -3.9385972454547e+00,                    A,  1.5984374471583e+00, -6.4688402952905e-01,  2.9238950405574e-01,                    B, -2.9784662408473e+00, -2.3363981703959e+00, -2.0478742940746e-01,                    B, -6.4958022437158e-01, -4.0083672865567e+00, -3.5027063390614e+00,                    B, -2.1362958180969e+00, -8.9149379587893e-01,  1.0287484570329e+00,                    A, -2.1118060558850e+00, -4.1027512317004e+00, -5.8604649848871e+00
                    A,  9.6115703857437e-01,  2.7651913701752e+00,  1.5026686096461e-01,                    B, -4.6541825488938e+00, -5.4459646513989e+00,  3.6031186172852e+00,                    A,  4.3829153440444e-01, -2.5487552159214e-01, -2.5453489736269e+00,                    B, -1.2504357477899e+00, -3.7747652800580e-01,  5.2485105074496e-01,                    A,  2.7551974457909e+00,  6.8719811930418e+00, -1.1101253523528e+00,                    B,  1.3976392045980e+00, -3.8767730883158e+00,  5.4959634246977e+00
                    A, -9.1729794249139e-01,  2.9440497450143e-01,  1.6847739986937e+00,                    A, -7.4631987473779e-02, -1.6103344648225e+00, -4.6273336286758e+00,                    A, -1.5544514582363e+00, -9.1500676914554e-01,  2.9780869046386e-01,                    B,  5.8920206392055e+00, -2.8476878645783e+00,  6.2392374943073e+00,                    B,  2.1185352701086e+00,  6.7657852351934e-01, -8.1918667872929e+00,                    B, -2.8239087180435e-01, -6.8593235661579e-01,  8.3757839813331e-01
                    B, -4.1189994411307e+00, -2.0782528423069e-01,  1.8053984117733e+00,                    B,  4.5663059279866e+00,  2.0488113476428e+00, -4.2617070734592e-01,                    A,  3.9714318725602e-01, -9.7325068261505e-01,  2.7246368388716e+00,                    A,  8.1221152100499e-01,  2.1860756610122e+00,  2.5203503355233e-01,                    A, -1.8808089182006e+00, -1.9871067852015e-01, -2.9559777122862e+00,                    B, -5.3382567906415e-02,  4.1199421376870e-01, -3.4474307686841e+00
                    B,  9.4091662588565e-02, -5.9156265164296e-01,  2.4999931657443e+00,                    A,  4.3502263310146e+00, -3.3945696768571e+00,  3.7469480199331e-01,                    A,  6.8783403166975e-01, -5.9961365630117e-01,  1.1465043640880e+00,                    A, -3.4158702734522e+00, -2.8051640517767e+00, -1.4536178482551e+00,                    B, -7.6731644951047e-01,  1.8703631032644e+00,  3.4694117170525e+00,                    B, -1.5104403830840e+00, -6.6979261545331e+00, -9.6703226542478e-01
                    A, -7.5812059983892e-02,  3.0203807491284e+00, -3.5293500529108e-01,                    B, -6.0639791605910e-01, -3.7910943997165e-01, -7.1569479283439e-01,                    B, -6.7041782106236e+00,  6.7000821529170e-02,  1.8905766881515e+00,                    A,  1.7058453245727e+00,  8.8974311252445e-01, -1.6849885277868e+00,                    B,  2.0881124905227e+00,  4.2339486886726e+00, -2.2680851375780e+00,                    A, -9.9142911417467e-01, -1.4836430889521e+00,  1.4164353066202e+00
