#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B, 1.457470909044e+00,-8.408684576679e-01, 2.465483378533e+00,                  A,-2.398218908211e+00,-5.880072305802e+00, 2.295654117460e+00
                  B,-3.256961460554e-01, 1.542973600967e+00, 4.074963025840e+00,                  A,-5.835983085909e-01, 4.409535963574e+00, 1.365733256718e+00
                  A,-2.824089583731e+00,-3.232939011083e-01, 3.104271309251e+00,                  B, 4.059168922484e-01, 7.230399312830e+00,-2.087107333588e+00
                  A, 1.681767702274e+00,-2.778799745556e+00, 1.272842638594e-01,                  B,-3.274230933117e+00,-4.864737172995e+00,-6.244474537257e-01
                  A, 3.271097661302e-01,-8.637144942219e-01, 1.130710919124e+00,                  B,-3.355891334759e+00, 2.740949842128e+00,-6.666339515718e+00
