##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    B,  4.7050706910951e-01, -2.5851972817090e+00, -4.3968376535287e-01,                    B, -5.1580787686887e-01,  8.2238565412047e-01,  7.0422814519180e-01,                    A, -4.7600981610860e-01, -1.0186127292317e+00,  1.9329940388166e+00,                    A, -1.7011155741424e-01,  3.2626410405080e+00, -9.2306311562261e-01
                    A, -4.6359531490751e+00, -3.3240224112373e-01,  6.7732737101115e-01,                    B,  8.4390504213309e-02,  3.0434490643216e+00,  2.5483545485061e+00,                    B, -1.8057490401023e+00, -1.1170274154237e+00, -2.1068623394317e-01,                    A, -9.5007913428301e-01, -2.2106294454521e+00, -7.6659269819224e-02
                    A,  6.9802736856300e-01, -3.2147609929405e+00,  1.4473419369484e+00,                    A,  2.0990325581777e+00,  1.6193855084051e-01, -6.6955319138384e-01,                    B,  3.7930904100640e-01,  5.9871380568136e-01,  1.2629524557871e+00,                    B, -1.3000056119899e+00,  2.8553451290481e-01, -1.0250603074854e+00
                    A, -7.5977593413296e-01, -3.3533630343042e-02,  8.3084417622446e-01,                    B,  1.5618445531099e+00, -1.0987231321669e+00,  9.6203055788031e-01,                    A, -1.1111722832959e+00, -2.7786683055564e-01, -8.5074163125086e-01,                    B, -1.3112263864995e+00, -1.9829549605494e+00, -1.3705553661547e+00
                    A,  1.2679788825226e+00, -1.7056800095383e+00,  2.8566401300149e-01,                    B,  2.2486318175511e-01, -4.9114756108454e-01,  1.9574926066804e+00,                    B,  9.9797385739695e-01,  2.6217608049823e+00,  1.1222676038889e+00,                    A, -2.6850994731627e-01, -2.8407146419161e+00,  2.5921502925258e-01
                    B, -2.5727349662462e+00,  1.2454935393113e+00, -4.0839483091315e-01,                    B,  1.8058867796226e+00, -2.3523207877779e+00, -9.8733334595928e-01,                    A,  7.7117845046013e-01,  2.3227413069439e+00, -8.2315008067427e-02,                    A,  7.5171009486664e-01,  5.6597775357709e-02, -3.2529533903498e+00
                    B,  1.3471857121218e+00,  2.6963510395887e+00, -1.9080021304539e+00,                    B, -5.5404958076687e-01, -5.3087326750744e-01, -8.2038967102224e-03,                    A, -2.5856006742508e+00, -1.4709215667593e+00, -2.1849342276481e+00,                    A, -6.0530768530931e-01,  1.4302085797552e+00, -2.1642202465047e-01
                    A,  1.1432056738747e+00, -1.9711451349846e+00,  3.1060252127667e+00,                    B, -1.2035845764088e+00,  1.9943331947786e-01,  1.7930480303359e+00,                    A,  2.1131007082216e+00, -9.4738017491573e-01,  1.1390911593594e-02,                    B, -1.7338913251291e+00,  1.3274505671384e-01,  4.2059696566132e-01
                    A, -1.6679259781818e+00,  4.1914333376722e-01, -2.7029121796696e+00,                    B,  1.9396657587428e-01, -1.4990107714147e+00,  3.1245126314374e-01,                    B,  1.4344602487544e+00,  7.7681155750147e-01, -2.6272171958311e+00,                    A,  1.1988290611015e+00,  9.7873084031684e-01,  5.0634491934233e+00
                    A,  2.3746300086283e+00, -1.5261064779265e+00,  1.1520033316091e+00,                    B,  7.9191624579981e-01,  2.1651795106930e+00,  1.4308799878565e+00,                    B,  3.1711877764822e+00, -2.3933746119116e+00, -2.6458539224092e+00,                    A, -2.8525499578210e+00, -2.7702463155671e-01,  2.2404869958280e+00
