#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B,-1.215447001688e+00, 1.340066241762e+00, 2.889541394134e+00,                  B,-2.321312888758e+00,-4.265223697626e-01,-1.497668909066e-01,                  A,-5.691709777738e-02, 3.691228961423e-01,-2.820133550983e+00,                  B, 1.462783471807e+00,-1.245195282588e-01,-1.079548593974e+00,                  A, 1.156749074713e-01, 3.751666880632e-02,-8.404161375957e-01,                  A,-1.202280486872e+00, 1.719336329404e+00, 4.398910242657e-01,                  B, 3.229563892163e-01,-5.259131224398e-01, 1.041482435449e+00,                  A,-6.650649771426e-02, 9.271313227397e-01, 1.324903303677e+00
                  A,-6.028322577465e-01,-1.124663307309e+00,-5.456879188530e-01,                  B, 1.810861682449e-01, 1.112080266699e+00, 4.105037594990e-01,                  B,-1.588734016162e-01,-8.293358591678e-01, 1.680143356034e+00,                  B,-8.767740738504e-01, 2.019617567602e+00,-1.463088141821e-01,                  A,-4.001805535146e-01,-3.649192657106e-01, 4.335960639466e-01,                  A, 3.316926068020e-01, 5.634581735117e-01,-1.756496448924e+00,                  A,-1.677763532700e+00,-6.744245063311e-01, 7.492127071308e-01,                  B, 1.698652755910e+00, 1.907947801022e+00, 1.449724936520e+00
                  A,-8.833333057701e-01,-2.902077324805e-01,-6.485193038285e-01,                  B, 2.269228620799e+00,-1.208482662470e+00,-2.338004149418e+00,                  B,-2.143926223577e+00,-1.901213573326e-01, 3.163180033148e+00,                  B, 1.552779080693e-01, 3.113561998574e+00, 4.539328380658e-01,                  A,-1.933464677469e-01, 5.965903346075e-01, 2.384074263316e+00,                  B,-2.070704148805e-01,-1.218863764976e+00,-4.880382172841e-01,                  A, 6.515272855448e-01,-6.206371405647e-01,-1.412256532955e+00,                  A, 1.591284948552e+00,-2.924161616583e-01, 6.314412563121e-01
                  B,-9.095120781823e-01, 7.303339782692e-01, 5.600421340357e-01,                  A, 6.580141198267e-01,-1.432568100045e+00, 7.018785153495e-01,                  A,-2.136518009025e+00,-8.905559469056e-01,-2.127277859603e-01,                  A,-2.352723783785e+00, 1.083177122949e+00,-2.093772546748e+00,                  B,-1.531390229767e+00, 6.138484441174e-02,-2.068756050273e+00,                  B, 2.337124419107e+00,-3.659495396131e-01, 1.811741731930e+00,                  A,-3.088660725210e-01,-8.623189164823e-01,-9.128152339839e-01,                  B, 1.295150937352e+00,-8.443819690466e-01,-4.599878349616e-01
                  A, 1.619081513145e+00,-1.986550206021e+00, 9.233498293730e-01,                  B,-7.442748905541e-01, 9.459475228501e-01, 8.927646782412e-01,                  B, 7.161443348153e-01, 7.888286182772e-01,-1.203854200150e+00,                  A, 7.571268970808e-01,-1.346482880039e+00,-8.554224675748e-01,                  B, 1.807905668570e+00,-2.106056454768e-01, 2.398200498606e+00,                  A,-1.202210752240e+00,-8.574027913358e-02,-8.482101992670e-02,                  B, 9.660822841329e-01, 1.996658722099e-01, 1.521374780845e+00,                  A, 9.822176852769e-01, 1.742582572310e+00,-6.294466093165e-01
