#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2
                  A,-8.308710329855e-01, 6.677752849228e-01, 7.494571621529e-01,                  B,-1.116798811435e+00, 3.262974333863e+00,-1.336966487092e+00,                  B, 2.859129123381e+00,-1.489882449946e-01, 1.518856555340e+00,                  A, 1.529714410016e+00, 3.418566579885e-01,-1.125424610019e+00,                  B,-1.523641099856e+00,-9.370287877574e-01,-5.217193544909e-01,                  A, 1.477646732043e+00,-1.885022340120e+00, 3.403260162055e-01
                  A, 4.239477843355e-01, 1.133603022530e+00, 1.826703260759e+00,                  B,-2.347372792059e-01, 6.961362638063e-01, 1.013115848875e+00,                  A, 1.373738059852e+00, 1.735783001727e+00,-2.679175044490e-01,                  B, 3.895308962453e-01, 4.572275236923e-01,-8.742574705226e-01,                  B, 2.122788478855e+00, 8.223293315391e-01, 4.149530115482e+00,                  A, 4.377989402917e-01, 3.354885574594e+00,-3.167929179740e+00
                  B,-2.901260643225e+00, 4.121711412462e-01,-6.491906035316e-01,                  B, 1.445110745847e+00, 7.991389048082e-01, 2.423351845974e-01,                  A, 5.052251363612e-01, 1.321660894355e+00, 2.104367860981e+00,                  A,-1.672210748899e+00, 5.806594220389e-01, 5.110857296971e-01,                  B,-7.224190205229e-01,-1.765119182943e+00, 1.421627327998e+00,                  A, 1.985708207489e+00,-2.662346747175e-01,-3.436339105893e-01
                  B, 2.537595973005e+00, 1.466287047173e+00, 1.913500762419e+00,                  A, 1.826369590970e-01, 3.567429448957e-01, 1.170682225648e+00,                  B, 2.620041269154e-01, 2.240856644110e+00, 1.575290728246e+00,                  B, 2.633427865288e-02, 5.064280102450e-01,-4.579212181313e+00,                  A,-7.010720453396e-02,-1.063970680228e+00, 1.298419088954e+00,                  A,-6.075157972125e-01,-3.037653988684e-01, 3.883875302148e-01
                  B, 1.897119176067e+00,-3.246193480304e-01,-9.763542300919e-01,                  A,-1.791447758631e+00, 2.753629467191e+00, 2.603602369868e+00,                  A, 2.713645836755e+00, 4.487757660160e-01, 2.070871013786e+00,                  A, 4.603180671379e-02, 1.425680369474e+00,-2.059828175648e+00,                  B, 8.681258557100e-01, 1.341010125870e+00, 6.999690103754e-01,                  B,-5.360498893877e-01, 1.488013568143e+00, 5.529325763798e-01
