#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  B, 7.779190011493e-02,-4.807509432273e+00, 3.292993635828e+00,                  B, 1.709284850522e+00,-4.687688996240e-02, 7.043656593657e-01,                  A, 8.752913302267e+00,-1.963048898246e+00, 7.473577002022e-01,                  A,-8.313088424065e+00,-6.869888079752e+00,-1.579478780500e+00
                  B,-8.689456679805e+00, 1.191294401457e+01,-6.783484755009e-01,                  A, 3.149627689664e+00, 1.775882245229e+00,-3.780509698106e+00,                  B, 6.874322964944e-01, 1.958365068512e-02,-7.409700395673e+00,                  A, 5.392046469197e+00,-3.081464150071e-01,-1.664748697497e+00
                  B,-5.347532356703e+00,-8.397956978979e-01, 2.287776362419e+00,                  A, 1.864632406440e+00, 7.231852444663e+00,-7.914109955607e-01,                  A, 1.135421196559e+00, 3.579113493400e+00, 2.643572243216e-01,                  B, 7.723473282691e+00,-4.666942350982e+00,-1.934313111121e+00
                  B, 4.679731349348e+00,-3.367737528616e-01,-3.219202050742e+00,                  A,-5.807799139743e+00, 4.801072489680e+00, 4.061251212541e+00,                  A, 2.144784584669e+00,-1.955522607852e+00, 7.353995330394e+00,                  B,-1.592255699955e+01, 1.606440578370e-01,-8.121761230053e-01
                  A,-1.119223998347e+00,-4.936851215723e-01,-6.461808533818e+00,                  B,-1.009917051287e+01,-6.882203693292e+00, 3.750298409023e+00,                  A, 4.154100714601e+00, 1.463325913598e+00, 4.723235560614e+00,                  B,-6.267998448856e-01, 2.717242632673e+00, 3.129191720380e-01
