#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  B,-5.146583988687e-01, 1.011843598659e+00,-1.771987758473e-01,                  B, 5.005825412287e+00, 1.285229617762e+00, 1.644076197217e+00,                  A, 1.914422241781e+00,-9.389311532670e-01, 2.085831783602e-01,                  A, 1.114981396337e+00,-1.992651758718e+00,-2.534420284714e+00
                  B,-2.669234326365e+00, 1.608755177761e+00,-1.373831665317e+00,                  A, 2.187504043793e+00,-6.545592399739e+00,-3.053462602836e-01,                  A, 4.345780574228e+00,-5.545171631290e-01,-2.164198282123e+00,                  B, 7.485542530623e-01, 1.401850042954e+00, 3.484912799742e-01
                  A,-4.469263150810e+00, 3.378025496586e+00, 2.366631806062e+00,                  B, 1.691816690745e+00, 3.825134741820e-01,-4.912257133866e-01,                  A,-1.655212834796e+00, 1.112054202498e+00,-1.746668025347e+00,                  B,-3.718479953696e+00, 5.039637141222e-01, 6.309214512167e-01
                  A,-7.619896936833e-01,-3.437813720808e+00, 1.185816780492e+00,                  A, 3.066768973106e+00,-3.332137419880e+00,-1.048074195845e+00,                  B,-3.742547594009e-01, 3.777394710401e+00,-1.876169697742e+00,                  B,-3.207798271396e-01, 7.683221860175e-01,-1.044785746018e+00
                  A,-1.648523369664e+00, 6.002337793054e+00, 1.171237563407e+00,                  B, 1.576563823386e+00, 2.358057918985e+00,-4.503809565325e-01,                  A, 2.250643459046e+00,-3.387086894698e+00, 2.164670889286e+00,                  B, 2.070065954692e+00,-6.033262501838e-01,-2.472288692440e-01
