#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2,          p8 flavor,              p8 x0,              p8 x1,              p8 x2,          p9 flavor,              p9 x0,              p9 x1,              p9 x2,         p10 flavor,             p10 x0,             p10 x1,             p10 x2,         p11 flavor,             p11 x0,             p11 x1,             p11 x2
                  A, 5.054872318790e-01, 2.173477226216e+00, 1.465467895598e-01,                  B,-3.722778658000e-02,-1.774845178929e+00, 2.626202149831e+00,                  B, 8.342651761586e-01,-1.303792074862e+00,-1.712869084376e+00,                  A,-2.599796019701e-01, 2.881432493989e-01,-2.942527300976e+00,                  A,-2.777971536909e+00, 2.809074980404e+00, 1.329968704992e+00,                  A, 4.980446313222e-01,-8.270644276832e-01, 3.100820447297e+00,                  A, 1.806173154386e+00, 8.694025448999e-01,-1.777651584349e-03,                  B,-2.541800211747e-01,-1.907611693210e+00,-7.595171368490e-01,                  B,-1.409141010468e+00, 1.921640226982e+00, 2.377426080436e-01,                  B,-1.113785173018e+00,-1.652184229415e-01, 3.112783122405e-01,                  A, 1.559040352058e+00, 1.810454478135e+00,-2.397129249327e+00,                  B,-4.370219720281e-01, 2.367250363656e+00,-1.486090544431e+00
                  B, 1.043890734450e+00, 6.095132609607e-01, 3.828121902222e+00,                  B,-1.677756765589e+00,-1.638804620326e+00, 2.022669092076e+00,                  A, 5.883252314409e-01,-1.977343309064e+00, 8.635027080025e-01,                  B, 8.389150434745e-01, 2.128962848917e+00, 1.023036784135e+00,                  A,-1.297065527093e+00, 4.266972191675e-01,-5.224906778166e-01,                  A,-1.129150785251e+00,-2.404818524521e+00,-1.214201900586e-01,                  B, 1.089485536390e+00, 1.418991925559e+00,-1.182754358491e+00,                  B, 5.874495261970e-01, 3.881470977886e-01,-1.885733860274e+00,                  B,-1.803153221236e+00,-1.279328284403e+00,-8.632787571385e-01,                  A, 1.342800415630e+00, 6.274561764942e-01, 1.198396726469e+00,                  A, 6.486668934407e-01, 6.733278082992e-02, 1.510393598897e+00,                  A,-7.255650104939e-01, 1.470638649693e+00, 1.205427942651e-01
                  A,-2.375256109119e+00, 2.762395673838e-01, 1.534714898826e+00,                  B, 3.491314199990e-01, 1.169420485251e+00,-1.016857555141e+00,                  A, 5.957836528640e-01, 4.443373174865e-01, 3.117395361239e+00,                  B,-1.231441305954e+00,-2.275616681373e-01,-1.129711379003e+00,                  A,-6.479794182927e-01, 4.924900286788e-02, 8.699780549907e-01,                  B,-1.326673380052e-01,-3.193369486480e+00, 3.736266204217e-02,                  B,-1.483925112435e+00,-1.626255025488e+00, 9.221125120038e-01,                  A,-1.701490981375e+00,-9.435704759897e-01,-1.832939617652e+00,                  A, 8.380015030356e-01,-4.747674229741e-01,-2.703793104354e+00,                  B,-1.742361610958e+00, 9.516620344733e-01,-2.593903628238e+00,                  A, 1.701257294288e+00, 2.532750922399e+00,-1.739065468274e-02,                  B, 2.335980378937e+00,-5.914751268632e-01, 1.867846458318e+00
                  B,-6.892914784252e-01,-1.548969905679e+00,-3.772120879822e+00,                  B, 3.749552707477e-01, 1.736111589996e-01,-5.729695983228e-01,                  A, 1.758271026030e+00, 6.611991359393e-01,-1.016356147546e+00,                  A, 1.393054047733e+00,-8.705840675230e-01, 1.274822545915e+00,                  B, 1.239337772516e-01, 2.942713638277e+00,-1.585035897938e+00,                  A,-1.031813019328e+00,-1.397523837063e+00, 1.974259351431e+00,                  A,-3.772736430191e+00, 2.359915613528e+00, 5.984396795554e-01,                  A,-2.324316163059e+00,-5.111852837311e-01, 5.827548628343e-01,                  B,-5.025104465959e-01, 8.234555452568e-01, 4.631439240934e-01,                  A, 2.424992310709e+00, 3.381916873597e+00,-1.083814082200e+00,                  B, 1.181550437458e+00, 2.874550999920e-01,-2.670477086893e+00,                  B, 2.978022431424e-01,-1.373330166027e+00,-1.962258340663e+00
                  B,-1.360244240221e+00, 1.154400731357e+00, 2.265591186986e-01,                  A,-1.450726082123e+00,-9.622897519232e-01,-1.024300968607e+00,                  B,-2.129889292872e+00,-1.389431295193e+00, 1.146666719665e+00,                  B,-1.358705300921e+00,-1.568849680263e+00,-3.296005424382e+00,                  A, 1.923443505039e-01,-6.563705351302e-02,-1.450400087780e-01,                  A, 1.043080221274e+00, 1.646928154946e+00, 1.634689068216e+00,                  B, 1.408025128540e+00,-2.559224177014e+00,-2.569576547694e-01,                  A, 1.162294728382e-01, 2.694106938122e+00, 2.997337934369e-02,                  A,-3.449186883155e+00,-9.549539564673e-02,-2.738227519936e+00,                  A, 2.097854823270e+00,-2.379432013522e-01,-5.914488549246e-01,                  B, 1.049433070356e+00, 1.115365143887e+00, 6.432441154432e-01,                  B,-1.393503099838e+00, 1.826016254326e+00, 2.165689476863e+00
