##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A, -1.1216092524430e+00, -1.3196000087273e-01, -9.0194296185441e-02,                    B,  7.3758253099442e-02,  6.8385690524532e-01, -6.6822697051887e-01,                    A,  2.2435690577944e-01,  7.7915509069720e-01,  2.0604142663148e+00,                    A,  2.4097925671887e+00, -6.4307445151178e-01,  1.1463717527123e+00,                    B,  8.4219538048310e-02, -9.6000661240640e-01,  8.2732683804744e-01,                    B,  1.2954364106253e-02, -6.1223154143747e-01, -1.4316145625034e+00,                    A, -1.3928446349469e+00,  2.7529857098202e+00, -1.4015244395187e+00,                    B, -8.4426888410202e-01,  1.3719270890192e+00, -7.9452803507551e-01
                    B, -6.2275438131741e-01, -1.5508169364109e+00,  1.8586488257628e-01,                    B,  2.5583866218379e+00, -1.9146640914457e+00, -1.0516980226479e+00,                    A,  1.5308379968414e+00, -1.3880412861699e+00, -7.7533758094612e-01,                    A, -8.5176626038914e-01,  1.0859642739182e-01,  7.6340833858662e-01,                    A, -3.3513588977919e-01,  9.1629938962775e-01, -3.7298568907186e-01,                    B,  6.5753431545249e-01, -4.1340204130634e-01,  2.8320948649697e-01,                    B, -6.5127092778041e-01,  1.1997173818512e+00,  1.0427752484702e+00,                    A,  1.4969041851274e+00,  4.6432979098918e-01, -5.0182191412703e-01
                    A, -1.7180196291932e+00,  9.4390621037787e-01, -1.8366965008793e+00,                    B, -1.0628320452707e+00,  7.9301833351495e-01,  2.3226874221428e+00,                    B,  9.6545184058258e-01, -4.0663338078327e-01, -1.1681213385809e+00,                    A,  2.2761891173960e+00, -8.8609639903244e-01,  1.6906926037279e+00,                    B,  5.9283188336978e-01, -1.1017335630066e+00, -4.0215867713280e-01,                    B,  7.2781668952411e-01,  1.3617357897047e+00,  1.0579462694481e+00,                    A, -4.1743175843235e-01,  9.4281972832224e-01,  3.6825969581938e-01,                    A, -7.4431061230903e-01, -6.9813989494166e-01,  1.9848216020597e+00
                    A,  8.0934864257852e-01,  9.5123553892414e-01,  6.8329674546427e-01,                    B, -1.0369255372797e+00, -2.7677265897777e-01, -9.2795282401031e-01,                    A,  1.3933890178796e-01, -2.6597742770417e-01, -1.5511943523915e+00,                    A, -1.0548222595874e+00, -1.1562517206307e+00,  4.8274072795750e-01,                    B,  1.0399794167805e+00, -9.2497605010356e-01,  1.7409487544147e+00,                    B, -2.3825846031471e+00,  2.3220031006839e+00,  2.5066453264172e-02,                    B, -8.9997301082933e-01,  9.8122876324276e-01, -6.4770167295654e-01,                    A, -5.4182390638316e-01, -1.5636832055387e+00, -7.1196463843418e-01
                    A,  1.0980790800585e+00, -9.1925203404172e-01, -6.2033907844966e-01,                    B, -4.1656061330060e-01, -3.7207041008656e-01, -1.8283882507059e+00,                    A, -1.5344014046858e+00, -7.9375148871912e-01, -1.4643836370922e+00,                    B, -8.6866794802973e-01,  3.7568003512223e-01,  2.6897368002941e-01,                    B, -1.2575849583989e+00,  1.6241545269579e+00,  1.4809091095342e+00,                    A, -1.8556406935873e-01, -4.3556667459354e-01, -7.2791836985740e-01,                    B, -2.3842084473358e-01, -1.1003889791934e+00,  1.2393571249723e+00,                    A,  1.8854959852586e+00,  5.2083162103744e-01,  1.1916113361425e+00
                    A,  1.8801984094859e+00, -1.5603592724422e+00,  1.4083575928582e-01,                    B, -4.8084735807730e-01, -2.9198997717830e-03,  1.6119827792481e+00,                    A,  9.1604760227817e-01,  1.3888528104691e-01,  4.5368250749588e-01,                    A, -1.6808029055713e+00,  1.7163043246112e-01,  6.8791972487214e-01,                    B,  3.0791828687432e-01, -1.5643366831495e+00,  1.2277434133652e-03,                    B,  2.8174008953710e+00,  5.4576421170211e-02,  1.3396402598702e+00,                    A, -7.0697945318347e-01, -1.5398616891532e+00,  8.5781325552679e-02,                    B, -1.0621453267216e+00,  2.6807546892095e+00, -8.8952762388916e-01
                    B, -3.4886139526380e-01,  1.1072940206858e+00, -1.4040528085169e+00,                    B, -2.0766658802125e-01, -4.3057980313764e-01,  7.7445015863891e-01,                    B, -1.1142712350715e-01, -2.6386349897863e+00,  1.4547757250240e+00,                    A,  4.0098885471476e-02, -8.4653142501266e-01, -1.7953934094513e+00,                    B,  1.5098975334950e+00, -1.8849523704376e+00,  5.7226081760747e-01,                    A, -8.7662993485474e-01,  5.8522405932139e-01, -9.7079101274548e-02,                    A, -7.6695806578822e-01,  1.0887481306841e+00,  1.3782769847608e+00,                    A, -3.6187844260608e-01, -8.9131864978768e-01, -5.0784771857985e-01
                    A,  1.6512937433055e+00, -2.0719938994774e-01, -9.1782710850176e-01,                    A, -7.7482519137774e-01,  3.3737022013792e-01,  8.7788330903426e-01,                    B,  8.7839905884729e-01,  1.0599290400009e+00,  3.7068643617634e-01,                    B, -9.7718663854832e-01, -1.1573542539222e+00, -2.0379909663829e+00,                    B, -4.0251750567928e-01,  1.4036647860587e+00, -1.0394806523324e+00,                    B,  2.9954869707655e-01, -6.0325698167573e-02, -1.4393059207350e+00,                    A, -1.1760380172581e+00, -1.1341935629055e+00, -4.0566926975142e-02,                    A, -1.0812048202615e+00,  1.1849514072886e-02, -5.9669200198492e-01
                    A,  2.3351721323896e+00, -1.1820487460214e+00,  5.6913685660521e-03,                    B, -1.4405638081883e+00,  2.0467584666520e+00,  1.0185467005685e+00,                    A,  1.4779198253220e-01, -1.7622211392188e+00,  2.5590768549089e-01,                    A, -3.1055217811018e+00, -1.1897717719725e+00,  7.0908466847420e-01,                    A, -7.7096318417835e-01,  2.8464597150214e-01, -2.0403372635758e-01,                    B,  2.6453387937231e-01,  5.2940885439735e-01,  1.2436381244165e+00,                    B, -9.9885694827100e-01, -5.6145836053898e-01, -2.4802113100610e+00,                    B, -2.4380300015283e+00, -1.4923761863181e+00, -9.3790178012416e-01
                    B, -6.2015145520609e-01,  8.6164062034100e-01,  1.3310555891394e+00,                    A,  2.2324470333954e-01,  8.7350780148642e-01, -2.3079269302448e+00,                    B, -1.7992566469333e+00,  1.4189839808811e+00, -1.7191399250989e+00,                    B,  7.8275628758233e-01,  1.7112274355213e+00, -1.0086533805332e+00,                    A, -1.7237075981874e+00, -2.6619131653968e-01, -1.1055310353778e+00,                    B,  1.0065815728813e+00, -1.2370514319047e-01, -2.1823035291715e-01,                    A, -3.4902779471222e-01, -2.2032120410939e+00, -1.0827144469435e-01,                    A,  5.3143013645457e-01, -1.4952802191425e+00,  7.6950569408927e-01
