##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2,            p8 flavor,                p8 x0,                p8 x1,                p8 x2,            p9 flavor,                p9 x0,                p9 x1,                p9 x2,           p10 flavor,               p10 x0,               p10 x1,               p10 x2,           p11 flavor,               p11 x0,               p11 x1,               p11 x2
                    B,  1.5444498072601e-01,  1.1254819020172e+00,  3.6398109765633e-01,                    B, -1.1433378897260e+00,  6.1444534104862e-01,  2.9592264538783e+00,                    A, -2.1096264767732e+00, -2.2177329437289e+00,  7.2165251527299e-01,                    B,  8.2747434656051e-03, -1.6311270819921e+00,  7.3315420404794e-01,                    A,  1.3783659410490e+00, -1.5964891190603e+00, -2.3720694389420e-01,                    B,  2.1367144495079e+00,  3.8440866993384e+00, -2.5667286418614e+00,                    A,  1.3564692593380e+00,  5.7834939285082e-01,  2.4061740236213e+00,                    A, -7.1452678725078e-01,  2.6699353700857e+00,  1.4683392356457e+00,                    B, -4.2030894998917e+00,  4.7516118797161e-01, -6.5570734753127e-01,                    B, -3.0101588888638e+00,  2.3932473464073e+00,  6.5195611387351e-01,                    A, -6.3142858509430e-02, -4.4932667491473e-01,  3.8582076511212e+00,                    A, -1.9209105345675e+00, -2.5387545131516e-01,  5.5384786858969e-01
                    B, -1.2293806586973e+00,  3.3820997995300e+00,  7.4988907421979e-01,                    B,  1.4527025052928e+00,  6.9621678040157e-01,  3.9868166665226e-01,                    A, -2.6703678950218e+00,  9.4082664468941e-01, -5.6576773707381e-03,                    A,  2.1177887287149e+00, -2.1429214180392e+00,  3.0306688797645e+00,                    A,  5.8316601025939e-01, -1.7068178201847e-01, -3.8781207682558e-01,                    B, -2.2631258581196e+00, -1.3053621536876e+00, -7.3340202570704e-01,                    B,  9.3582428318017e-02,  1.3989472952209e+00, -2.0392329422061e+00,                    A,  6.0574122043492e-01,  1.0054616925418e+00,  1.9407569861730e+00,                    A,  8.8768902468351e-01,  1.8049330983717e-02, -1.4744270446496e+00,                    B, -9.2149622915832e-01, -6.8620169512686e-01, -5.8123298088302e-01,                    B,  2.9867062194276e+00,  2.1377840313440e-01, -9.4217736931311e-01,                    A, -1.2014927097103e+00, -1.4329644110645e+00,  6.7942156280778e-01
                    A, -1.5900605590859e+00,  1.4353587858126e+00,  4.3295997878590e-01,                    B, -4.2314510507675e-01, -4.2084626018680e+00,  8.5467833285804e-01,                    A,  6.5089552368301e-01,  6.7389924475062e-01, -3.0873900472900e-01,                    A, -3.5284287998297e-01, -1.7873689748646e-01,  1.8832451347739e+00,                    B,  2.6656126349165e+00,  1.1255604003655e+00,  1.0078798958507e+00,                    B, -4.6024782186513e-01, -2.0774905962625e+00, -5.1652619400828e-01,                    A,  2.3778665730243e+00,  2.4112596977945e+00,  1.9219320118029e+00,                    B,  4.3269641204892e-01,  2.9256333309223e-01, -2.0305584741015e+00,                    B, -2.8716846499306e+00,  1.6020647876534e-01, -3.2275658071474e+00,                    A,  9.8558498174843e-02, -5.5706914050367e-01,  8.2312492363237e-01,                    A,  1.0679825002941e+00, -1.6930131015300e+00,  1.0229565337327e-01,                    B, -8.8716188359942e-01,  1.1575577768681e+00, -7.6307856139287e-01
                    A, -1.1495956512417e+00,  1.3125841329167e+00, -3.5351675084652e+00,                    A,  1.5859793659756e+00, -1.1328271025891e+00, -2.3922596730414e-01,                    A,  2.5782517924675e+00, -7.1261804478780e-01, -2.0134367173035e+00,                    B, -3.6433453192156e+00,  3.8823166904430e+00, -9.5116018711426e-01,                    A,  5.0206819968429e-01, -2.5869720528726e+00,  2.9149398610356e+00,                    A, -7.6602053379942e-01, -3.6208351716909e-01, -2.0360153559495e+00,                    A, -4.8477409817426e-01, -2.4524354821449e+00, -2.2810545727933e-01,                    B, -2.0430075531493e+00, -1.9212451475815e+00, -2.3631165642706e+00,                    B, -8.8949549949286e-01, -7.6576368288581e-01, -3.4730515016647e-01,                    B, -4.1079487433325e-02,  3.9565617737334e-01,  4.0036105300981e+00,                    B,  1.4598994181803e+00,  3.5890044553107e-02, -1.8290496152814e+00,                    B, -1.3405602597564e+00,  4.9842864338840e-02,  1.1978026999369e+00
                    A,  9.0555861348601e-01, -8.2454686198018e-01,  1.0556097200139e-01,                    B, -7.2159570500163e-01,  1.8542333131956e+00, -1.3898790658404e-01,                    B, -7.7389624076399e-01, -3.9605687009967e-01,  2.5080738160768e-01,                    A,  1.6880884990478e+00,  1.0091520015714e+00,  1.9663826094614e+00,                    B,  1.1475551148962e+00, -2.8441804238867e+00,  2.2416685836869e+00,                    B,  9.7206623953136e-01,  2.1965423257730e+00,  5.1649015862430e-01,                    A,  1.5482546016061e+00, -1.6412321968453e+00,  1.6271526170101e+00,                    B,  5.4721459624671e-01,  4.9683352491786e-01, -3.2650680099937e+00,                    A, -3.1437465918346e+00, -1.5425871829845e+00, -5.3444568481263e-01,                    A, -7.6763612890766e-03,  2.0730305569272e+00,  8.1633352323748e-01,                    B, -5.7373285201138e-01, -1.3344309331496e-01,  2.5238250055783e+00,                    A, -1.2471796408650e+00,  1.7075021919991e+00,  1.5712228227251e+00
                    A,  3.5792822768427e-01,  1.5472058521703e-01, -5.0697141578697e-01,                    A,  1.8383723962377e+00, -1.4361487224230e+00,  7.6779995618154e-01,                    B, -1.3690250071735e+00, -2.0524357994602e+00, -3.4295498464366e+00,                    B, -1.0654467252690e+00,  4.8815894719559e-01, -2.4287257217329e+00,                    B, -2.8147144333290e+00,  9.6962538571420e-02, -8.9616767710841e-01,                    A, -1.8068389787041e+00,  1.8730711309002e+00,  1.1674547748244e+00,                    B, -2.4128238548220e+00,  1.6563484890469e+00, -1.2305941902171e+00,                    B, -7.0404516583736e-01,  9.4128957404327e-01, -1.1621303333737e+00,                    A,  1.1116162698840e+00, -4.9059884094199e-01, -2.4286386349214e+00,                    A,  3.2247665568822e-01, -1.0827513401308e+00, -1.4955462332192e+00,                    A, -2.3521104416391e+00,  1.7152354749893e+00, -2.2859372445739e+00,                    B,  7.0686700325185e-01, -2.2767220954115e+00,  5.7139072714648e-02
                    B,  6.3999430393061e-01,  1.8882451099826e+00, -2.0557549635206e+00,                    A,  2.3242804721270e-01, -7.7787109542100e-01,  2.5963402900735e+00,                    B,  8.8609308015099e-02,  2.7041670207839e+00,  2.1409259822527e-01,                    A, -1.5360368678318e+00, -1.2367006831694e+00,  8.1768002988994e-01,                    A,  1.3649753331375e+00,  8.4214017441977e-02, -8.6342477802058e-01,                    B,  8.6501171933363e-01,  1.4340186591499e+00,  1.8897924381992e+00,                    B,  3.3873661530682e+00,  1.1603077352005e+00,  1.9643561825679e-01,                    B,  1.1283943611745e+00,  4.6468033946549e+00, -2.2057711878740e+00,                    A, -1.1241645421801e-01, -1.2716162761698e+00, -1.0540622888447e+00,                    A, -8.8075129601307e-01,  2.7748552946817e-01, -6.9338637732083e-01,                    B,  1.9127720479254e+00, -1.9050952236380e+00, -2.3168875579968e+00,                    A, -2.0980886773608e+00,  5.4660110006682e-03, -1.1493852865539e+00
                    B, -2.2461844009143e+00,  4.2013269510737e+00,  2.0210166038996e+00,                    A,  8.7909765823424e-01, -1.5810181946999e-01,  3.1238567313730e+00,                    A, -2.3710573114920e+00, -2.7823470125384e-01, -1.5732181191867e-01,                    B, -9.8614538233135e-01,  1.3165768266287e+00, -3.1750327417477e-01,                    A, -1.5330414058440e+00,  2.9373612472090e-02,  2.0216514285435e+00,                    B,  3.3035635791658e-02,  4.6651510095283e+00,  1.5160403959685e+00,                    B, -1.2748983724970e-01,  2.9992657002333e-01,  1.6773836230943e+00,                    B, -1.6628067803913e+00, -3.7627896324866e+00, -1.6194234261413e+00,                    A,  2.7793114881612e+00,  6.3008120897169e-01, -6.8013289918287e-01,                    B,  4.2994901243189e-01,  3.4185148069825e+00,  9.3990587943849e-01,                    A, -1.0765940798564e+00, -1.5818867074239e+00,  2.0355924353316e-01,                    A, -1.2587043167169e+00,  1.2715617618448e+00, -4.8537175810413e+00
                    B,  2.6071904261055e-01, -1.7568831676923e+00, -5.8448052813007e-01,                    A, -1.4510030616041e+00, -9.6767142593119e-01, -2.6135484179690e+00,                    A,  1.1197827088479e+00, -4.0676527326384e+00, -1.5630431910274e+00,                    A, -2.8895656350752e+00, -1.3625959841918e+00,  1.7835610540681e-03,                    B,  1.1375264730869e+00,  2.2226602919768e+00,  2.5765690730724e+00,                    A, -8.7989592992241e-01, -2.1080959245402e+00,  2.0107138985582e+00,                    A,  8.3545414514495e-01, -8.4328389049152e-02, -1.3091218358857e-01,                    B, -1.0931738636703e+00,  3.0731618772676e+00,  1.8223576681232e+00,                    B,  3.7373855186985e-01, -2.0998749757333e-01,  1.6160483548973e+00,                    B, -2.8394387375495e+00, -1.8046904809916e+00, -2.5496885921959e+00,                    A, -1.9857520089589e-01, -3.7731271742998e+00, -5.3369188894221e-01,                    B,  3.0161150467046e+00,  7.0813673481026e-01, -7.6169203002632e-01
                    B, -9.7283285484341e-01, -2.7266773090256e+00,  7.6614107358128e-02,                    B, -8.1161392122017e-01,  4.7168492603499e-01,  1.3963262401731e+00,                    B,  6.4501815538082e-01, -2.2996533875688e-01,  4.9264082577844e-01,                    A, -1.5706366929138e+00,  1.2814267541628e+00,  3.4813826365686e-01,                    A, -1.7972625904066e+00, -1.2491726193685e+00, -2.1721579266847e+00,                    A, -7.0615559359468e-01,  1.4449400214450e+00, -1.8048822317011e+00,                    B,  2.6698108602529e+00,  2.6846600503113e+00, -2.7410320648736e+00,                    A,  1.2110631866365e+00,  1.7135737616849e+00,  1.0399177179753e+00,                    A,  4.9183529808416e-01,  3.1590604479823e-02, -2.1830947255945e+00,                    A,  1.6326623709271e+00, -2.6997125979964e+00,  4.7134568194205e-02,                    B,  1.1726465512591e+00, -1.5494302985391e+00, -1.5620646165654e+00,                    B, -3.2525927833241e+00,  1.7609126457614e+00, -6.7495008176121e-01
