##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    A, -1.4206885579738e+00, -1.3635628457117e+00, -1.6690298320376e+00,                    B, -1.2841664260826e+00, -1.4274741681751e-01,  1.8218995473734e+00,                    A, -1.2285268183017e+00,  1.9210615710268e+00, -1.1152577116672e-01,                    B, -5.2742354051152e-01,  5.6929060331020e-01, -1.9686300427896e+00
                    B, -5.3068782346479e-01, -6.9899860574203e-01, -1.1394694074697e+00,                    B, -2.2358932554927e+00, -6.0019163691533e-01, -8.2891491204002e-01,                    A,  1.5088533344430e+00, -6.8861634232578e-01,  9.8170193111644e-01,                    A, -1.8897741769100e+00, -1.1509632254894e+00,  1.2811163174413e+00
                    A, -1.9863787521110e-01, -1.1785679265032e+00, -1.4850642680115e+00,                    B, -1.2071503631773e+00, -9.3335340019756e-01,  1.5003667747556e-01,                    B,  3.6083192847654e+00, -2.0958275091043e+00,  4.8914961605231e-01,                    A, -2.0792619177733e+00,  3.4443730842620e+00, -4.4590216536764e-01
                    B, -1.0803326539445e+00, -2.4481150424824e-01,  1.3112123208713e+00,                    B,  1.9052580751894e+00, -7.9238097382455e-01, -6.9712248467914e-01,                    A, -1.2856787921535e+00,  2.2215011502877e+00,  3.9775020851917e+00,                    A, -1.0300258275205e+00, -2.5777483714132e-01, -2.0255690504924e+00
                    B, -7.4235004210466e-01,  6.0785474169779e-02, -1.9106942253539e+00,                    A, -1.0859220042840e+00,  3.9143241403565e-01, -7.3746600099025e-02,                    A,  3.5899589626722e+00, -1.6343838510377e+00,  6.5122256665760e-01,                    B, -3.5877365052596e-01, -1.8723566172972e+00, -4.0702188551165e+00
                    A, -8.2210421469743e-01, -2.9932634271717e-01, -1.5857606588975e+00,                    B, -1.2281297514146e-01,  9.9056295887826e-01, -4.8533143286371e-01,                    B, -2.0434072789779e+00, -3.0381248887450e-02,  1.5317876373468e-02,                    A,  7.9237452631788e-01,  4.0994949182853e-01,  9.6770447727438e-01
                    A,  8.1680607620012e-01, -1.9533856244234e-01, -1.5646138064823e+00,                    B, -1.1197766437606e+00, -1.1628304017385e+00, -1.4481473600176e+00,                    B, -2.2986036188374e+00,  1.9904669808339e+00, -1.2121704782967e+00,                    A,  5.8013057830030e-01, -1.0559582435128e-01,  3.5436720481678e+00
                    B, -4.9278079101552e-01,  1.8562848916364e+00, -3.5872777773348e-01,                    A, -9.0898205955935e-01, -2.7958776206046e+00,  2.4258018651092e+00,                    A,  2.2473050082748e+00, -6.3182446309612e-01, -3.4204816250674e+00,                    B, -7.6344042059466e-01,  2.1456714338294e-01,  5.1167596460973e-01
                    A,  2.1358369125696e+00, -3.3855115229093e+00, -1.0794904552167e+00,                    B, -1.9854441514919e+00, -5.6517913893721e-01, -1.2162314776344e+00,                    B,  3.6214918279337e+00, -1.9781494095129e+00,  1.5874115250707e+00,                    A,  2.2355199497573e+00,  1.0952527091016e+00, -1.9702552259026e+00
                    B, -2.8433956606262e-01,  4.2573668223598e-01,  8.2592326566608e-01,                    B,  1.0638217372793e+00,  2.1843075493550e+00,  6.2381716554040e-02,                    A,  5.9360249465803e-02, -2.5857779601058e+00,  2.1936241900410e-01,                    A,  1.5901527449125e-01, -2.8822128958264e-01, -7.2911967430295e-01
