#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2
                  A,-1.168584064962e+00,-3.746748226175e-01, 1.101447604041e-02,                  B, 1.625901123781e+00,-4.204844707194e-01,-3.215767701293e+00,                  A, 1.164003143176e+00, 3.251736755185e+00,-2.062586066278e+00,                  B,-1.413467634747e+00, 2.036057786509e+00,-2.917395204618e+00,                  B,-3.044045143110e+00,-2.427552146496e+00, 2.022603866995e+00,                  A,-2.184498782294e+00, 8.987491799438e-01,-6.279869793014e-01
                  B,-4.112310662878e+00, 2.166219752723e+00, 2.386616629453e+00,                  B, 2.655275455428e+00, 1.496446800519e+00,-4.405061859449e+00,                  A,-2.624768813632e+00,-1.322080119495e+00,-1.156418484033e+00,                  A, 1.241611378843e+00, 2.210474167827e+00,-3.758746853957e+00,                  A, 5.529200861444e-02,-1.890921800329e+00, 1.017563531047e+00,                  B, 2.269102401296e+00,-1.842203677974e+00, 4.498978591766e-02
                  A,-3.569458446231e+00, 2.965718563770e+00,-2.481060469137e+00,                  A, 8.265666670245e-01, 2.615894693065e+00,-1.418851407449e+00,                  A,-3.406068272661e+00, 4.800742304662e+00, 1.116085284274e+00,                  B, 1.278183354993e+00, 3.828298097988e+00,-6.344228974703e-01,                  B, 2.799593076392e+00, 1.777965151890e+00,-2.280373456820e+00,                  B,-1.571890770357e+00, 2.043783388261e-01,-2.324717728265e-01
                  A, 4.176253220006e-01, 2.764769402463e+00, 8.877869756217e-01,                  B,-1.829356137081e+00, 3.425737531898e-02,-1.568531660580e+00,                  B,-3.497290052494e+00,-4.926038942368e+00, 2.625414183529e+00,                  A, 4.231788469503e+00,-3.973823493295e+00,-3.830328220896e+00,                  B, 4.742652534551e+00, 8.208516241835e-01, 2.406878533524e+00,                  A,-5.649339877937e+00,-2.783686523993e+00, 1.284383980887e-01
                  B, 7.728174942815e-01,-1.628395199525e+00,-1.712041733903e+00,                  A,-3.460904807536e-01,-2.014201995825e+00,-1.196082096840e+00,                  B,-2.836854407308e-01, 2.762315498635e+00, 3.527137930590e+00,                  B, 3.061484385814e+00, 2.540354568435e+00, 2.538043605831e+00,                  A,-4.380086588665e+00,-2.031417019005e+00, 4.542350608220e+00,                  A,-3.469510291633e+00, 1.672289467493e+00, 2.180872360204e+00
