##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B,  1.9019677848049e-01, -7.0354433877802e-01, -1.0273695668821e+00,                    B,  1.3602684415662e+00, -1.4647685926247e+00, -3.2720055952606e-01,                    A,  9.4193399950185e-01,  1.5947893282486e+00,  1.9153589722225e+00,                    A, -1.3185303595480e+00, -3.1718692726486e-01,  1.3609322158710e+00,                    B,  2.6987171611836e+00,  3.3751879830728e-01, -2.2502953817430e+00,                    A, -2.0662411372137e+00,  1.7695228323096e+00,  5.5029507560342e-01,                    A, -1.0012563608963e+00,  1.4223097087246e+00, -7.0528946509169e-01,                    B,  6.3264017220836e-01,  8.4930452866841e-01, -2.0338351373416e+00
                    B, -1.5463576982363e+00, -7.2901842631436e-01,  4.4668673257054e-02,                    B,  2.9337937007802e+00, -1.2855519243400e-01,  3.8405116099154e-01,                    A,  1.9982350167358e+00, -3.0171411305512e-01, -1.5780049790348e+00,                    B, -2.0961626045804e+00,  1.4700080367799e+00, -1.3038832139772e+00,                    B, -4.5261145932610e-01, -1.9587386725065e+00, -4.0157071727494e-01,                    A,  3.9755620699863e-01,  1.1776492700170e+00,  9.9799918631493e-01,                    A,  9.6058787547446e-01,  6.9125475097688e-01, -1.4600935093555e+00,                    A,  1.2186106846448e-01,  6.4663409704799e-01,  2.5592236908562e+00
                    B, -1.9970874078531e+00,  9.7575551446475e-01, -2.5714192470301e-01,                    A, -8.8834985323553e-01, -1.8465262475428e+00,  1.0952177990790e+00,                    A,  1.0115210097225e+00, -2.3109606630193e+00, -1.7047458246068e+00,                    B, -1.1829548434054e+00,  1.4759303665150e+00,  7.0941142696573e-02,                    B,  7.8711678974092e-01,  1.3094170562020e+00, -1.2438800636205e+00,                    A,  1.5027916040606e+00, -1.2733455974708e+00,  8.8604085826730e-01,                    B, -1.2140329356327e+00,  2.2292736811739e+00, -6.3438161463255e-01,                    A, -1.9348645865919e+00, -7.2236278184170e-01,  1.1392798836681e+00
                    B, -2.1172808737637e+00, -8.5643611060962e-01, -2.0435232422342e+00,                    B, -1.4637449182406e+00, -1.5281627059918e+00, -5.9324706302460e-01,                    B, -4.5072545011647e-01, -5.0248029212610e-01,  2.4579926892643e+00,                    A, -6.7852614746751e-01,  1.6774994997899e+00,  1.1333189050304e+00,                    A,  1.8380503460018e+00,  5.9744491450126e-01,  1.0872779626184e+00,                    B, -2.6994041450534e+00, -2.9827102302116e-01,  1.6522805184460e+00,                    A, -6.4559210505565e-01,  8.0472117582338e-01,  1.9847846601626e-01,                    A,  1.8575466259454e+00, -1.1165811400165e+00, -1.3739091398076e+00
                    B,  3.4907911907573e-02, -7.8108860617641e-01, -2.0649108102758e+00,                    A, -1.9898049606031e+00, -5.0851592518234e-01,  1.3946694270237e+00,                    B, -3.8056985981286e-01, -4.4124088759514e-01, -5.2190213247778e-01,                    A,  9.4245327437734e-01, -5.9525123252479e-01,  1.9643448929352e+00,                    B,  1.4448383697969e+00, -4.4948327834261e-01, -8.2347607653640e-01,                    B, -1.9898324850569e-01,  1.3723409979129e+00, -6.6393886897248e-01,                    A,  1.1288432488715e+00,  1.1858008416766e+00,  1.5800576228473e+00,                    A, -7.8660882339931e-01, -2.2729279064024e+00,  1.9267600714195e+00
                    B,  1.0362956643577e+00,  1.7303529176978e-01,  1.5101265839416e+00,                    B, -1.5477885082812e+00,  1.6078000933603e+00, -6.7927873343794e-01,                    A,  1.5825290576141e+00,  5.2422290577253e-01, -1.6392486796972e+00,                    A, -2.9052044020920e+00,  8.2588093189647e-02, -1.9821199375286e+00,                    A,  1.3019273335618e+00, -1.5085898130576e+00, -1.9959968753510e-01,                    B, -1.2815433805934e+00,  6.8448407607609e-02,  9.1601472677830e-01,                    A, -2.7971177526773e-01,  5.0467283591814e-02, -2.9056961492845e+00,                    B, -1.8084789856221e+00, -2.7170140415046e+00, -7.7889367550402e-01
                    A, -1.4560124151516e+00, -8.8679647931324e-01,  2.5713954172352e+00,                    B,  2.3532417215434e+00, -2.0653382853043e+00,  2.7959668482476e-01,                    A, -2.7758244156735e+00,  2.1422277762813e+00,  1.4670260832012e-02,                    B,  7.5433883395938e-01, -1.2507344292777e-02, -4.2890062571100e-01,                    A, -1.4838833605771e+00,  8.8366630500053e-01,  1.1653973827056e+00,                    A,  3.3594398128697e-02, -2.5690142775819e+00,  2.5596045357259e+00,                    B,  1.8052002301343e+00,  2.7287845212807e-01, -1.4898927164280e+00,                    B,  6.2814772990516e-01, -1.5684494160035e+00, -4.5743062159669e-01
                    B,  1.6867496887554e+00,  1.2824285253847e+00, -1.3564404781395e+00,                    A,  4.1653023664093e-01,  1.1906326513145e+00,  1.9155811864802e+00,                    B,  2.6107447271268e-01,  1.3244105032050e+00, -1.9342019225930e+00,                    B,  1.4749308701693e+00, -1.0599293052113e+00, -1.2174458892840e+00,                    A, -6.5602183707507e-01, -1.2440754223916e+00,  3.5024992383323e+00,                    A, -1.2503373891169e+00, -7.6383541616561e-01,  4.9715161368656e-01,                    B, -7.2684827863289e-01,  7.4681454524282e-01, -1.5286579535043e+00,                    A, -3.7353764152484e-01, -6.0069538134322e-01,  2.1122293789826e+00
                    A,  1.0917657180977e+00,  2.1250982196040e-01, -1.9540649308375e+00,                    B, -1.7338583583028e+00, -1.4647062299329e-02,  7.2537738850338e-01,                    A,  1.9329525454641e+00,  1.2676860062800e+00, -1.2737837542991e+00,                    B, -1.1478768938784e+00, -1.0634697350260e+00,  1.2367801834299e+00,                    B, -1.8546059640372e-01,  2.6823010526001e-01,  1.4694298437451e+00,                    A,  1.1451276968862e+00, -1.8761331943860e+00,  1.6345453189774e-01,                    B,  1.1402093216464e+00, -7.8650249700403e-01,  1.9076721422705e+00,                    A,  1.9583954994562e-01,  1.5420276164533e+00, -1.1964979517936e+00
                    B, -1.2969262576653e-01, -1.4677898407838e+00,  8.6037172993991e-01,                    B, -2.0846507511469e+00, -6.7890047268442e-01,  4.8320914168374e-01,                    A,  6.4475151761624e-01,  1.5521002718513e+00, -1.2008016057528e+00,                    A,  1.6097613672012e+00,  6.8400454741667e-01,  1.8381129397539e+00,                    A, -7.0844751762236e-01,  1.6939371778398e+00, -2.3994722339062e-03,                    B, -1.4725546704592e+00, -6.3438902537815e-01, -1.4396587271795e+00,                    A,  2.4222445519824e+00, -1.1470930472545e+00,  3.2036558779459e+00,                    B,  1.2770932623553e-01, -2.7901895854986e-01, -1.8510350086632e+00
