#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2
                  B, 3.043532640501e+00,-1.429096357397e-01, 6.073176018944e-02,                  A, 8.168289386916e-01,-4.401896075163e-01,-7.716168784815e-01,                  A,-2.549204223202e+00,-1.203691349372e+00,-9.933571677918e-01,                  A, 2.526125394634e-01,-1.370352480321e+00,-1.636055855618e+00,                  B, 7.182273358025e-01,-2.362769359891e-01, 2.208998487733e+00,                  B,-9.111862190666e-01,-1.542389535066e+00,-2.561988308379e+00
                  A,-1.549580461021e-01,-1.024029061465e+00,-1.101193199136e+00,                  B, 1.793967274073e+00,-5.799639432738e-01,-5.369530827147e-01,                  A, 1.445219010532e-01,-3.201626255614e+00, 5.671224267790e-01,                  B,-3.546455745266e+00,-7.552732974280e-02, 2.977917726174e-01,                  A, 2.254417821948e-01, 6.499761732184e-01, 7.554808525187e-01,                  B, 5.330179357228e-01,-2.055365841977e+00,-5.859325141620e-02
                  B,-8.007042129485e-01, 9.206298955991e-01, 2.092492609390e+00,                  A,-4.880749265726e-01, 9.713799612754e-01, 2.951760045006e-01,                  A, 1.756994408944e+00, 1.457709450944e+00, 2.570849346514e+00,                  A, 1.125471536022e+00, 4.013213353985e-01, 1.188110859563e+00,                  B,-7.054263277891e-01,-1.224687442059e+00, 1.355694382848e+00,                  B, 4.358515723889e-01,-3.998796697429e-01,-9.663482060867e-02
                  A, 4.256290873614e-01,-5.327924110751e-01,-1.484233523796e+00,                  B,-1.604895887195e+00, 2.778752501528e+00, 8.981188263907e-01,                  B, 8.302495999462e-01, 1.274819859023e+00, 7.854756136215e-01,                  A,-1.658771800393e+00,-1.801964149625e+00,-1.793958747799e+00,                  A, 1.625574657836e+00, 8.050040999325e-03,-4.050479571331e-01,                  B,-7.129554412185e-01, 8.137438452323e-01,-1.391712768941e+00
                  A, 1.080276359521e+00, 3.376001595282e-01, 1.669746340891e+00,                  B, 1.020068598094e+00,-8.169550828907e-01, 8.235679132305e-01,                  A,-3.579440970921e+00,-3.248053686651e+00, 1.035643774982e+00,                  B,-7.041711352227e-01,-6.371612656259e-02,-6.997899424760e-01,                  A,-1.004997726434e+00, 1.404843812909e+00,-5.750210031819e-01,                  B,-1.397680766376e+00,-6.696003668619e-01,-2.669755739000e-01
