##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A,  2.6321536750783e+00,  4.1988128686281e-02, -1.4016520382704e+00,                    A,  2.4968115251678e+00,  1.5547159215287e+00, -2.8730965088623e+00,                    B, -1.0378974329013e+00, -1.6636788783605e+00, -1.0412921531367e+00,                    B,  3.7249527077922e-01,  8.6405327436111e-01, -1.7813656834953e+00,                    A, -3.1445902490109e-01,  2.8478733292101e-01,  3.2804887394433e-01,                    B,  1.0375671974969e+00,  3.8685654116888e+00, -1.1998586395730e+00,                    A, -2.6351560555178e+00, -8.0716113103192e-01,  7.6466171004272e-01,                    B, -1.1869793038205e+00, -1.2085176064361e+00,  1.4052159831525e+00
                    A,  4.3251100653578e-01,  1.0156904479846e-01,  2.3413784519597e+00,                    B,  4.8423532657621e-01, -2.9972377093591e+00, -2.6123667897079e-02,                    A,  8.1668820330988e-01,  1.0821153349028e-01, -3.7508669706568e-01,                    B,  1.0661841794706e+00,  1.1538044749609e+00,  9.9416627311913e-01,                    A, -3.5434540539830e-02,  5.7504891203876e-01,  4.7840127317783e-01,                    B, -3.7044512230475e-01,  3.1715539073952e-01, -1.0564389013607e+00,                    B, -1.4332587991264e+00, -2.5073628749719e+00,  6.3051423847353e-01,                    A,  1.5619414016735e+00, -1.3945400088601e+00,  1.4764452326035e+00
                    A, -7.4927217099487e-01,  9.5600489650720e-02, -1.6476851712626e+00,                    B,  1.3936136453127e+00, -1.0090389181520e+00,  5.7427924423226e-01,                    A,  8.1207957498262e-01, -1.0902651062494e+00, -1.7489051072400e+00,                    B,  5.3153755941875e-01,  3.0660684068733e-01,  1.3801457504271e+00,                    A, -1.3121101561528e+00,  1.9403255328994e+00,  9.7005221012646e-01,                    A, -6.9421893129890e-01,  9.5955825475079e-01,  1.6548444886136e+00,                    B, -1.1345069331208e-01, -1.1927810871186e-01, -5.9405273353150e-01,                    B,  1.0243822542184e+00, -2.6267366185139e+00, -4.6880439217193e-01
                    A, -1.3202631732063e+00,  1.6609678612221e+00,  4.4036647225131e-01,                    A,  2.4675421014922e+00,  3.7144252901511e-01, -3.8311537126180e+00,                    B,  2.5884587387746e+00,  1.3742160142032e+00,  1.1249816894383e-01,                    B,  1.0094402196705e+00,  4.1219489530684e-01, -1.7014550725846e-01,                    B,  3.1945581421234e+00,  3.1539589344096e+00,  2.2455387408300e+00,                    A,  2.0320546076236e+00, -1.0685000523839e+00,  4.2464483573081e+00,                    A,  7.4223127215753e-01, -1.0150618821820e+00, -1.5779472443086e+00,                    B, -2.9537444308354e+00,  5.8360799163814e-01, -1.2714168260809e+00
                    B, -4.1599203116908e-02,  1.3404541698935e-01, -1.6876321059842e+00,                    B, -1.2991379858087e+00, -2.7323694838594e+00, -3.5221995042945e-01,                    A,  6.1802725901128e-01,  1.4510646465422e+00,  1.0746394150602e+00,                    A, -1.2470833486842e-01,  3.0256685427613e-01,  1.7849675436893e+00,                    B,  1.0702482666798e+00,  2.9576573034132e-01, -1.5659367755665e+00,                    A,  1.1845998126492e+00,  1.4974554917909e+00, -9.4468845003920e-01,                    B, -3.4515124383946e-01,  1.9280917560862e+00,  2.2138772191133e-01,                    A,  2.3550873943845e+00, -1.0905291775273e+00,  7.5894908257991e-01
                    A, -2.7440610438253e+00, -6.1188821320506e-01,  8.5434107322779e-01,                    B,  1.3070481902689e+00, -3.1728393673542e+00,  1.5812555192154e+00,                    B, -2.0290557417799e+00,  4.5301741921423e-01, -1.8879512853335e+00,                    A,  1.6281143344647e+00,  1.5998310367650e-01, -1.8617351267340e-01,                    B,  5.3836252713454e-01, -5.9225939784423e-01,  1.6680171036699e+00,                    B, -3.5053240439666e-01, -5.5717416435077e-01, -1.2519364403629e+00,                    A, -4.3922143212390e-01, -1.9055984465460e+00,  9.9780853855214e-01,                    A, -1.2275678526974e+00, -7.2719991793121e-01,  4.7744819037883e-01
                    B,  3.6556280011542e-01, -1.3345579495347e+00, -1.2286875725200e-01,                    A,  1.4405510006227e+00,  5.4430168787230e-01, -1.2831906887121e-01,                    B,  1.4241659704528e+00,  3.2892691423983e-01, -1.2238981357202e+00,                    B,  2.0032124443376e+00,  1.5387779915630e+00,  2.0119240444135e-01,                    B, -5.7413192486852e-01, -6.7399065385850e-02, -2.6823033493787e+00,                    A, -2.7147075521791e+00, -9.0062818034511e-01,  1.4717270700751e-01,                    A,  1.8007411486275e+00, -1.0498925873868e+00,  6.3030398765802e-01,                    A, -1.1077873106040e+00,  6.0394284799319e-01, -9.3550122494495e-01
                    B, -1.1722555589720e+00, -1.1394393784900e+00,  1.9886703228664e+00,                    A,  1.9988324912325e+00, -5.3790703255513e-01,  1.2647600612015e+00,                    A, -6.8696510534212e-02,  4.8054762279612e-01,  2.4762418803371e-01,                    A,  1.0355663933557e-02, -2.7405630614813e-01, -7.6368254427862e-01,                    B, -1.8056277659291e+00, -1.8563976945167e+00, -5.7657323469430e-01,                    B,  8.5097714634367e-02,  8.6054233441381e-01,  2.3156265896809e+00,                    A,  2.4168462546950e+00,  8.7576627284560e-01, -1.3303925899083e+00,                    B, -6.2920591827006e-01, -9.1685434476645e-01, -4.3853091191374e+00
                    B,  2.4057883649051e+00,  9.8311558007061e-03,  6.4911020413495e-01,                    B,  5.0601841927734e-01,  2.1765946527030e-01,  1.0105923012119e+00,                    A,  1.9794247880629e+00, -1.9769014756239e-01, -1.0403794400566e+00,                    A,  2.4576734352942e-01,  1.6642395365710e+00, -1.0890465582260e+00,                    B, -7.8625754043775e-01,  1.1795710859146e+00,  4.6770419694572e+00,                    A, -7.5289956331077e-01, -1.6725802418864e-01,  2.1576343933239e-01,                    B,  2.7702530401871e-01, -1.4165815315747e+00, -8.7642273836246e-01,                    A,  1.8167706078620e+00,  1.3469079677811e+00,  1.7743980907378e+00
                    A,  2.0136473804937e+00,  1.3602509694772e+00, -2.1298883651302e-01,                    B, -1.3263954072457e+00, -3.1372928643112e-01,  3.5796395775678e+00,                    B,  1.1829404653870e+00, -3.5935438288800e-01, -1.0591336844072e+00,                    A, -1.3963370658355e+00, -2.0942496544390e+00, -9.0445964576363e-01,                    B,  2.0939480755305e+00,  5.0884110864083e-01,  2.0801226633229e+00,                    A,  1.4951947511687e+00,  1.9819244590233e+00,  7.2465722742850e-01,                    A,  6.0865204694860e-02, -2.7174919230725e+00, -1.4256948235532e-02,                    B,  6.3554875406121e-01, -1.9348498107737e+00,  7.0547956194045e-01
