#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A, 1.023365110303e+00,-5.689651289581e-01, 6.269162814829e+00,                  B, 2.845622563743e+00,-5.263811444101e-01, 5.414564384220e-01
                  B,-1.691537262489e+00,-2.869228839378e+00, 3.842138426428e+00,                  A, 2.357003895897e+00, 1.497035273918e+00, 2.450944479237e+00
                  B,-2.114966282401e-01, 3.165419180265e+00, 8.889940232759e-01,                  A,-1.707866047751e+00,-3.232497996135e+00,-2.727119151358e+00
                  A,-7.621710897299e-01,-4.006768752124e+00,-4.988622823087e-01,                  B, 3.099436347219e+00, 6.544571955177e-01, 4.390696181948e+00
                  A,-2.646802261157e+00,-9.166348416703e-01, 4.050190241029e+00,                  B, 1.260531332161e+00, 1.034892232585e+00, 1.636452802155e+00
