##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    B, -6.8069410954343e-01, -1.2397084547872e+00, -8.3095294152866e-01,                    B,  1.2376881687520e+00, -1.3230291263199e+00,  2.0260681713560e+00,                    A, -2.8619891673637e+00,  1.0658631881859e+00,  1.2579617869098e+00,                    A,  2.2164591844045e-01, -4.6364949272998e-01,  3.9383213372084e-01,                    A,  1.5547894336108e+00, -3.9256332680346e+00, -2.9569412723472e+00,                    B,  8.2284197828088e-01,  9.8335263905162e-01, -7.7084049372645e-01
                    A, -2.6403011206542e-01, -1.8674874845307e+00,  1.3898873735864e-02,                    B, -5.4059222055048e-01,  1.0581975883195e+00,  1.8457035760633e+00,                    B, -2.9902797372677e+00, -6.7168236717703e-01,  7.0067032288972e-01,                    A, -1.5167113328726e+00, -3.8491711795914e-01,  2.1222031483867e+00,                    B,  1.1159858717167e+00, -7.6914292140660e-03, -2.0628871188413e+00,                    A,  4.4930719755734e-01,  1.0087205077703e+00, -5.9399671966860e-01
                    A,  1.9627336010195e+00, -2.0708455495195e+00, -6.4529655191669e-01,                    B, -1.9980612970833e-01, -3.8374948104375e+00, -5.2396710805255e-01,                    A,  3.6525988161305e-01, -9.0687982541202e-01, -1.4869194223384e+00,                    B, -2.9884529537485e-01,  1.1117972871292e+00, -1.0227577102918e+00,                    B,  1.9621311477890e+00, -2.5686464538192e-01, -1.3923919465246e+00,                    A,  2.4097006599526e+00,  9.5560932465419e-01,  7.5587351609070e-02
                    B, -1.2337331224261e+00, -1.4252906464346e+00, -1.1259748155515e+00,                    A, -2.1027414902200e-01, -1.3536366389525e+00,  1.7152067452849e+00,                    A,  9.4474078983996e-01,  1.2959455484164e+00,  1.1124399355210e+00,                    A,  1.3747871369872e+00,  8.5896850231187e-01,  2.9651981310551e+00,                    B, -1.9706753041735e+00,  7.8195319807703e-01,  2.9264692988511e-01,                    B, -1.9264115435886e+00,  7.9416840388485e-01, -8.3363432275367e-01
                    B,  5.9819379597265e-02,  1.7771062385735e+00,  5.2818247878868e-01,                    B, -5.2005767846296e-01,  5.4496447647259e-01, -2.1615589905441e+00,                    A,  1.5463385752473e+00,  1.4509170656989e+00, -2.0152976806387e+00,                    A, -1.2596906339469e+00,  7.9707879249809e-01,  6.9627444096332e-01,                    A, -3.7574446559465e-01, -7.2293559494520e-01, -3.6602628116695e-01,                    B,  2.7401938489551e-01, -6.9432944178957e-02,  2.3762259863494e+00
                    A, -3.2929270867256e-01, -3.2519027079716e+00, -1.5352611632222e-01,                    B, -2.7953493677532e+00,  1.8408035816559e-01,  7.1702875356153e-01,                    A,  8.7555593173321e-01, -2.0611356431564e+00,  1.2764599770859e+00,                    B, -1.5718683404382e+00,  1.5143013381362e+00,  4.5644589696964e-01,                    A, -1.4782709523845e-01, -2.8445177746475e-01,  1.9154031710156e+00,                    B,  7.6204687231909e-01, -1.5444910215655e+00, -1.2086441401141e+00
                    A,  9.5302533671468e-01, -3.6579637575344e-02, -2.2462409972661e+00,                    B, -9.9498743977839e-01, -1.9182726479224e+00, -4.0759214853517e-01,                    A,  2.4344748803837e+00, -3.2546690802370e-01, -8.5593801630017e-01,                    B,  2.0010240646102e+00,  1.9016848538347e+00,  8.7492108552267e-01,                    A, -6.7891282526031e-02, -1.0004290038059e+00,  7.9103266625529e-02,                    B,  3.9379091938460e-02,  1.3415969693615e+00,  1.2149282443626e-01
                    A,  2.5430922959064e+00,  1.1562602984627e+00, -5.3798021790401e-01,                    B,  1.0086683560357e+00, -1.2288192719800e-01,  1.6257943595462e+00,                    A,  3.0129250291488e-01,  2.8909997945156e-02, -1.3322303652730e+00,                    B,  8.8513985028032e-01,  5.8252215647584e-01,  2.2780183926333e-01,                    A,  3.4552621477261e+00, -6.7294324632835e-01, -1.1601619708315e-01,                    B,  9.6532636054417e-01, -1.9361416809100e+00, -1.8602694407473e+00
                    B,  2.0781661772069e+00,  1.8198240410118e+00, -1.0078487100913e+00,                    B,  9.9004198403652e-01,  1.7068841027227e-01,  1.4945964581361e-01,                    B, -4.0755980208661e-01, -2.2715111801987e-01,  1.6939728185846e+00,                    A,  3.7666241855306e+00, -2.9713243232164e-01,  1.2731723614762e+00,                    A,  1.0733456341623e+00, -1.6445183714206e+00, -2.4683326248916e+00,                    A,  5.1103009042738e-01, -7.6613500095933e-01, -5.5690029232055e-01
                    A, -1.3569190200861e+00,  2.7018086689042e+00, -7.0533255309581e-01,                    B, -9.3829424885153e-01, -4.1838264811039e-01,  2.9366856255945e-03,                    B,  2.2465507736459e+00,  1.3936629361637e+00, -1.6420030948160e-01,                    A,  2.3683000030098e-01,  2.9414936977966e+00,  1.9257275703918e-01,                    B,  4.1484594001967e-01,  1.6815629695960e-01,  9.0086739638982e-01,                    A,  3.5999789474617e-01, -6.0657955770625e-02,  2.1312632224508e+00
