#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2,          p8 flavor,              p8 x0,              p8 x1,              p8 x2,          p9 flavor,              p9 x0,              p9 x1,              p9 x2,         p10 flavor,             p10 x0,             p10 x1,             p10 x2,         p11 flavor,             p11 x0,             p11 x1,             p11 x2
                  B,-5.139175062686e-02,-8.003763292846e-01, 1.332708011221e+00,                  B, 6.231502269400e-01,-1.461723565501e+00, 1.815136956532e-01,                  A,-7.443853758047e-01, 5.578034577834e-01, 3.116970298906e-01,                  A, 1.115894210999e+00, 2.463869354901e+00,-8.358554172413e-01,                  A, 1.431458658032e+00,-1.780723414560e-01,-1.625136328674e-01,                  B,-1.260162136240e-01, 2.530476341703e+00,-2.149364805840e+00,                  B,-9.581404639021e-01,-1.296057468284e-01,-1.254916133437e+00,                  B, 1.224807314255e+00, 1.409086512154e+00,-1.568533560884e-01,                  A, 2.547463956937e+00,-1.248859856150e+00,-3.231681512578e-01,                  B, 2.245348335136e+00,-1.220185352598e-01, 1.602881625293e+00,                  A, 1.145863393835e+00,-1.101507360976e+00, 1.604576963590e+00,                  A,-6.948005294808e-01,-1.670549292048e+00,-1.140629655579e-01
                  B,-1.627239891298e+00,-9.961348023093e-01,-1.095201827563e+00,                  A,-1.033451153397e+00, 6.056569965153e-01,-3.033739479194e+00,                  A, 7.715360710454e-02, 1.700360928723e+00, 6.965758716805e-02,                  B, 9.981735779069e-01, 6.513656504878e-01, 8.565803112799e-01,                  B, 5.490176734224e-01,-1.862710979766e+00, 3.204253505056e+00,                  A,-1.846712691741e-01, 4.722066158187e-01,-3.309401431765e-01,                  A, 1.630817538400e+00,-2.657033014766e-01,-1.809949300741e-01,                  B,-1.025439319333e-01,-1.902477694091e+00, 4.419655998338e-01,                  A,-5.042862896348e-01,-2.345081647120e-01, 2.179520248990e+00,                  A, 5.581613285599e-02,-1.663741141048e+00,-3.178065896915e+00,                  B,-1.234123970748e+00, 2.143182807943e+00, 1.923648558932e+00,                  B, 1.124483958657e+00,-1.248348319629e+00, 1.525237554069e+00
                  B, 1.262219191811e+00, 3.899016908287e+00, 3.338706319349e+00,                  B,-1.075499303035e+00,-2.573317880971e+00,-1.640742242940e+00,                  A,-1.509512699289e+00,-1.251090587749e+00,-2.220443480472e+00,                  B, 1.630500454821e+00,-3.821333253548e+00,-2.059847382439e+00,                  A,-2.210588404156e+00, 4.742319324706e-02,-1.239255677853e+00,                  A, 6.374775320838e-01, 1.482280032381e+00, 6.198549572263e-01,                  B,-2.853959942591e+00, 1.667452317805e+00, 2.465097269975e-01,                  B,-1.870885307306e-01, 2.300814037807e+00,-3.000234064700e+00,                  A,-8.585705972601e-01,-3.596247597938e-01, 5.623724171065e-01,                  A,-4.881720228655e-01,-5.998996732746e-01,-9.958736261517e-01,                  B, 2.143230929113e+00, 8.012449605266e-01, 2.386390318847e-01,                  A,-6.283532422961e-01, 7.920926430050e-01,-1.836174056266e+00
                  A,-1.802094049533e-01,-1.900892498192e+00,-9.771489968288e-01,                  A,-7.161561736564e-01,-2.847767078951e+00,-2.293126986510e-01,                  B, 2.019070157062e+00,-7.105566869363e-02,-1.471405090918e+00,                  B,-1.581742587884e+00, 1.567562423106e+00,-7.183267776603e-02,                  A,-4.237221781561e-01, 5.591783317688e-01, 1.887484134817e+00,                  B,-2.337560724817e+00, 3.580291947477e-01, 2.870490016928e+00,                  B,-2.350590813708e+00,-1.901045738966e+00, 2.641767644389e+00,                  B, 2.581013375256e+00,-9.377800685090e-01, 2.765472655275e+00,                  A,-5.984522238591e-02,-3.526487466949e-01,-7.292969801928e-01,                  B, 3.317417017413e+00, 5.951016951499e-01, 1.579310032207e+00,                  A,-1.350240166815e+00,-7.280058811443e-01,-1.583457264027e+00,                  A,-2.125327383034e+00, 1.124991480301e-01,-1.178735174658e+00
                  B,-1.323646062600e+00,-7.842986531997e-01, 1.392582517762e-01,                  B,-1.992510676574e+00,-1.065773636493e+00, 2.675325294738e+00,                  A,-2.452707501083e+00, 1.056962078281e+00,-2.937507563406e+00,                  B, 1.070167915656e+00, 6.899519469183e-01,-1.899064831387e+00,                  B, 2.990803448609e+00,-8.552490139353e-01,-1.173559901732e+00,                  A, 2.571969021267e+00, 1.694480272218e-01, 5.566734793745e-01,                  A,-2.526916636240e+00,-1.822056366654e-02, 3.855925562442e-01,                  B,-8.926433898299e-02, 1.786752013945e-01, 2.673500443742e+00,                  A, 4.472260821921e-01,-5.707194699210e-01, 7.129064243012e-01,                  B,-5.060373892704e-01, 1.196056139221e+00,-4.522421686774e-02,                  A, 3.742037169251e+00,-2.436234248562e-02, 1.024758303548e+00,                  A, 1.521035684263e+00, 1.606839860569e+00, 1.644486142776e+00
