##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B,  2.7383829400294e+00,  1.7818917903973e+00,  1.3479414548126e+00,                    B, -6.7297786440133e-01, -6.3014211637175e-01,  2.0334269572986e+00,                    A, -2.1961862109527e+00, -2.0499095207762e+00,  2.6379425302109e+00,                    B,  9.6162168212337e-01, -1.7655055412552e+00, -1.3779046222753e+00,                    A, -2.3456954394637e+00, -3.5823635180111e-01, -1.4667541549240e+00,                    A,  7.6817861883118e-01, -8.1321055696819e-01,  3.5301075785386e+00,                    A, -1.1134366446553e+00, -1.8168543507899e+00,  9.3693994175565e-01,                    B, -9.5715259477315e-01,  5.1036026217182e-01,  1.5840595006180e+00
                    A,  2.6364666289654e+00, -1.1699192416015e+00,  3.0798978338559e+00,                    A, -1.1142750890730e+00,  1.4535364515088e+00,  1.1711720071088e+00,                    A,  5.0841548855534e-01,  2.2092009611323e+00, -1.8759197842242e+00,                    B,  1.1858941829009e+00,  4.5549052133893e-01, -1.5940052720844e+00,                    B, -8.2392072783630e-01, -3.9254678992091e+00,  2.1481973065860e-01,                    A,  1.1505692500669e+00, -2.5713205267580e+00,  2.1991656714209e+00,                    B,  1.7180296500066e+00, -5.8965942554365e-01,  2.2458728706846e+00,                    B, -2.1009423730830e+00, -1.8963487919286e+00,  3.2415288373527e+00
                    A, -7.7956953010230e-01,  1.7714394386904e+00, -2.6721529376322e+00,                    A,  8.1053271214166e-01, -2.2118489940273e-01,  1.2507110403832e+00,                    A,  1.8049845530692e+00, -2.5885419603697e+00,  6.8033938850973e-02,                    B,  5.9530106309321e-01,  1.1866296428829e+00, -4.0043391375061e+00,                    B, -3.5780585440619e-02, -1.6747794217362e+00,  8.6165028427264e-01,                    B, -1.0440213571030e+00, -4.4357060892955e-01, -7.2379541561043e-01,                    A, -8.0195605470508e-01, -1.3485718321393e+00, -1.2844254370541e-01,                    B,  2.1893235419600e+00, -1.3805305322498e+00,  1.3998343431680e+00
                    B,  1.4903332052824e+00,  1.7072190721451e+00,  2.5887025295334e+00,                    B,  5.8475778271494e-03, -3.3626648319498e+00,  4.2272186240333e-02,                    A, -8.0841890355964e-01, -2.9114076462425e+00, -8.2762622984028e-02,                    A, -7.6319393903293e-01, -5.6923764370515e-01, -1.7402229835646e-01,                    A, -1.3949594862809e+00, -2.0450394145870e+00,  1.5423015429171e+00,                    B, -3.3281062317320e-01,  2.9599659311411e-01,  1.8632349342465e+00,                    B,  8.0422659149097e-01, -1.4172041034439e+00, -1.7567442328419e-01,                    A,  1.6361217148073e+00, -8.5745829613761e-01,  3.4124761850890e+00
                    B, -2.8264721744948e+00,  8.0825738360141e-01, -6.0897208014556e-02,                    B, -1.7797233174120e+00, -1.9731795832225e+00, -1.1166417942612e-01,                    B, -5.6979677898150e-01,  2.5745069747652e-01,  6.6600323701829e-01,                    A, -1.2581091311701e+00, -5.5373722498482e-01, -1.3896198923469e+00,                    A, -5.3669007987959e-01, -2.4192364924450e-01,  1.8192325012032e+00,                    A,  2.2125412480179e+00, -1.6704780111609e+00, -5.6955904696810e-01,                    A, -1.3242553897022e+00,  4.7139837696277e-01, -3.1598226883276e-01,                    B,  6.0993515301730e-01, -3.0177637217178e+00,  1.3231230172064e+00
                    A, -1.5819996964924e+00, -2.0448572476608e+00,  3.2760316009944e+00,                    B, -5.0589381749990e-01, -1.7093112919808e+00, -1.9011553681698e+00,                    A,  2.3767387110574e+00,  6.3077297577940e-01,  6.6729509199192e-01,                    A,  5.7855089180972e-01, -2.1155764769085e+00,  5.2229178108713e-01,                    B, -1.3550247508697e+00,  1.1640073830129e+00, -2.9339426806835e+00,                    B,  2.0008330389633e+00, -2.5711643807930e+00,  2.5405789882083e+00,                    B, -9.9384034387592e-01,  5.7081108585594e-01, -1.1619027091564e+00,                    A,  3.0220184827020e-01,  4.0140194358848e-01, -3.9496661584937e-01
                    B, -1.7390212678837e+00,  2.3218807504619e+00, -1.1581375488340e+00,                    A,  1.4415720438339e+00, -1.9084802156315e+00,  2.2157381239573e+00,                    B,  1.1911236489756e+00, -6.0415468919762e-01, -5.6172754341631e-01,                    A,  2.3955250269824e+00, -2.7642715060722e-02, -1.8541431008988e-01,                    A,  3.1300736921478e-01,  5.9026284284665e-01,  1.8134392529115e+00,                    B, -1.4630546640231e+00, -9.3188654021733e-03,  3.7493910995004e+00,                    A,  1.5965977220095e+00,  2.5074849768654e+00,  1.3066810720343e+00,                    B, -3.7660338786398e+00,  3.3625677345113e+00,  5.1811033025628e-02
                    A, -1.3305348131641e+00, -8.1278082436213e-01, -2.3248726141939e+00,                    B,  1.2052491170241e+00,  1.0449773299919e-01,  2.2508241378598e+00,                    A,  3.0481100756204e+00, -1.0824058905680e+00, -1.1942962798293e+00,                    A,  1.5761510682877e-01,  1.3930176244006e+00,  9.1358387431047e-02,                    B,  1.7773546977141e+00, -1.8369302868842e+00,  4.7892024229984e-03,                    B, -1.9043128663001e+00, -2.9508226424690e+00, -2.9828044647876e+00,                    B,  2.3722414185590e-01, -2.5329280732695e-01, -2.9158791943608e+00,                    A, -1.3552572990395e+00, -2.5066248137415e+00, -8.5848905960080e-01
                    B,  3.5893923370882e-01, -1.2347898971010e+00,  2.3331119673458e+00,                    B,  2.8757101209732e+00,  2.9524835471069e-01,  3.8365782614893e+00,                    A,  1.4126557473054e+00,  2.2456329284374e+00, -3.7334969160757e-01,                    B, -1.6027501011212e+00,  1.4434902730372e-01, -4.2598131030496e-01,                    A, -4.7185871112629e-01, -3.2916573891223e+00, -2.8871532026596e-01,                    A, -2.1363052168005e+00, -1.3477197762669e+00,  4.5182584331815e-01,                    B, -1.1199070270376e+00, -2.4032696441775e+00, -6.0552290045855e-01,                    A,  1.3241599268317e+00, -8.1158443754584e-01,  1.7172289882985e+00
                    A,  3.1741927806331e+00, -9.6516355392581e-01, -3.1064343501852e+00,                    B,  3.4453242750536e+00,  4.1772538956031e-01, -1.2709359084266e-01,                    A,  3.6279458226581e+00, -1.4700015037594e+00,  8.9403598087225e-01,                    B,  7.9415006394339e-01, -2.4441668485403e+00,  1.3402426489924e+00,                    A,  1.5656014417737e+00, -1.8701480407280e+00, -1.0274358146693e+00,                    B,  9.2288941211465e-01,  2.0159650444902e+00,  2.7618023698262e-01,                    A, -4.9933108771279e-01,  2.1240707944056e+00, -3.0495798695501e+00,                    B, -1.0032388266897e+00, -4.2890754504139e+00, -3.9688804006952e-01
