##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A,  4.8547922243646e-01,  1.2296874817590e+00, -6.1717440388421e-01,                    B, -1.1154081808878e+00, -2.9140810088000e+00, -1.4674450016768e+00,                    A, -2.4392677043428e+00, -7.5928602663338e-01, -8.0758834595914e-01,                    B, -1.0238349066423e+00,  1.7251116008642e+00, -2.3947566755896e+00,                    B,  3.6590429684236e+00, -2.3432017591750e+00,  1.3106545134668e+00,                    A, -5.6157990279471e+00,  5.7361895260829e+00, -7.2468880147095e-01,                    A,  6.0849832548793e-02, -7.1567869678038e-01,  1.5584124005051e+00,                    B,  1.2039379726005e+00, -1.1295955046662e+00, -2.5854546936017e+00
                    A,  2.4689278120117e+00,  2.6025933923023e+00,  2.3435850420088e+00,                    A, -9.4181725252737e-01,  4.3322684741400e+00, -1.8213775257632e+00,                    B, -2.7528632520317e+00,  3.3482369941331e+00, -5.9670989632339e+00,                    B, -1.8711493256481e+00,  6.0539559027431e-02,  2.7802365841067e+00,                    A, -2.9855035617942e+00, -6.4664125656527e-01,  1.3952706673547e+00,                    B,  1.5734615559070e+00,  1.5581293209765e-01, -1.2513456241910e+00,                    A, -1.7769442648981e+00,  2.7852150808198e+00,  1.2487941035825e+00,                    B, -5.2931849082123e+00,  3.8654854111653e+00,  1.9930914288258e+00
                    A,  9.9407782367142e-01, -2.6065752303005e+00, -2.1142636321813e+00,                    A,  5.2402558512342e+00, -1.7194508947269e+00, -2.5679684830483e+00,                    A, -3.0090995495509e+00,  1.2527506538439e+00,  2.3892891403925e-01,                    B, -3.9568240573673e-01,  4.1342198586166e+00,  2.6061726425092e+00,                    B, -3.2297914889463e-01, -7.9404179297159e-01, -1.5500433799290e+00,                    B,  1.5061134278122e+00,  2.3573867759547e+00, -3.3602991940792e+00,                    A, -5.0920240476321e-01,  1.5271397285711e+00, -7.4920579995565e-01,                    B,  1.4367571717238e+00, -1.6002555940783e+00,  7.4915742444674e-01
                    B,  5.8059536632187e+00, -9.8687284063538e-01,  8.1020735267210e-01,                    B, -2.0637911383182e-01, -5.7443580665053e-01, -2.3826192236588e+00,                    B,  2.4846412634477e+00, -5.8821135590243e+00,  5.9624567586304e+00,                    B,  2.4956991797545e+00,  8.7887329367053e-02, -1.4187472030536e+00,                    A,  3.8644026393051e+00,  8.0682869001225e-01,  1.2636507498729e+00,                    A, -1.3512470875299e+00,  1.1878285459448e+00,  1.1837907450872e+00,                    A, -3.9194950730143e+00, -8.4771948377405e-01,  1.1087909370329e+00,                    A,  1.0709555588558e+00, -1.5575852027517e+00,  3.2129824195977e+00
                    B, -7.4947608560129e-01, -2.7445933463079e+00,  1.4538420962649e+00,                    A,  2.8058457271393e+00,  1.9548263062348e+00,  8.4041060636903e-01,                    A,  1.8359195059917e+00,  2.6703549924909e+00,  3.1713248094939e+00,                    B,  1.1722549082436e+00,  2.6687298409354e+00,  1.1422387329078e+00,                    B, -2.4719603166108e+00,  1.6857486014811e+00, -8.2355676042101e-01,                    A,  2.0045627199632e+00, -4.6993028991914e+00,  5.1832863458205e+00,                    B,  5.2124225102282e+00, -1.9949650074927e+00, -2.1244928136730e+00,                    A,  4.8705854122597e-01,  2.3220686558588e+00,  2.0288153817782e+00
                    B, -4.8520430958156e+00,  6.6853916890656e+00,  1.7502356101574e+00,                    B,  5.9395611851816e+00,  3.1406937667883e+00,  3.8986294378913e+00,                    A,  9.4432526562522e-01,  9.5923399334943e-01,  2.8219425842259e+00,                    A,  3.0082037048036e+00,  7.5232358898912e+00,  5.4801636777691e-01,                    A, -4.2319049218287e+00, -2.8088066729948e+00, -2.2499979199747e+00,                    B,  2.7102290295649e+00, -2.7781723067206e+00,  5.3978520171660e+00,                    A, -3.8667621808416e+00,  2.6369219108341e+00, -1.4202337572425e+00,                    B,  4.7771320131411e+00, -4.5395708510677e+00,  4.0925036702694e+00
                    A, -3.8027007472114e+00, -1.4683152494104e+00, -1.8875170722246e+00,                    A, -1.5014334219578e+00, -3.1442854208317e-01, -5.4533195248410e-01,                    A,  4.4267721783697e+00,  8.9483114597760e-01,  1.5909206805018e+00,                    B, -1.2238549278720e+00,  2.9325376425123e+00, -2.4408070077810e+00,                    B,  1.5613163924794e+00,  2.6819621878595e-01, -7.7205494015742e-01,                    A,  2.7172440327324e+00, -8.7011183227970e-01, -4.5192660506922e-01,                    B,  5.0315872318143e+00,  1.1792626057701e+00,  4.2170633811409e+00,                    B, -4.4744984579706e-01, -6.4368009366611e+00, -5.2253521111310e+00
                    B, -3.6304568037545e+00, -4.5282172618277e+00, -2.4307913279107e+00,                    A, -2.7023025725632e-01,  2.2193256803510e+00,  1.3218671471382e+00,                    A,  4.7959657611701e-02,  3.7097207153376e+00, -3.8390018044609e+00,                    B, -1.0270719617371e+00,  6.7870079609010e-02, -5.7611531540802e-01,                    B,  3.0237365328299e+00,  2.5881844754785e+00,  2.4080881263520e+00,                    A, -3.3293435739693e+00, -9.8332872718927e-01,  2.0964975305340e+00,                    B,  4.4040508564472e+00, -2.0780899322023e+00,  5.2842943421889e+00,                    A, -2.6063378927894e-01,  2.7485457668131e+00, -1.6193681631965e-01
                    B,  1.7781859334025e-01, -4.0839484551031e+00, -4.7067350480647e-01,                    A, -1.6174792444734e+00, -2.0421278075681e+00,  1.3657455080699e+00,                    B,  1.6302613639245e+00, -9.2851778112641e-01,  1.1413723853050e+00,                    B, -4.9151926153074e+00,  2.4486959978899e-01,  7.0254537786134e+00,                    A, -1.0180668442982e+00,  6.0543740421518e+00, -1.2943504859908e+00,                    B,  1.4533542367815e+00,  3.4944192170368e+00,  4.9535033674865e+00,                    A, -1.9442612685330e+00, -8.5016769535585e+00, -5.9833198435673e-01,                    A, -3.2331291868599e+00,  2.7226421643207e+00, -9.6822535813107e-01
                    A,  1.1919569728612e+00, -3.2049260150000e+00, -4.0540421173711e-01,                    B, -1.7137977671348e+00, -3.2654616609719e-01,  7.2767500903069e-01,                    A,  2.7820913485001e+00,  2.7115269909630e+00, -8.7828726858783e-01,                    B,  5.9710853899271e-01,  3.6231823105711e+00,  2.2485262684442e+00,                    A, -6.0678826198044e+00, -6.8822434287208e-02,  4.1848619615709e+00,                    B, -4.9635237881811e+00,  2.3935935482703e+00,  3.3429838701944e+00,                    A,  3.4988682767982e+00,  1.3254594523216e+00, -2.8187355079626e+00,                    B,  1.6721553869041e+00, -1.8295384465509e+00, -3.4717602267090e+00
