##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    B, -2.3723938123430e-01, -3.7660622138264e+00,  5.2869450104384e-01,                    A, -2.8150324413312e-01,  1.5899840071882e-01, -3.2110994792861e+00
                    A, -1.1931299966216e+00, -5.4895893637329e-01,  8.0991428468959e-02,                    B,  2.4319454641660e+00,  1.7344214397898e+00,  1.2504287244577e+00
                    A,  3.3545965676332e-01, -3.6122439897732e-02, -1.6458935368562e+00,                    B,  1.3407282251469e+00,  1.3342448789923e+00, -1.7137572942608e+00
                    B, -1.9947224208655e+00,  7.7167943714277e-01,  1.0303959912254e+00,                    A,  3.7500094210630e-02, -1.8209250626140e+00, -1.2764048649821e+00
                    A,  3.0309762517739e-01, -5.4869318644222e-01,  1.3277114108681e-01,                    B,  9.8700867241187e-01,  3.6025867359657e+00, -7.9227932004391e-01
                    A, -2.4459823317875e-01, -1.7047808900348e-01, -1.1086341106851e+00,                    B,  7.1867784122048e-01, -2.6170233368008e+00,  3.7712824153840e+00
                    A, -7.3401146140157e-01,  3.7350672441466e-01,  3.8045683470678e-01,                    B, -1.9859895530017e+00,  1.4463813020854e+00, -3.2216739383840e-01
                    A,  5.7690757741785e-01,  1.3961859132191e+00, -4.1873046703304e-01,                    B, -7.0882967894270e-01, -1.0302171875175e+00, -9.5512860173955e-02
                    B, -7.2785792634112e-01, -8.9707206301152e-01, -4.7106437457843e+00,                    A,  2.3031267279746e+00, -4.1248206177004e-01,  7.5142600869577e-02
                    A, -1.5521881003837e+00,  2.9060773832158e-01,  7.7461519435998e-02,                    B, -4.7288740721926e-01,  1.3411005338459e+00, -1.3262090087640e+00
