#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  A,-7.471582293789e-01, 1.411809999732e+00,-6.881561463248e-02,                  B, 6.885262500967e-01, 1.730370093480e+00, 1.623949867274e-01,                  B, 1.966891793239e-01,-6.843842544701e-01, 2.970054127906e-01,                  B, 2.642688059854e+00, 2.263349431046e+00, 1.802724645178e-01,                  A,-1.226889296651e+00, 3.117127362030e-01, 1.894480444713e+00,                  A,-1.626634926304e-01,-1.997895070167e+00, 1.012690823315e+00,                  A, 1.898523650861e+00,-3.169960771890e-01, 8.039587138115e-01,                  B, 4.155962259258e-01,-9.403032799620e-01,-7.744169506802e-01
                  B,-6.010715090618e-01,-1.167718209469e+00,-1.060210757152e+00,                  A,-3.808256520779e-01,-1.792125719552e+00, 1.301452858311e+00,                  A,-4.202470107461e-02, 2.740237432823e-01,-3.884894989145e-01,                  B,-5.640930481988e-01,-3.020448701922e+00, 2.209733149214e+00,                  B, 1.673224994447e+00,-5.584933536798e-01,-1.436007354846e+00,                  A,-4.109216855807e-02, 1.862927674849e+00,-1.054928583297e+00,                  B, 1.510217406481e+00, 2.851221659309e-01, 3.010326258283e-02,                  A, 3.415895557572e-01, 1.428575089790e+00,-3.457522155624e+00
                  B, 6.870074052923e-02,-7.596721796954e-02,-1.754269247121e+00,                  A, 1.953272793892e+00,-7.807683414658e-02,-9.103935827352e-01,                  A,-1.191066653768e+00, 2.103838924251e+00,-2.159806175462e-02,                  B,-2.192930509492e+00, 1.383619015568e+00, 8.399616389966e-01,                  B, 1.282006062763e-01,-4.649535043140e-01, 2.167478268405e+00,                  A, 9.585015095590e-01,-2.455463998615e+00, 9.952015016266e-01,                  B,-9.064757587610e-01,-1.263345628310e-02, 7.029087964655e-01,                  A,-5.680602590017e-01, 7.895990957817e-01,-4.607822241335e-01
                  A, 1.479429505777e+00,-9.862848509421e-03, 1.055949452461e+00,                  A, 2.119244688424e+00, 2.152077416331e+00, 1.519684125483e-01,                  B,-9.892929637092e-01,-2.660362961919e-01,-1.051091514030e+00,                  A, 1.998279661116e+00, 7.285030610507e-01,-1.395470098873e-01,                  A, 2.008138659415e+00,-1.078682819629e+00, 1.925984650696e+00,                  B,-2.155892222443e-01, 5.576232963464e-01, 1.107358730152e+00,                  B, 6.993501147880e-01, 1.324717658248e+00, 5.387015564262e-01,                  B, 1.120562938318e+00,-6.781282411612e-01,-1.388911648579e+00
                  A, 8.941596843506e-01,-7.933496552814e-01,-6.358611557524e-01,                  B,-6.645056040669e-01,-4.536494526691e-01, 2.017619512696e+00,                  B,-7.761281143904e-01,-2.435330034937e+00, 1.013961387238e+00,                  B, 1.331367257267e+00,-1.988518579938e+00,-8.421120835493e-01,                  A, 9.082141002355e-02, 6.482007033797e-02, 3.552367083235e-01,                  B, 2.509278357604e-01, 1.654754761236e+00, 2.639113044894e-01,                  A, 7.502627114091e-01, 1.451079019907e+00, 1.889191837510e+00,                  A,-2.957410425210e+00, 3.106162386853e-01, 3.300728652869e+00
