#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2
                  B, 2.477673489593e-01,-9.655201342878e-01, 2.665184174866e+00,                  B,-1.214644383603e+00,-1.958803922646e+00,-9.923732303985e-01,                  A, 1.053520940210e+00,-2.205940173256e-02, 1.615005368080e+00,                  B, 3.625471527865e+00,-9.199262394428e-01,-1.947413979219e+00,                  A, 2.299695725765e+00,-4.828604305322e-01, 8.712594718000e-02,                  A,-4.062105862081e-01,-2.857827591369e+00,-4.378480886113e-01
                  A, 1.514187811149e+00,-1.111633176975e+00,-1.844431494836e+00,                  B, 1.643858478452e-01, 6.804978369812e-01, 1.278321820196e+00,                  B,-4.921534687200e-01,-3.196346456741e-01,-1.453068965125e+00,                  A, 2.065872218526e+00,-1.161814828736e+00, 3.840809907813e-01,                  A,-4.198257656208e-01,-6.458438131141e-01, 1.031022639574e+00,                  B,-1.330892207247e+00,-1.241815865974e+00,-1.677993811609e+00
                  A, 1.731351375545e+00, 3.122302965147e-02,-6.243454773885e-01,                  B, 9.583894147697e-01,-1.047521153689e+00, 3.935960133212e+00,                  A, 2.064700550735e+00, 1.633751156597e+00,-6.415110095327e-01,                  A, 3.465448443329e+00,-4.853517196668e-02,-1.814481328510e+00,                  B, 1.330657897247e+00, 1.556535458731e+00, 1.615083320485e+00,                  B,-1.195076596598e+00, 1.062282491845e-01,-1.911655071636e-01
                  B,-1.396791683354e+00, 3.402840058559e+00, 4.083952660829e-01,                  B, 1.777491094431e+00,-9.177767977841e-01,-3.770114140918e-01,                  B,-1.676117323769e+00,-3.006954918323e+00,-1.018879165850e+00,                  A, 9.839868900019e-01,-2.167860592938e-01, 3.015103562646e-01,                  A,-1.367666833776e+00, 9.306586819479e-01,-1.194447176736e+00,                  A,-1.689848067654e+00, 4.435624647025e+00,-2.233549389284e-01
                  A, 6.789742498566e-01,-8.516048242640e-01, 1.009617730535e+00,                  B, 1.444170945593e+00,-2.495039820992e+00, 4.167829194593e-01,                  A, 2.275389653242e+00,-2.225530513851e+00, 2.898131140772e+00,                  B,-1.594729424046e+00, 8.932622724582e-01,-1.467200446758e+00,                  A, 1.732065537193e-01,-7.030181912252e-02,-1.822193251484e+00,                  B,-6.193353137525e-01, 1.645727658101e+00,-1.982187971269e-02
