##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A,  2.0803941516119e+00, -1.8519413048101e+00,  1.5812334072176e+00,                    A,  4.3463969106383e-01,  5.6958665912360e-01,  5.2125568071600e-01,                    B, -1.8295659653332e+00, -8.0960840440938e-01,  3.7944256940019e-01,                    B,  1.0243044779988e+00,  2.1988551819536e-01, -2.3183365807316e+00,                    B,  9.5089059851552e-01,  2.5020063085940e+00,  2.6983373150821e+00,                    A, -4.5180131678777e-01, -5.5739478251386e-01,  1.4873639467855e+00,                    A, -1.2846718305188e+00, -2.7776703938890e+00, -8.7867216893964e-02,                    B, -1.1892470569605e-01, -2.0204915141162e-01, -8.6889753170041e-01
                    A,  2.6180290352631e+00,  1.5796881234021e+00, -2.7100546658304e+00,                    A,  9.8874995816936e-01, -1.4231074636820e+00,  1.2049314440685e+00,                    B,  9.8268981135380e-01, -2.0185915040712e+00, -8.2867364936598e-01,                    A, -5.6573946227503e-01,  1.0874031695923e+00, -2.4076614594639e+00,                    B, -1.9070490613194e+00,  4.3628567591434e-01, -2.2675804898549e+00,                    B,  2.2537700445909e-01,  2.2624795126022e+00,  3.7713910098914e+00,                    A, -1.7358644722351e+00,  3.2282954931020e+00,  1.3927776753520e+00,                    B, -1.5458540639487e+00,  1.4123392763897e+00,  1.7155608932424e+00
                    A,  1.6938926210693e+00, -1.3703846151899e+00,  8.3053174804083e-01,                    B, -1.2824152130124e+00,  1.8484854144085e+00, -1.5908949843036e+00,                    A, -2.3299543305945e+00, -2.9350918098933e+00, -2.4236292860795e+00,                    B,  2.9817968462284e-01, -1.3764485678911e+00, -3.7745301698414e+00,                    A,  1.7763981132304e+00,  4.6201093510797e-01, -1.7939495505893e+00,                    B,  8.4020291710137e-01, -1.1969659870708e+00, -1.4673355501043e+00,                    A, -5.6727886878859e-01, -3.0854605924059e+00, -8.3454312046403e-02,                    B, -2.6747628613112e+00,  2.4283714193324e-01, -3.1768050884943e+00
                    A,  5.9134322161602e-01,  7.3620721593608e-02, -1.2288477583649e+00,                    B,  8.4552481749709e-03,  5.3949837426579e+00, -1.7248180116934e+00,                    B,  8.7408853394559e-01, -2.8137224797266e+00, -7.9334032517330e-01,                    B, -4.8418382713302e-01,  2.8698958790407e+00,  9.8614249160659e-01,                    A, -5.2624496242672e-01, -3.2562486260022e+00,  8.8486483985770e-01,                    A, -3.6909027452408e+00,  2.4773220294378e-01, -1.4327553492261e+00,                    B,  1.6623522337537e+00, -1.7715685915472e+00,  7.7472896467058e-01,                    A, -2.4348006073899e+00, -2.6260757320633e+00,  2.6154028987015e+00
                    A,  1.1825446422272e+00,  5.8371964976358e-01,  3.3908950654790e-02,                    A, -4.7095504695742e-01,  1.6140475578748e+00, -1.8794855300125e+00,                    B, -2.2715100208939e+00, -6.6185091590623e-01,  1.5473024416691e+00,                    A,  2.4695854173901e+00,  1.7002822222765e+00, -1.1839466678815e+00,                    A,  2.1009184517175e+00, -4.3931648184005e-01, -1.6060923831821e-02,                    B,  9.6965500509100e-01, -1.6248094765668e+00, -4.0989062299485e-02,                    B,  8.8700470137779e-01, -8.6581504072307e-01,  2.9972355883930e+00,                    B, -2.3640685924868e+00, -3.8750911295009e+00, -1.0552323788679e+00
                    A,  9.3804026902412e-01, -4.9285763513520e+00,  3.2596729046134e+00,                    B,  5.3210835473902e-02, -1.5900633893484e+00,  1.2993649279441e+00,                    B, -2.4451890554429e+00, -1.1731912491233e+00, -8.0894629071141e-03,                    A, -1.8484214588898e+00,  3.3607042809974e+00,  4.2498900129936e-01,                    B,  5.1336205225430e-01, -7.2911615959600e-01, -2.9759901800311e+00,                    A, -2.2024772751608e+00, -5.3637050065400e-01, -1.2430081206149e+00,                    B, -8.9894859791167e-01, -5.2950459363552e-01, -5.6053821661215e-01,                    A, -3.2855164288868e+00,  9.1282402412399e-01, -3.6888703864722e+00
                    A,  1.1284707430755e-01, -1.5954922190339e-01, -2.3366042016587e+00,                    B, -1.1163810177317e+00, -3.8634759955188e-01, -1.8183348585397e+00,                    B,  2.5585798574124e+00,  3.6198202239232e-01, -3.3794582496683e-01,                    A, -1.0975099212795e+00, -2.0824529262627e+00, -1.4578594111860e+00,                    B, -1.2098164042713e+00, -9.3193412149135e-01, -2.7259056594360e-01,                    A, -9.2451730734386e-02,  1.5872910425714e-02,  1.3971080848013e+00,                    B, -3.3415530364889e+00, -1.2640191199919e+00, -4.4640658010911e-01,                    A, -2.3623269576037e+00, -5.3542853052706e-01,  6.5268061278031e-01
                    B, -1.6744327336132e+00, -1.3186030294917e+00,  1.3061801803363e+00,                    A,  9.0312625850314e-01, -3.8162182537818e+00,  1.2407585775992e-01,                    A,  1.6590919572174e+00,  2.0066368700161e+00, -5.6032239413850e-01,                    B, -1.1143586012937e+00,  2.7071361646512e+00, -5.3942223402754e-01,                    B,  1.8575805578868e+00, -2.1781656131627e-01,  1.7551795257897e+00,                    A,  2.5122737003030e-01,  9.7802536643891e-01,  1.4118237613286e+00,                    B, -2.7368665974232e-01, -2.4238827311251e+00,  7.9906920667129e-01,                    A,  1.2074840035841e-01,  5.4450399896513e-01, -2.0666238631061e+00
                    A,  1.1182087516572e+00, -1.5187454734404e+00,  1.7567514360650e+00,                    B,  3.6763319811524e-01,  1.8933976292357e+00, -3.3326794669755e-01,                    A,  9.1986809056524e-01,  7.5165637957295e-01, -2.7268087785407e+00,                    B, -1.0350953647308e-01,  9.6580752283451e-01, -2.4757389753030e+00,                    A,  1.8270531593180e+00, -1.6185865231346e+00, -6.0726359963731e-01,                    B,  4.2353011973471e-02,  3.2101274885469e+00, -2.7364339685678e-01,                    B,  2.6060708756882e+00, -2.7515589891107e-02,  2.4000922717748e+00,                    A, -1.8678968906835e+00,  3.6432529767535e+00, -1.2650304099572e+00
                    B,  1.0934567127124e+00,  5.6263712124759e-01, -2.1607839780919e-01,                    A,  2.9006069331984e-01, -3.9528443688468e-01, -1.7989341361840e+00,                    A, -2.0848727873001e+00,  3.2139196376390e+00,  2.1492840078217e+00,                    B,  4.4355167374376e-01,  3.3342111680722e+00, -8.9170011168407e-01,                    A,  6.2458864775181e-01, -3.1570971636010e+00, -5.1654503009632e-01,                    A,  2.3733438585689e+00, -7.6147755213412e-02, -2.4210671528434e+00,                    B, -1.2782546735825e+00, -7.6373567077492e-02, -6.9575498502576e-01,                    B,  2.2528749631396e-01, -1.5346850238096e+00,  4.6176873253397e-01
