#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  A,-8.663775173472e-01, 2.542961435632e+00, 1.162563958121e+00,                  B, 4.082072424548e-01,-3.163181449601e+00,-5.466456305934e-03,                  B, 1.634077193004e-01, 8.773829523499e-01,-2.748031565097e-01,                  A, 7.075100378049e-01, 2.783186023653e-01,-2.103811516871e+00,                  B, 1.465776299693e+00,-1.838845394301e+00, 8.907304721409e-01,                  A,-2.132867638730e+00,-2.342095889952e+00, 2.734565460551e-01,                  B, 6.880926004941e-01,-2.178074000908e+00,-9.778434906378e-01,                  A,-1.912201678667e-01, 3.234612045626e-01, 2.083577895640e+00
                  A, 1.713903684989e+00,-3.102388892872e+00,-6.716009340251e-01,                  B,-7.515792462411e-02,-1.107939804712e+00,-5.164341238321e-01,                  A,-5.815150205196e-01,-7.520286019690e-02,-2.128239607423e+00,                  A,-2.134205365242e+00,-3.470557605374e-01, 1.210491558042e+00,                  B, 9.606074692909e-01, 1.937788245125e-01,-6.042837191293e-01,                  B,-1.092506479677e-01, 1.044750751858e+00, 6.992252042290e-01,                  A,-2.268807359924e+00,-9.283755011540e-01,-1.333715541378e+00,                  B, 1.984010623476e+00,-8.677222913431e-01, 2.008351733338e-01
                  B, 4.908574719415e-01,-8.397608142845e-01, 1.838342409805e+00,                  A,-1.488349906999e-01,-2.535169235016e-01,-1.625722502596e+00,                  A, 7.959571045199e-01,-1.377010364555e+00,-1.100034552363e+00,                  B, 6.011973575893e-01, 4.186250725138e-01, 6.731666692275e-01,                  B,-1.078951064831e+00, 1.575881901432e+00,-3.676560171764e-01,                  A, 1.604330963527e-01, 7.636123174576e-01,-1.047722572000e+00,                  B, 1.554419492603e+00, 1.482792399392e+00,-1.027077269129e+00,                  A,-8.269824781903e-01,-2.024454243001e+00, 3.746352801958e-01
                  A,-6.266728854927e-02,-1.079915405392e-01, 8.316092667137e-02,                  A, 1.610918669796e+00,-2.217985377619e-01,-2.644685792700e+00,                  B, 1.300578065232e+00, 3.189381684946e+00,-1.709436654857e-02,                  B, 1.820517314851e+00,-1.044789484954e+00, 3.582745212516e-01,                  B,-3.507526212965e-01, 1.287231572829e+00,-1.846846454270e+00,                  A,-1.478979697218e+00,-9.520260552446e-01, 2.295676840968e-01,                  B, 3.337643845054e-01, 1.015160158966e+00, 8.804874759396e-01,                  A, 2.699243889285e+00,-2.430936737015e-01, 1.494602361452e+00
                  B, 2.293999489294e-01, 8.735811893353e-01, 1.304628055938e+00,                  B, 1.936911556137e+00,-1.232465393720e+00, 1.078638530348e+00,                  B, 2.516390933350e+00,-5.898421989414e-02,-2.981634192733e-01,                  B,-1.490679502216e-02,-1.126234773519e-01, 2.866094397292e+00,                  A, 3.552878755101e+00,-3.574157592497e-01, 2.267618412457e+00,                  A,-1.340184380164e+00, 2.323490799322e+00, 1.860563605002e+00,                  A,-3.559374723522e-01, 8.919584982376e-01,-2.856209284134e+00,                  A, 1.388570418715e+00, 9.969415379388e-01,-6.418731401474e-01
