##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A, -2.1602335494398e+00, -6.0260145292923e-01,  1.4036129364166e+00,                    B, -2.0596346271761e+00,  1.7151548446733e+00,  4.5846325527540e-01,                    A,  3.0839757535819e+00, -1.0136338960695e+00,  2.5970416052862e-01,                    B, -2.9877263808127e+00, -1.7389095120195e+00, -1.8721628189884e-01,                    A, -2.3143896741252e+00,  2.6829596338609e-01, -2.3038042670698e+00,                    B,  4.9587848310405e-01, -6.4058817648932e-01,  3.7059261896757e+00,                    B,  1.5939761626702e+00,  1.9000252867102e+00, -9.2089152093342e-01,                    A, -6.0880734315171e-01, -6.6686591976577e-01,  1.6017198250545e+00
                    A, -3.6099999661439e-01,  1.3888614685922e+00, -1.8918775266045e-01,                    B, -1.8009872609665e+00, -2.8885782618083e+00,  4.8580767782105e-01,                    A,  2.2618073015849e-01, -1.0437869981776e+00,  2.3654229305840e+00,                    B, -2.3262843841427e-01, -1.8960257158962e+00,  9.4416962814364e-01,                    A,  1.5572680004577e+00, -2.1758208618448e+00, -2.0631525058473e-01,                    B, -1.2813727626522e+00,  2.0229540338390e+00, -6.4363605826242e-01,                    B,  1.8145162721379e+00, -6.4382338219418e-01,  2.5377821385859e-01,                    A, -1.1070330658099e+00,  1.2608866986213e-01,  1.4976944481518e+00
                    B, -3.0891676512463e-01,  2.3795745303273e-01, -1.1523666866835e+00,                    B, -2.4588164274432e-01,  1.6379813550635e+00,  1.1367303572491e+00,                    A, -4.8436470042310e-01, -1.8691525701865e-01,  2.7096950397495e+00,                    A, -2.2256852797050e+00, -1.6841115694656e+00,  9.0543187929334e-01,                    A, -1.7758545515689e+00, -2.4362266663652e+00, -3.0532757656880e-01,                    A, -1.1758871890755e+00, -9.2316403614028e-01,  1.2760557422115e-01,                    B,  2.7332266172764e+00,  1.6773146229773e+00, -2.2092545477461e+00,                    B,  1.1251611018703e+00, -1.1973950883991e+00, -9.2571221555635e-01
                    A, -1.4140649879245e+00, -2.1280529702610e-01,  1.2705585044124e+00,                    B,  2.7260164081069e+00, -1.2768787474448e+00,  2.3355838965115e-01,                    A, -8.0018826627424e-01, -2.7003521921204e+00, -1.4211328974915e+00,                    A,  1.3493147945863e+00, -3.9526596329435e+00,  8.7487103043585e-01,                    B, -9.6874229751550e-01,  3.6440923956772e-01, -5.3486522189805e-01,                    B, -6.4173364106481e-01, -1.5748959700872e+00,  4.7449294660678e-01,                    B, -9.9197542010674e-01,  3.0782102814878e-01,  1.5400672165497e+00,                    A, -1.9180051885270e+00, -1.5435723860205e+00, -4.8792501839733e-01
                    B, -4.7819526860032e-01,  9.6818548566401e-02,  3.8529443918919e+00,                    B,  6.5064898696733e-01,  1.7550811029987e+00, -1.3529545540652e+00,                    A, -1.0993840464764e+00,  3.5766263053114e-01, -5.6736291024580e-01,                    A, -1.5312270206101e+00,  1.0364935152753e+00,  1.9240867607222e+00,                    A,  2.3633947715345e+00, -1.2746735842289e+00, -2.0876244612627e+00,                    B, -1.2371368551181e+00, -1.7634159885483e+00, -5.8208930902075e-01,                    B,  8.7917837842700e-01,  9.3358620735209e-01,  6.4315423370023e-01,                    A, -3.3709397250091e+00,  1.7345207892690e+00, -1.6339633592104e+00
                    A, -1.2583222734531e+00,  2.0075438277856e+00, -1.4858086362471e+00,                    A,  1.9786306224767e+00, -1.5766864930858e+00,  1.8153660691072e+00,                    B,  9.4503320660265e-01,  1.0539012454752e+00, -2.6620112747136e+00,                    B, -2.5945502088065e+00, -1.6587008887026e+00, -9.9375959027883e-01,                    B, -4.6509916791150e-01, -1.7376579734180e+00,  3.3004501370576e-01,                    B,  9.8857512445909e-01,  1.2278890418246e+00,  1.1096891127915e+00,                    A,  1.4606003133049e-02, -1.2136709430223e+00, -3.3418719606299e+00,                    A, -3.5780649974878e+00,  3.6225804518356e-03, -2.0905869090112e+00
                    A, -9.3888282255101e-01, -1.1479093535569e+00,  2.0825137947192e-01,                    B,  4.4632747733222e-01, -3.9420142284694e+00,  6.8588363746621e-01,                    A, -2.7757248329644e-01,  2.9293105864535e+00, -4.4509308027234e-01,                    A,  7.5995558432456e-01,  8.4287016110237e-02, -3.5881752388568e-01,                    B,  6.8599783337413e-01, -6.6489295261301e-02, -3.3114883754723e+00,                    A, -1.4421698787714e+00, -3.7841766657579e+00, -2.0228265887140e-01,                    B,  1.5412872214836e+00,  6.3707075502329e-02,  1.1166082388044e+00,                    B, -2.7845195801798e+00,  3.1315648588234e-01,  1.9059357451336e+00
                    B, -1.0222337282658e+00, -4.1853478876779e+00,  4.0282602336111e+00,                    A,  8.0847641948292e-01, -1.6548117348669e+00,  2.1109601437897e+00,                    B, -3.3005641400554e+00,  8.9328867832814e-01,  2.0686583374618e+00,                    A, -9.2925918482972e-01,  3.6295996065068e-01,  2.4370039648189e+00,                    A, -3.0985816157150e+00, -3.1611797584393e-01, -4.2242117493957e-01,                    A,  7.1998941888086e-01, -2.0445533019231e-01,  1.2473953970378e+00,                    B, -3.8314293196162e+00, -4.1129380863740e+00,  3.7344593641487e-01,                    B, -4.9959089077621e-01, -3.2651152016904e+00, -5.4058629471964e-01
                    B, -9.0710451698936e-01, -1.0708205271801e+00, -3.7692831584590e-01,                    B, -3.3840123026210e+00, -1.3635955867822e-01,  7.4392870856221e-01,                    A,  3.0893512271950e+00,  1.0561024971405e+00, -8.5565863842417e-02,                    A, -1.1287034783194e+00, -9.4747853924332e-01, -1.7802906677582e+00,                    A,  1.8611055600910e+00,  2.4965551447660e-02,  9.4603016735964e-01,                    A,  2.0211720085793e+00,  2.1713316670918e+00,  8.3874124195056e-01,                    B,  3.4818012806635e+00,  8.6704592472802e-01,  2.7202274974996e+00,                    B, -1.1926365704792e+00, -4.7512211730554e-01,  2.4101773831080e+00
                    A, -1.0794595677998e+00,  2.9711179069688e-01,  6.6829159805349e-01,                    B,  1.7294050974088e+00,  4.2804542142259e-01,  1.8966178451280e+00,                    B,  2.8947687884406e-01, -2.3679544087303e+00, -2.8714684094728e+00,                    B,  2.1764672548070e+00, -8.9256025449393e-01,  1.6279341075319e+00,                    B, -1.1542943990926e+00, -5.3245851992060e+00, -5.7562102231727e-01,                    A, -1.5275335586284e+00, -1.1670671208903e+00, -4.0545313901730e-01,                    A, -1.4367341526927e-01,  2.1973379504758e+00, -1.7800273569257e+00,                    A, -2.8081065347409e+00,  9.6016286855395e-01,  2.1926060826663e+00
