#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B,-1.438630736753e+00,-5.266558078779e-01,-9.623910102884e-01,                  A,-2.313121062584e+00,-1.066504436366e+00,-3.365805568106e-02
                  B, 1.067396652725e+00, 2.659001505855e-03, 2.888759769354e-02,                  A,-4.389975348892e-01, 4.142200722757e-01,-6.568859208909e-01
                  B,-2.871625193320e-01, 5.366006251144e-01, 9.606379132878e-01,                  A,-6.106934604135e-01, 2.399176678853e+00,-3.732204143513e-02
                  A,-2.231313366553e+00,-4.725080512928e-01,-1.769396643170e+00,                  B, 2.141261888686e+00, 1.689979449624e+00,-8.477564418756e-01
                  B,-3.655486583906e-01,-1.459288929324e+00, 1.805314241242e+00,                  A, 1.178823244455e-01,-4.304472533354e-01, 1.709515302813e+00
