##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A, -3.9328462317458e+00,  3.6877171361597e+00,  1.9581773933790e+00,                    A, -2.9179467042584e+00,  5.5879580199551e-01,  2.7132247614774e+00,                    B,  1.8800936917228e+00, -3.3147285584896e-01,  2.0845720200680e+00,                    A,  8.2453455262030e-01, -6.8186368395264e-01,  4.6978452739058e-01,                    B,  3.2821360872243e-01,  1.6313449905588e-02,  1.7299217267227e+00,                    B, -8.6101407825005e-01,  2.1621834697126e-01, -1.2000948538975e+00,                    B, -1.0729399720005e+00,  1.7795491745825e+00,  4.2455975330700e-01,                    A, -6.5716671765255e-01, -2.7535188500389e+00,  1.5047899351281e+00
                    B,  6.5485316353815e-01, -9.9419168033443e-01, -1.9803056625208e+00,                    A,  2.0744309276596e+00, -1.3027281373011e+00,  1.1534414012812e+00,                    A,  1.0676180506645e-01,  5.7454144061764e-01, -1.7871379222754e+00,                    A,  9.7976763270765e-01,  6.3408232178990e-01, -5.8808712619941e-01,                    B,  2.4889963763050e+00, -2.9734286375414e-01, -2.2971412002340e+00,                    B, -8.4246788445068e-01, -1.0414378760463e+00, -1.0857504918213e-01,                    B, -3.1522334753501e+00,  3.6577476707296e-01,  1.9451762687364e+00,                    A,  1.4209394665653e+00,  5.5442078330736e-01,  5.0759201342747e-01
                    A, -1.7558861742365e+00, -3.9071863460081e-01, -1.3042586196665e+00,                    B, -2.2932115152231e+00, -2.7726727839205e+00, -4.2974393289438e-01,                    B, -2.5231645527585e+00,  2.2485128621372e+00, -2.7051126321780e+00,                    A,  1.3344266774006e-01, -1.1366469067243e+00, -5.4829452049673e-01,                    B, -3.3400328799542e+00,  1.5370949103709e+00,  5.1623346218365e-01,                    A,  7.6570920762055e-01, -3.8702344407566e+00, -1.3540890887995e+00,                    B, -1.7450255025106e+00,  9.8673071048685e-01,  1.4800129898770e+00,                    A, -6.3206637267730e-01,  2.7040722194404e+00,  7.2822074092030e-02
                    A,  3.2391701712726e-01, -1.6167812771370e+00, -1.2358459820440e+00,                    A,  2.2361205376106e+00,  2.9160382320087e+00, -1.3441603252709e+00,                    A,  2.3626867053097e+00, -2.7455318094922e-01, -2.6701085006570e-01,                    B, -1.4472621025689e+00, -1.0717299283802e+00, -2.2007314367447e+00,                    B,  1.2847325245155e-01,  9.0823452512081e-01, -2.4619559915154e+00,                    B, -2.1793361532131e+00, -7.0351302050187e-02,  1.0109451298496e+00,                    A, -2.0423469545774e-01, -7.3607249477674e-01,  3.0605421525076e-02,                    B,  1.8173452876704e-01,  9.9614961082497e-01,  2.7687637629541e-01
                    A,  4.3554923279761e-01,  8.9921683545108e-03,  8.8459370143028e-02,                    B,  7.4344226454406e-01,  2.8085097514137e+00, -1.9483677394256e-01,                    A, -2.0842943179410e+00,  2.1801251438271e+00,  4.0155208382200e-01,                    B,  7.4669964544516e-03, -1.7608209280897e+00,  1.8054688253206e+00,                    B, -2.2509072574001e-01,  2.1969403973757e+00,  1.3661926235337e+00,                    A,  4.1163443077888e-01,  5.4636252063064e-01,  2.1317447736084e+00,                    B, -4.4094283551089e-02,  1.0210400482486e+00, -3.6548223757205e-03,                    A,  1.3608780440955e+00, -1.7988068669125e-02,  4.5890177496983e-01
                    B,  3.2047247788776e+00,  1.3607751765641e+00, -4.1841395631233e-01,                    A, -1.1465755850537e-01, -3.4454183396879e+00, -1.0671946292400e+00,                    A, -6.7769737809442e-01,  1.2676517925231e-01,  1.4354000991561e+00,                    A,  2.4647592745984e+00, -6.3928419707130e-02, -1.3739745359743e+00,                    A, -1.4573435828044e+00,  7.6160757862757e-01, -1.1013170758098e+00,                    B, -8.9457260219001e-02, -6.6610719361583e-01, -3.7302346794017e+00,                    B, -1.1017553693064e+00, -3.8074764403203e-01, -1.2613677183003e-01,                    B, -2.2108142640644e+00, -2.3780505978584e-02,  1.1519222068515e+00
                    A,  2.5283761948433e+00,  6.0900738456148e-01,  8.9817998467443e-01,                    A, -3.6438990118406e+00, -4.2005962897564e+00,  8.9785137410125e-01,                    B,  8.0997846949032e-01,  3.8711627678873e+00, -2.2363145908130e-01,                    B,  5.3365252157136e-01, -4.6208626317725e-01,  4.1711306665702e-01,                    B, -3.9442158082940e-01,  2.8085698927929e-01, -1.3471889293074e+00,                    A, -5.3094718771854e-01,  5.8501667002589e-01, -2.8770207423450e+00,                    A, -5.7862135019834e-01,  2.4087821275775e+00, -3.8718974206439e-01,                    B, -2.5986807097590e+00,  5.8024246495553e-01,  2.4090353990882e+00
                    B, -3.9545894701935e-01, -6.2318385368346e-01,  4.2110958050064e-01,                    A,  2.3381058869805e+00, -1.3446914301899e+00,  2.2517509302371e+00,                    B,  1.1008909657166e+00,  2.4408479820721e+00,  2.5927502793045e+00,                    A,  1.4906694842694e+00, -4.5697768101628e+00, -1.1083995864856e+00,                    A, -8.3936364629317e-01, -2.9582174475651e+00,  2.3365657408571e+00,                    B, -6.7778466017312e-01,  1.1980938041931e+00,  5.9886519695148e-02,                    B,  1.6774663699471e+00,  5.2196416366152e-01, -1.3363936415132e-01,                    A,  9.8293608631515e-02,  1.2263094312657e+00, -1.2850075104797e+00
                    A, -4.4011340296885e-01,  2.0796332762378e-01,  2.9028160247422e+00,                    B, -1.7495864246506e+00,  8.9865612697654e-01, -1.7528467701125e+00,                    B, -1.2380397168717e+00, -1.5349862083416e+00, -2.1934696732890e+00,                    A,  6.6520191986672e-02, -9.5635721422569e-01, -3.0853737494173e-01,                    A, -1.0216265807091e+00, -3.7416401204983e+00,  2.3056647404183e+00,                    B, -1.4979102411576e+00,  9.1113086795100e-01,  2.9604459783681e-01,                    B, -4.6239528823748e-01,  2.9351927770020e+00, -4.1443323873892e-02,                    A,  6.4727003409378e-01,  1.3045612586448e+00, -5.7021144969287e-01
                    B,  7.2597282102297e-01,  2.0497345202130e+00, -3.3682107380527e-01,                    B, -2.0908330004408e+00,  8.5756600004470e-03, -4.9081179967607e-01,                    B,  1.0546135989573e-02, -8.8046634374084e-01, -1.7499680921901e-02,                    A, -3.2303022714879e-01, -1.0589180319526e+00,  2.0943630809374e+00,                    A, -1.3738203322575e+00, -3.1774383652421e+00,  2.6942349886266e-01,                    B,  1.1418813983081e+00,  2.0129091449154e-01, -4.0956116402889e-01,                    A, -2.0373583986491e+00, -1.3243305441168e+00,  4.0221650300011e+00,                    A, -1.1557993336229e+00, -3.2910672121304e-01,  7.5647649773747e-01
