##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    A, -1.3578453392669e-01, -1.0202156043331e+00, -2.5490204893731e+00,                    B,  9.6126938183822e-01, -1.2375167208031e+00,  6.0989436346634e-01,                    A, -2.0435506526616e+00, -8.8298225681186e-01,  5.4499138347253e-01,                    B,  1.5998211600626e+00,  5.6171037891530e-01,  9.4380199286475e-01
                    A, -5.1469608697805e-01,  1.0266871687870e+00, -1.5745718658467e+00,                    A, -2.2201445617521e+00, -8.6267304548153e-01,  6.7542656066668e-01,                    B, -4.6917608104301e-01,  4.0174198274086e-01,  4.7914592055474e-01,                    B, -6.2402465633315e-01, -1.2201000229672e+00,  2.5610824714011e-01
                    A,  2.4881963777431e-01, -9.0388852856753e-01,  2.7595031886176e-01,                    A,  3.6686777176864e-01,  8.3808669908266e-01, -6.2321229058479e-01,                    B, -2.2223704494429e-01, -2.0697527102859e-01,  3.1000741106179e+00,                    B,  4.0531788583690e-02,  1.1107748143756e+00, -1.7889639105628e+00
                    B,  7.5916911860395e-01,  3.0492220725283e-01, -2.4145996276163e+00,                    A, -1.5848641262373e+00, -9.6508294103122e-02,  3.0329524897695e+00,                    B,  2.7947741151073e+00, -1.5315247462830e+00,  2.1687104057626e-01,                    A, -1.1193356644418e+00, -2.5582542650431e+00, -2.4665218899366e-01
                    A,  3.8357530559786e-01, -6.7753236112448e-02, -1.5408308661678e+00,                    A,  1.8714087250595e+00, -1.4160177876892e+00, -8.3502412145129e-02,                    B, -7.8500522674761e-01,  6.3333709255683e-02, -1.3987830316446e+00,                    B, -2.3692774493870e-02, -1.7175848582870e+00,  1.1374543922279e+00
                    B, -6.2462596845172e-01, -5.3619674502739e-02, -9.2875818824576e-01,                    B, -8.2571858416333e-01,  1.0108897251121e+00,  2.1027575131938e-01,                    A,  2.0131509497888e+00, -5.9320729021022e-01,  4.0049803514540e-01,                    A, -5.7974807271255e-01,  1.9309228349645e+00,  2.1557452952058e+00
                    A, -8.5379825862372e-01,  1.2494592952989e+00,  1.1180677604677e+00,                    B, -2.3392001675777e-01, -9.6577588992469e-01, -1.6384752919006e+00,                    A,  2.6340761247581e-01, -2.9845291772296e-01,  1.1811824380744e+00,                    B,  2.4969262595052e+00,  6.3792780476122e-01, -4.8225556822120e-01
                    A,  1.8926441059652e+00, -1.6882767713018e-01, -7.7274006211594e-02,                    A,  4.8759954463844e-01,  7.0190665540945e-01, -6.7521733307885e-01,                    B,  8.8098661567727e-01, -9.4736715113895e-01, -1.3536298299765e-01,                    B, -8.4556397185297e-01,  7.1291106195389e-01,  8.2926005670801e-01
                    B,  9.5896687853151e-01, -2.2864887743325e+00,  2.6810322042297e-01,                    A,  3.0134907362954e-01,  1.1200861548989e+00,  2.6862286587864e-01,                    B,  2.7006724165494e-01, -6.3988233514815e-01,  1.8214971387214e+00,                    A, -3.4297582842518e-01, -1.6936274516833e+00,  4.8177795574975e-01
                    B, -2.2205045351170e+00,  1.4123110314904e+00,  2.0365664094983e+00,                    B, -7.0444939691476e-01,  1.8542319691460e-01,  1.0422688525362e+00,                    A,  7.6333810471222e-01, -1.3675123207748e+00,  6.2436173898596e-01,                    A,  7.2363978906828e-01, -1.3729885671684e-01,  1.8968536328299e+00
