##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2,            p8 flavor,                p8 x0,                p8 x1,                p8 x2,            p9 flavor,                p9 x0,                p9 x1,                p9 x2,           p10 flavor,               p10 x0,               p10 x1,               p10 x2,           p11 flavor,               p11 x0,               p11 x1,               p11 x2,           p12 flavor,               p12 x0,               p12 x1,               p12 x2,           p13 flavor,               p13 x0,               p13 x1,               p13 x2,           p14 flavor,               p14 x0,               p14 x1,               p14 x2,           p15 flavor,               p15 x0,               p15 x1,               p15 x2
                    A,  1.5628175668844e+00,  2.3432813018577e+00,  3.8742497378284e-01,                    B,  2.1351841404711e+00,  4.1770243577840e-01,  1.0121453540706e+00,                    A,  7.9963992056611e-02, -1.1343446225389e+00,  1.4799487027096e+00,                    A,  2.1123838635591e+00, -1.9156769345963e+00, -2.7510391437960e-01,                    A, -8.3249245752253e-02,  1.2960867317350e+00,  3.5397544734764e+00,                    B,  1.0903044841716e+00, -5.2309758907953e-01,  2.9109795437825e-01,                    B, -2.2742811338442e-02,  1.2617702511740e+00,  1.7862359708820e+00,                    A,  6.1088244107466e-01, -1.0904843161722e+00, -6.1956964473237e-01,                    B, -8.2303666017826e-01,  1.5802610662677e+00, -4.0953763564905e-01,                    A,  1.7146148195337e+00,  2.4325099793046e-01, -4.2779461320758e-01,                    B, -9.4039331731860e-01, -1.8266659493104e+00,  1.4468161231968e-01,                    B,  1.1926642295051e-01, -5.5641823914344e-01,  9.4609290382796e-01,                    A, -7.1273616927078e-01,  4.1487219820076e-01,  9.7139551602350e-02,                    A, -1.2325021339168e-01,  3.6390189975143e-01, -1.9488937749637e+00,                    B, -1.2819061125145e-01,  2.6872153369099e+00, -9.2294185901898e-01,                    B,  1.8723000520873e+00,  1.1570672938529e+00, -1.5306789977480e+00
                    A, -1.4625370243681e-02,  3.8272059304826e+00,  1.4392171927784e+00,                    A,  2.7629967286112e-01, -7.8480371577251e-01, -1.6843912584244e-01,                    A, -2.4212568064685e+00, -4.5229634605668e-01, -7.2964139690979e-01,                    B, -2.1237457148039e-01, -1.5220445649106e+00, -3.4159768961674e-01,                    B, -1.7208052053847e+00,  1.5108851916992e+00, -5.3297168775123e-01,                    B,  1.2716761085004e+00, -1.6697951757396e+00,  1.1098602859426e+00,                    A,  1.9938176501361e+00,  5.4000054495198e-01,  7.8186236278944e-01,                    B, -2.9064769956788e+00, -6.4924016407532e-01,  6.2614868074951e-01,                    B, -1.3930987336597e+00,  5.7821285369412e-01, -1.0569153496702e+00,                    B,  5.9909219619499e-01,  5.8936770059570e-01, -8.2289244801465e-01,                    A, -6.3507752755203e-01,  2.8499251039811e-01, -1.7902827712606e+00,                    A,  6.6951247830669e-01, -2.0870114278703e-01, -2.0464821301434e+00,                    B,  8.8676976620966e-01,  1.5582764307680e+00, -1.5535125262975e+00,                    A,  2.5114697408788e+00, -3.0681804348873e-01,  1.0629948700343e+00,                    B, -5.1651152931837e-01, -1.9343593770525e-01,  8.9189485525121e-01,                    A, -4.9784984735413e-01,  1.8504682070019e-02,  1.4506773160331e+00
                    A, -1.3326027685391e-01, -7.6674774912600e-01, -1.0212519771690e+00,                    B,  6.3135948244858e-01,  2.9696370907955e-02, -3.3227060203671e+00,                    A, -8.2615792764075e-01, -5.6520228611729e-01,  7.2425829875220e-01,                    B,  9.0106966138043e-01, -1.3534285015168e-01,  1.7728979598429e-01,                    B, -5.6286776219073e-01, -5.1645024918113e-01, -2.4708022919762e-01,                    B, -1.2366300316262e+00,  1.3404808325560e+00, -8.0569050619929e-01,                    B,  2.2800670321763e+00, -1.6155671751931e-03,  1.2061172652385e+00,                    A,  5.2628820374376e-01,  1.6439069519301e+00, -1.1544850222668e-01,                    B,  2.5406701765558e-01, -9.1109748825017e-01,  4.9226879288329e-01,                    B,  1.8504218765334e+00, -6.0393013760910e-01, -2.0827790563123e-01,                    A,  1.8430142846805e+00,  1.7456246005690e+00, -1.0795056658769e-01,                    A,  1.0248320618981e+00,  1.3112814759159e+00,  1.7454969259787e+00,                    A, -1.5754615784640e-01,  3.5713003750174e-01, -7.9597971109568e-01,                    A, -9.0520924639208e-01, -2.3258749849076e+00, -3.1852166580877e-01,                    B,  1.3697830655943e+00, -1.1638221900579e+00, -1.8689885484496e+00,                    A, -3.7437882073734e-02,  8.9803415123442e-01,  6.0548505025380e-01
                    B, -3.3584232382724e-01,  5.9627534624020e-01,  9.2852314710022e-01,                    A, -2.1680149868068e+00, -9.4311897520595e-03, -9.4199671474414e-01,                    A, -7.0426162940139e-01,  7.6705972639450e-02,  8.8473210077214e-01,                    A,  1.4069345815269e+00,  1.5432142290270e+00, -2.0030778458171e+00,                    A,  9.4207240592610e-02, -1.9596112952903e-01, -1.9636159244451e+00,                    B,  2.4403436394487e-01,  1.7865122064300e+00,  1.3037589630820e-01,                    B,  1.1141216577147e-02, -1.4831939783626e+00,  1.0876373201591e+00,                    A,  2.4335847697027e-01, -1.0481144184018e+00,  1.9157826050657e-01,                    B,  2.3323932723204e-01, -1.3352273300152e+00, -7.7108442348819e-02,                    B,  1.6935165873189e+00, -2.1216425310387e+00,  6.2377883142932e-01,                    A,  1.6554581418359e+00,  9.1676857445542e-01, -4.7918350004741e-01,                    B,  1.8604583698104e+00, -5.2794003339150e-01, -7.3337354104096e-01,                    B,  4.9815988355590e-01,  3.9274447887180e-01, -8.4648185147864e-01,                    A,  1.2480111614744e+00,  8.7774316300458e-01,  9.6257128317522e-01,                    A,  4.6329848882709e-01, -2.3462502997115e+00, -4.9267341648939e-01,                    B,  1.9377761118667e+00,  6.2685213140576e-01,  5.0580944072364e-01
                    A,  1.7190361965046e+00,  1.8268491091290e+00,  9.1947823761054e-02,                    B,  4.7432138619715e-01, -3.1951484718376e-01,  2.5447066200062e-01,                    B, -9.5009983202400e-01,  1.4437821955273e+00, -1.4743617491155e-02,                    A, -1.2747169526400e-01,  6.0941446825485e-01, -1.4977903045325e+00,                    B, -3.5873994180101e-01, -9.8165183214643e-01, -1.1084456878267e+00,                    A,  5.0351950870721e-01, -1.7432508188108e+00, -1.9202913912915e+00,                    A, -2.6591976122756e+00,  1.1413803788602e+00,  4.2215050416403e-02,                    A, -1.6886891201459e-01, -3.4756781538397e-01,  1.1011294713270e+00,                    A, -8.0147127267337e-02, -8.5791412934013e-01, -9.9505544228448e-01,                    B,  1.2272560238573e+00, -6.5677129558796e-01,  2.6004753030394e+00,                    B,  1.3650770723990e+00, -1.0420752548114e+00, -6.3408565341781e-01,                    B, -4.1199111999956e-01,  7.6040120990595e-01,  2.9724098942206e+00,                    B, -3.0428180624458e-01, -5.7346523792201e-01,  8.8461580402703e-01,                    A, -1.3777079505530e+00, -6.9578925674098e-01, -4.3338209676173e-02,                    B, -1.6168254871038e+00,  6.4454469561118e-01,  6.0703823430723e-01,                    A,  1.0154030432493e+00, -6.2062121397563e-01,  7.3614563111273e-01
                    A, -1.5522963540632e+00, -2.4462663598169e-01, -1.5359033640023e+00,                    B,  9.4400966997512e-02,  1.6376800522626e+00, -1.6412416354269e+00,                    B,  1.0040894052577e+00,  7.9129969438881e-01,  1.1850516730546e+00,                    A,  9.6498247087377e-01,  6.9378319774147e-02, -6.7207710491612e-01,                    A,  1.3240767166482e-01,  9.5024100128144e-01, -6.7166861837879e-01,                    A,  6.7057347412337e-01, -1.4512692621368e+00,  4.6192561928745e-01,                    B, -1.8198288583135e+00,  2.3232847299399e-01,  6.2592109613925e-01,                    A,  1.7647781740457e+00, -9.1413744350188e-01, -1.5270756374683e+00,                    A, -2.4017183168425e-01,  1.4319158073388e+00,  5.7735182197275e-01,                    B, -3.1267942959259e-01,  8.5491301577939e-03,  1.0909595671270e+00,                    A,  8.0666940808964e-01, -2.5755359068577e+00, -3.2006705078797e-01,                    B,  1.6051514925725e+00, -1.5633181905428e-01, -2.2166104073755e-01,                    B,  4.9279829697858e-02,  4.3685929657338e-02, -8.9496117935667e-01,                    B, -2.4274006826180e+00, -7.0682433437969e-01,  1.5145345667124e-01,                    B, -1.3075112530885e+00, -8.0406215604735e-01, -2.4890754466831e+00,                    A, -2.7839645556620e-01, -3.9085557514983e-01,  2.0122135524884e-01
                    B,  1.2957165168522e-01,  1.5335949744220e-01, -1.5571009957042e+00,                    B, -1.6431029621945e+00,  7.3327263627401e-01,  1.1375979325029e+00,                    B,  1.2780446032874e+00, -8.7465855028301e-02,  1.1716347657081e+00,                    A, -3.0477774541337e+00,  6.9324555017917e-02,  5.2500118999502e-01,                    A, -7.8898821706443e-01,  3.7683877078644e-01,  8.6596681671072e-01,                    B, -1.2226634015496e-01, -9.9395769459284e-01,  7.9361644003817e-01,                    B, -4.0685365765326e-01, -3.6753969856533e+00, -1.3108661569984e-01,                    A, -1.3946615271951e-01, -8.6149504528779e-02, -1.4617687311906e+00,                    A,  1.0197428878329e+00,  5.9059697749982e-01,  1.1501334120563e+00,                    B, -7.1316328469938e-01, -1.0210724657887e+00, -1.0311888116043e+00,                    B, -7.9613373160487e-01,  9.3566334209945e-01, -1.9834164281882e+00,                    A,  6.1808721143687e-01, -1.7061009102386e+00, -5.8584966209126e-01,                    A,  6.2552712402959e-01,  1.3741822048094e+00,  6.4510988648970e-02,                    B,  1.5774373178484e+00, -4.8140538531298e-01, -1.6766547314572e+00,                    A,  1.4799312865140e+00, -2.4289473523200e+00,  9.6744913769456e-01,                    A, -9.1260168599386e-01,  7.4871700314810e-01, -6.0989645935898e-01
                    A, -8.8718247769349e-02, -4.1393860314434e-01,  3.7324763501580e-01,                    B, -7.3483109691279e-01,  2.9016680411166e-01,  1.8754477157237e+00,                    B,  1.1134597269439e+00, -1.0186074052826e+00, -1.4813150900355e+00,                    A,  3.7020437788916e-01, -8.2015087495801e-01,  3.9873148659650e+00,                    B, -3.8177072750460e-01, -6.7526104260826e-02,  6.7242765875359e-02,                    A,  1.7892774991841e-01,  1.2826514635496e+00,  1.4691942809606e+00,                    B,  2.7766590766372e+00,  5.2916150856426e-02,  1.2384201676530e+00,                    A, -6.1050536854584e-01, -2.8837565742797e+00,  8.8460835132065e-01,                    A, -1.7429894192089e+00,  1.0619275213423e+00,  1.5308326166867e+00,                    B, -2.2039696937262e-01,  3.6115314723733e-01, -1.7282240350482e+00,                    B, -1.8862765078575e+00, -7.4681502381327e-01,  8.1491847955930e-01,                    A,  2.4795340665789e+00,  9.4082978876258e-01, -1.5109349682779e+00,                    A,  1.6155368835899e+00, -5.0251072136137e-01, -6.9799868606522e-01,                    B, -6.6129747769636e-01, -1.2620319077821e+00, -1.1612084485610e+00,                    A, -1.1308192252761e+00, -2.6580652104157e-01, -5.3403062910413e-01,                    B, -7.4963857787694e-01,  1.2068897232208e+00,  5.2387893444711e-01
                    B, -3.5003592237351e-01, -1.3839233598798e-01, -1.4933508196153e+00,                    A,  2.5196325967313e-01,  1.7733457244305e-01,  1.5237700823188e+00,                    B, -2.0089790390563e+00,  4.1603488237045e-01,  1.9563684867654e-01,                    A, -2.7741294572428e+00,  4.2205280387101e-01, -1.7713107889935e-01,                    B,  1.4339004482321e+00,  1.2155012290731e+00, -6.1738436398103e-01,                    B, -4.6573364377595e-01, -7.4047116448360e-01,  2.2404483885698e+00,                    B, -1.5610564198203e+00,  1.7456737915931e+00,  9.2014013509957e-02,                    B,  8.6279708299595e-02,  1.1313904123634e+00, -3.5248492757074e-01,                    A,  1.9145606098798e+00, -8.8286977287590e-03,  3.7001967866747e-01,                    A, -5.0493697610491e-01,  1.3762626853024e+00,  9.8685723203484e-01,                    B,  1.9494582344209e+00,  2.4666638431781e+00, -1.7757205723727e+00,                    B,  1.3566574936738e+00,  2.8459765451134e-01,  1.9884091199621e-01,                    A,  4.4785627089798e-01,  4.3471593099606e-01, -1.2221050766401e-01,                    A,  6.1660178058145e-01, -1.3207223524767e+00,  1.0510541555553e-01,                    A, -1.5772448486768e+00,  1.2229295621062e-01,  9.9658804640215e-01,                    A,  1.8423326803704e+00,  1.0719131091855e+00, -1.8616503648976e-02
                    B, -1.0798724738103e-01, -5.3670397262620e-01, -1.3581336424741e+00,                    B,  1.0673354659316e+00, -5.7395499204656e-01, -6.0460914810334e-01,                    A, -4.5786270804702e-01, -1.1328600240693e+00,  2.7918135153740e-01,                    A,  1.2424317956166e+00, -1.3785634250616e+00, -8.9143941578440e-01,                    B, -9.1589543991253e-01,  1.5253462635287e+00,  1.0429558258587e+00,                    A, -7.2933548585861e-01,  5.8007523474440e-01, -5.6818985788070e-01,                    A,  1.8585464466602e+00, -1.8128975214758e+00,  1.8692750850794e+00,                    B,  2.2703815138853e-01,  5.8955148390299e-01, -7.6214371447071e-02,                    B, -2.0908902357825e-01, -1.3604668591372e+00,  1.9211857060041e+00,                    B, -1.0689224334987e+00,  5.7968092203387e-01, -5.4663586273989e-01,                    A,  1.5107333048528e+00,  3.5351609497896e-01,  5.2901680551546e-01,                    A, -6.8967173575884e-01,  2.4471240900734e-01,  1.5635700117907e+00,                    A,  1.2770823089345e+00,  1.3329878638837e+00, -1.5207563401956e+00,                    B,  1.1067304915722e+00, -1.0312263494652e-01, -2.1574248223322e+00,                    A,  9.3779328158951e-01, -2.8795283606182e-01, -1.3287339812566e+00,                    B, -2.1260224033654e-01,  1.9963610116672e+00, -1.2147870028885e+00
