#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A,-3.242847305615e+00, 3.530453272092e+00,-5.554342876815e-01,                  B,-1.794652065055e+00, 3.128469794958e+00, 1.061554451473e+00
                  B,-6.832300048527e-02,-1.857564784568e+00,-9.731997131595e-01,                  A,-2.374348089780e+00, 1.244821450598e+00,-2.273288449480e+00
                  A,-1.208418373102e+00,-1.007782844052e+00, 1.265051555169e+00,                  B, 3.691960283738e+00,-1.366469002147e-01, 2.411230755407e+00
                  A, 9.834019713009e-01, 1.774514677425e+00, 6.973332644965e-01,                  B,-2.141977137166e+00, 4.311619320047e+00, 9.851867990685e-01
                  B, 6.168659759408e+00, 9.769805921255e-01,-2.506045865117e+00,                  A, 2.503860092023e+00, 8.364747392215e-01,-4.847139212700e+00
