#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A,-1.126484676620e+00, 1.693442433581e+00, 4.721731002652e-01,                  B,-1.511284629099e+00,-1.154029686114e+00,-4.595794294655e-01
                  B, 6.949632198337e-01, 1.981976821047e+00,-3.470140715164e-01,                  A,-1.300454126633e+00,-2.703502325470e+00, 1.025657371811e+00
                  B,-1.730248022249e-02,-1.848503792937e+00,-1.292474499529e+00,                  A,-1.802193586121e+00,-7.092001108374e-01,-1.127271477394e+00
                  A, 3.057870970938e-01,-9.956920876600e-01,-1.305793209664e-01,                  B, 1.409667897783e+00,-1.474355530618e+00, 1.397780069459e+00
                  A, 5.064132920980e-01, 4.039009972801e-02, 1.805545210802e+00,                  B,-3.966345914644e-01, 1.196285897560e+00,-6.958082460022e-01
