#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A, 1.878917608318e+00,-2.593239490133e-01, 2.172295291143e+00,                  B,-4.706164407742e+00, 4.828341704326e+00,-5.490296545884e+00
                  B, 1.004402038528e+00, 7.600492830254e-01, 5.075284542788e+00,                  A,-6.329828937034e+00,-2.375955239806e+00, 1.207772844913e-01
                  B,-1.565954593454e+00,-2.830077935462e+00, 6.930601768223e-01,                  A, 4.489848272319e+00, 2.467365991385e+00,-3.036190654507e+00
                  A,-4.187579107689e+00, 2.178194604808e+00,-1.485512426955e+00,                  B,-2.858208649452e+00,-5.518326533316e-01,-9.150533460744e-01
                  A,-2.341696731023e+00, 3.973861455139e+00,-3.474729148182e+00,                  B,-1.269165713942e+00,-8.836783944141e-01, 5.529262109223e-01
