##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    B,  3.2327519288480e+00, -1.7493265859812e+00, -9.2518646064925e-01,                    A, -3.5792365020272e+00,  1.1858746703566e+00,  1.6464169421219e+00
                    B, -2.4187401684760e+00, -1.6810904631647e+00, -5.9207456541945e-01,                    A,  1.7027827309327e-01, -3.3153127014153e+00, -5.3769890688885e-01
                    A, -1.9676308510016e+00,  6.9687029436494e+00, -2.0485435946964e+00,                    B,  2.7176612803736e+00,  3.3757218498409e-02,  5.7311403695980e-01
                    B,  7.5821704737377e-01,  4.3805107311529e+00, -4.5158909694398e-01,                    A,  4.8492104849730e-01, -1.5621774808842e+00,  4.3578346921540e-01
                    B,  4.8465710491304e+00,  5.2398622543610e-01, -2.3893823852545e+00,                    A,  1.6447223979048e+00,  1.4093870993560e+00, -2.8121873467260e+00
                    A,  2.5769434243447e+00, -4.5292718739338e+00,  2.7752546807145e+00,                    B, -1.5224416820462e-02,  1.2447579177258e+00, -3.8416316018821e+00
                    B,  3.3155362274914e+00, -2.9266552417098e+00,  7.0232610652884e-01,                    A,  2.0407265672858e+00,  4.6962199826357e-02, -4.3591307867326e+00
                    A, -2.0912135578893e+00, -1.4540176420194e+00,  9.3121520127645e-02,                    B,  1.3283491112552e+00,  6.6138633994072e+00,  3.6109868782214e+00
                    B,  1.7265340975947e+00, -1.6486855620543e+00,  8.6992372550581e-01,                    A, -2.5304823928562e+00, -4.1751803690775e-01, -2.8398890077047e+00
                    B,  2.0015937146433e+00,  2.7482660594726e+00,  2.3112537083110e+00,                    A, -1.7738041042747e+00,  1.1884257205523e+00, -1.7398465331097e+00
