#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  A,-2.074832459757e+00,-8.500687918138e-02, 1.596280692419e-01,                  B, 2.834511146300e+00, 2.053769889710e+00, 1.699114203551e+00,                  A,-3.808871343255e-01, 1.778329823010e+00, 1.207560820874e+00,                  A, 1.289445468232e+00,-9.617256860099e-01, 6.552230792394e-02,                  B, 1.249964014871e+00, 3.783244501263e-01,-4.867670266321e-02,                  B,-2.531689100259e-01, 2.519534612175e+00, 5.978082653549e-02,                  A, 1.292780671482e-01,-3.808926417160e-01, 1.900659368030e+00,                  B,-9.797493090416e-01,-2.065350945662e-01,-2.278225735188e+00
                  B,-1.910017469121e-01, 2.206720876957e+00,-2.578938637328e-01,                  B, 2.899147149289e-01, 7.563883361034e-01,-2.906599639353e+00,                  A, 1.275116320109e+00,-1.420681682029e+00,-4.896964692956e-01,                  B, 1.489507575863e+00, 2.680365546566e-01,-1.276835124669e-02,                  A,-3.411061426622e-01, 7.726651992046e-01, 1.531987326486e+00,                  A, 2.231590661411e+00,-1.964238193753e+00, 1.902153977092e+00,                  B,-4.281523551504e-02,-6.122333987139e-01, 2.917970364130e+00,                  A, 4.658899917720e-01,-1.843387867402e+00, 1.478205156379e+00
                  A, 9.560655270760e-01,-4.643922361322e-01, 3.755470309232e+00,                  B, 1.057327300145e+00,-2.794639498554e+00,-9.513262111020e-01,                  A, 7.225444937587e-01,-4.768040632516e-01, 1.482938609678e-01,                  A, 1.883912030271e+00,-5.908240645769e-01,-1.762274655190e+00,                  A, 2.025411259975e-01, 3.374058238750e-01, 1.947403866000e+00,                  B, 1.538715020253e+00, 9.807781623871e-01,-1.783721428347e+00,                  B,-2.305727976355e+00,-4.430665047502e-02,-1.759970871876e-01,                  B, 2.307686599815e+00, 3.061203013724e-01, 6.932250909210e-01
                  B,-5.912158393186e-01,-1.057763512044e+00,-6.397889852195e-01,                  A,-1.669158227743e+00, 1.009328524418e+00,-1.740268584435e+00,                  A,-7.846070746211e-02,-7.010160338108e-01,-2.618379092741e+00,                  B, 2.675240390477e+00,-4.771572382915e-01, 1.144797021020e+00,                  B, 1.340847028122e+00,-5.735869732478e-01, 1.055977245272e+00,                  B,-1.758521289020e+00, 5.217845829222e-01, 9.005182592171e-01,                  A,-1.077750139486e+00,-1.012755568374e+00, 1.757105695398e+00,                  A,-9.150724256164e-02, 5.407377515756e-01,-3.140171184927e-01
                  B, 1.927553635161e-01,-1.255207416625e+00,-6.488953578396e-02,                  A,-5.273365322956e-02,-2.177272735897e+00, 1.145800769536e+00,                  A,-3.145940908558e-01, 9.121223995786e-01, 1.676742368184e-01,                  A, 1.485959673448e+00, 2.926848094425e-01,-1.686549271686e-01,                  B, 1.468283190958e+00, 1.712291243779e+00, 2.565511947558e+00,                  B,-1.051644816503e+00, 2.178584750417e-01,-5.740300524462e-01,                  A,-7.599884266688e-02,-2.258061233817e+00,-8.773342239052e-01,                  B,-1.472436414046e+00, 1.970508002500e+00,-8.773543212115e-01
