##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B,  1.0609238353105e+00,  1.3399356035879e+00,  1.2095618878295e+00,                    A,  1.4705537265460e+00, -2.3351568095846e+00,  7.0553362425908e-01,                    B,  2.4700892701749e+00,  3.5748278671436e-01, -1.8868150360237e+00,                    B, -5.4701959159113e-01,  4.3797818583784e-02,  6.6084252028339e-01,                    B, -1.0679797862450e+00,  7.2592879583040e-01, -1.7889663869214e+00,                    A, -7.1029739697045e-01,  2.8644003135677e+00, -3.0170777910344e+00,                    A,  7.3994481455422e-01,  3.0052584464773e+00,  2.1657517875748e+00,                    A, -1.2902724185223e+00,  6.7415889316206e-01,  1.0009156627120e+00
                    B, -6.7331846302924e-01, -1.0014545342425e+00, -1.0780532909960e+00,                    B,  3.2761318951335e+00, -2.5824998211504e+00,  7.4705252197838e-01,                    A, -4.2197852685767e-01, -6.6618100084645e-01,  3.0335588782637e-01,                    A,  8.3793935753270e-01, -2.2532217138651e-01,  1.0908526693335e+00,                    B, -4.1837255311441e-01,  3.0822449368689e+00, -1.8560575086411e-01,                    B, -4.5184861690905e+00,  2.0329014180442e+00, -3.1749354144668e+00,                    A, -1.6337361693225e+00,  7.1467654893760e-01, -8.9857412214394e-01,                    A,  1.7587390705668e+00, -3.3815080570865e+00,  7.1528092024367e-01
                    B, -2.8492632292652e+00,  1.1619192513677e+00, -1.3425696062039e+00,                    A,  5.0934990948057e-01, -6.8741058540237e-01,  1.0644162223731e+00,                    A,  5.6960679369612e-01, -1.5411393124244e+00, -2.9130054110817e+00,                    B, -5.9733301281244e-01, -6.6835467771868e-02, -2.6275443011545e+00,                    B,  1.5531663384769e+00, -4.6287372162640e-01, -1.5373546571805e-01,                    B,  1.3392973758209e-01,  9.0650406694269e-02,  5.1771935023020e-01,                    A, -8.2050658899306e-02,  6.9043647964796e-01, -1.4097409803285e+00,                    A, -2.6052330832235e-01, -4.3388541277641e-01,  2.4984238335191e+00
                    A,  2.1029291234978e+00,  1.9443453638587e+00, -2.8711192021674e-01,                    B,  5.9227243181162e-01, -3.3507604731822e-01, -9.0994723159350e-01,                    A,  8.1876364430687e-01,  2.2000397431414e+00,  3.5477318430676e-01,                    B,  3.5215400740445e+00,  9.2918817067263e-01,  1.0060901741683e+00,                    B, -1.2977533728955e+00,  7.2597876632456e-02,  1.3629189843968e+00,                    A,  2.3993872237724e+00,  8.7762707389941e-01, -1.6362920668479e+00,                    A, -1.1598460495626e+00, -1.0802520398156e+00, -3.8104299419329e-01,                    B, -1.6534224910553e-04, -4.9417797265043e-01,  1.6358760507778e+00
                    A,  2.4666173178305e+00,  6.9329277119406e-01, -1.6791813127172e+00,                    B, -2.7814391048124e-01, -5.5594142368936e-01, -3.0381808405260e+00,                    A,  8.0198616947428e-01,  1.4679250498335e+00,  1.9657458102808e+00,                    A, -5.7343400941737e-01, -2.6064892332949e+00, -1.6135459747168e+00,                    B, -6.6935671858289e-01, -7.2048056143444e-01, -5.2814028293184e-02,                    B,  1.7578660928864e+00, -3.0924853172068e-01, -2.0330962031275e-03,                    B,  1.4747889229508e+00,  7.4687608215206e-01, -7.8122395393953e-01,                    A, -7.5267944873387e-02, -2.1088430717634e+00,  1.0982964594661e+00
                    B,  1.9527881488535e+00, -4.3468392817275e+00, -2.8657322460691e+00,                    B, -1.8990346880591e+00, -1.4576357276894e+00, -1.1040571552870e-01,                    B,  1.9324811160097e+00,  2.4796116396955e+00,  9.8452637996729e-01,                    A,  3.5272467580934e+00, -4.5988208620837e-01, -1.7973893720991e+00,                    A,  6.0103245307064e-02,  1.8381190689365e+00,  2.2186777766809e+00,                    A,  5.5087480900752e-01, -2.6544221469946e+00, -2.4621201172365e+00,                    B, -7.4928693719276e-01, -1.9176694212490e+00,  1.4043264613521e+00,                    A, -1.7930815188854e+00,  1.7539167463191e+00, -9.5518594030245e-01
                    B, -8.6635356654383e-01, -4.2863956158511e-02,  2.0612271403286e+00,                    A,  3.2540686484429e+00,  1.7546754115500e+00,  6.4114839173335e-01,                    A, -7.8674849874824e-01,  6.9225836051654e-01,  1.1405544348285e+00,                    A, -3.3745803592570e+00,  1.1281335244196e+00, -1.6342020488252e+00,                    B, -2.5784343349559e+00,  1.7958395970230e+00, -5.0942624653680e-02,                    B,  2.5868495922050e+00, -1.4317268370344e+00,  2.2076479372575e+00,                    B,  2.1385988276162e+00, -6.7413494303266e-01,  8.8590142386661e-02,                    A, -3.5944265355783e-01, -3.5575956644765e+00,  1.7515117379260e+00
                    A,  5.6734178375278e-01,  2.2328276235658e+00, -2.0172911610990e+00,                    B, -1.0132019751638e-01,  5.8887940601679e-02,  8.7356234708647e-01,                    B,  8.3071019540533e-01,  1.3468500048693e+00, -5.2164083124998e-01,                    A,  1.1737864257333e+00,  1.8915752650255e-01,  1.8016981847774e+00,                    A, -2.0601825562777e+00, -8.7489164911784e-01,  7.4478554256777e-01,                    B,  1.2256261363746e+00, -6.7248493654318e-01, -1.6768406012874e+00,                    A,  6.9287850186941e-01,  1.0885668866617e-01, -5.3885391439268e-01,                    B,  9.9486410215940e-01, -1.8410285596018e+00,  1.8282706733617e+00
                    B,  6.5834185941175e-01,  2.6819686722957e+00, -2.2147894513802e+00,                    A,  2.2086161385651e+00,  3.3820355306874e+00,  6.2582388447559e-01,                    A,  6.5510966133087e-01, -8.6845563805512e-01,  4.6212802171572e-01,                    A, -3.0596237635227e-01,  1.3694688826242e-01, -2.0669250427019e+00,                    B, -8.5109998749771e-01,  2.1957416968513e+00,  3.2205734865484e+00,                    A, -1.7387729686083e+00, -1.1743699248705e+00, -1.2447638691971e+00,                    B,  1.5470153992395e+00, -4.0716848535850e+00, -4.8203215313070e-01,                    B,  2.2976145553596e+00,  1.5934534791926e+00,  1.5225607091807e+00
                    A,  7.4251451287375e-01, -7.2569032776804e-01,  3.5490374257877e+00,                    B,  1.5862892681454e+00,  4.7025883870440e-01, -2.8770862491356e+00,                    B,  8.2315713765028e-02,  1.9926517404776e+00, -2.7996070640423e+00,                    A,  2.7386296908992e+00,  5.2815796992506e-02,  4.7288111729455e-01,                    A,  1.3644205121061e+00,  3.1062880054902e-02, -1.7976269469104e+00,                    B, -2.5864410936824e-01,  3.1064870542949e-01, -2.8791743598976e+00,                    B, -5.0753031665615e-01,  2.3019745325217e+00,  1.3604569245695e+00,                    A, -1.2423025488499e-01,  2.8732246874616e+00, -5.0779888337066e-01
