##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B, -1.3392115863747e+00, -2.9670434007416e+00, -5.3782925810032e-01,                    A,  1.9491124302863e-01, -1.6072867084338e+00,  2.2716936779975e+00,                    B, -5.7474684347089e-01,  2.4854537034554e-01, -5.3387095137004e-01,                    B,  1.6761776062915e+00,  2.0887234670437e+00,  9.5828800117919e-01,                    A,  3.0975367472590e-01,  1.3961755137845e+00, -1.5289695705724e+00,                    B, -1.4045798566304e-01,  1.9559312896192e+00,  6.2463468352703e-01,                    A, -1.3190410588111e+00, -2.1291222214040e+00,  9.8387006200205e-01,                    A,  1.8305748016627e+00, -1.0717126888370e+00, -8.8404903075239e-02
                    A, -2.6193610150784e+00,  1.4280590104902e+00,  9.5962173073638e-01,                    B,  1.1618013996774e+00, -8.4877586408715e-01, -3.5271928470057e+00,                    A,  5.0798161431178e-01,  1.7693413447114e+00, -1.0880953624866e+00,                    B, -5.9601111095386e-01,  2.4898003568290e+00, -5.7640935018241e-01,                    B,  8.2595533885155e-01, -2.6275626278767e-01, -1.7041158427227e+00,                    B, -1.9247586069657e+00, -2.0766794907185e+00, -2.1193822665382e-01,                    A,  2.6348239959074e+00,  9.5682411054065e-04, -1.6391912314509e+00,                    A, -6.2331875201678e-01,  1.5083527279524e-01,  3.6336936658751e+00
                    B, -1.5273894665307e+00, -3.3943547524573e-01,  1.4875563903370e+00,                    A, -2.8385998783209e-01, -1.6988063657311e+00,  1.4184029553032e-01,                    A,  6.6846977297972e-01,  6.5541216370399e-01, -2.0590974105925e+00,                    B, -1.1364599322196e+00, -1.0532165429202e+00, -2.2424953676163e+00,                    A, -2.8333258725004e+00,  2.0048180287825e+00, -3.9138189796958e-01,                    B,  1.2343174998513e+00,  2.1991260469707e+00,  2.5194663703162e+00,                    A, -1.4166132587399e+00,  4.8578742004508e-01,  3.2018062409409e+00,                    B,  1.6494264590551e+00,  1.6793797374584e+00, -1.8757393467402e+00
                    B,  1.8616480288976e+00,  1.1716579747329e+00,  1.1457033759202e+00,                    A, -2.6070977843978e+00, -1.9469770929769e+00,  1.4679595216356e+00,                    B, -2.8051648022360e+00,  1.5283556602198e+00,  2.4956942010282e-01,                    A,  1.5380601827913e+00, -9.3903687121089e-01,  1.4805826336873e+00,                    B, -7.4929484991555e-01,  7.6547575083934e-01,  6.1188693873758e-01,                    A, -1.7950189892856e+00,  2.2006476399241e-01, -4.0584599573385e-01,                    B,  1.2574113317538e-02, -1.7541824817269e+00, -5.2517556758291e-01,                    A, -1.2647882999229e+00, -1.3433414896996e+00,  1.3239260400306e-02
                    A,  5.3705550346494e-01,  1.7537521325264e+00,  5.3543116737349e-01,                    B,  6.7884825218177e-01,  4.2323114434389e-01,  1.4141633174740e+00,                    A, -1.4420542213283e+00, -9.9454608959364e-01, -1.9704426060952e+00,                    A, -1.2967990402324e+00,  6.7203880333988e-01,  2.8522420384200e-02,                    A, -1.7403105164589e+00, -5.8644460963843e-01,  2.5403439021259e-01,                    B,  3.2490688828718e+00,  6.5962935046588e-01,  7.5099742483656e-01,                    B,  3.5658615463444e+00, -3.5981375629396e-02, -8.7385206069490e-01,                    B, -1.2899246368531e+00,  9.2629121496500e-01,  1.4254712773444e+00
                    A, -1.7669664312067e-01,  6.5805582549180e-01, -7.7642379260872e-01,                    A,  5.6485435340950e-01, -1.3177981890808e+00,  1.7090375264862e+00,                    A, -2.4881135961803e-01, -6.5036126992846e-01, -3.0424361234077e+00,                    A, -1.6719349483862e+00,  1.3706509270594e-01,  1.7314552479798e+00,                    B,  5.8485061982615e-01, -2.1487617104368e+00, -7.8693519652394e-01,                    B, -3.0040540752081e+00, -5.2173134817128e+00, -1.1711303286687e+00,                    B,  1.4638430301809e+00, -3.6528652966488e-01,  5.3128076625240e-01,                    B, -1.5496867583489e+00, -1.6497926283083e+00,  2.3448477509124e+00
                    A,  5.5160376087600e-01,  3.2352209763655e-01,  4.0585033662753e+00,                    B,  1.6322095149383e+00, -1.0691130718722e+00, -1.0902022843719e+00,                    B, -7.7722009312316e-01,  1.2391560850471e+00,  2.3820064415706e+00,                    B,  1.7046104390845e+00,  7.8546333685507e-01, -1.5301690677355e+00,                    A, -3.1204935763044e-01,  3.2145477424805e+00, -1.3036293191281e+00,                    A,  5.6801161989501e-01,  2.5144944628111e+00,  4.8368024818748e-02,                    A, -1.3055885911837e+00, -5.5777433023251e-01, -4.1148066378830e-01,                    B, -4.7812865289245e-01, -2.9023727996094e-01,  4.1401466852783e-01
                    A, -1.0585106780565e+00,  5.9354812936765e-01, -1.3789066576466e+00,                    B,  5.0695310809327e-01,  1.0269902185807e+00, -3.0786668987189e+00,                    A,  1.7028583011723e+00,  7.7249332100770e-01, -7.3688408401946e-01,                    B,  3.1236896888960e+00, -1.4512863226235e+00,  3.1524705998335e-01,                    A,  2.7271158710853e+00,  1.7596965601268e+00,  5.0455193241605e-01,                    B,  6.6989853389930e-01, -8.4912422809139e-01, -2.9743359460653e-01,                    A,  4.5537316857296e-01, -1.9823297526162e+00,  9.0369051792734e-01,                    B, -3.7202665457294e-02, -8.8911086556918e-01,  1.2040752499386e+00
                    A, -1.7867465847459e-01,  2.8012087451463e-01, -1.6210531393806e+00,                    B,  1.2326696858547e+00, -2.6572018189292e+00,  1.7093351565029e+00,                    B,  1.1229592397211e+00, -8.9759833278213e-01, -1.4661751836912e+00,                    B, -2.3125200011559e+00,  4.0492015871947e+00, -4.7156774845676e-01,                    A,  1.3226404501403e-01,  2.7916788757217e+00,  2.3365008223252e+00,                    A,  5.5410142895095e-01,  5.3450040501389e-01,  1.6638385277910e+00,                    A, -8.4356124855428e-01, -5.7567046248075e-01,  4.0175234591243e-01,                    B, -3.6208845554968e+00,  1.0730123445031e+00,  9.7948320480143e-01
                    A,  9.4333880438675e-01,  2.4931005228329e+00, -1.4398989402962e+00,                    A, -2.5284900838032e+00, -4.3011300464336e-01, -1.0403771008260e-01,                    A, -1.3905701854557e+00,  7.7664596575944e-01,  2.6860705198634e+00,                    A, -1.2307423721764e+00, -1.5730010170141e+00, -5.4210902196228e+00,                    B, -2.6347259677200e+00, -2.7724992202700e+00, -2.9748407365197e+00,                    B, -1.1786691597521e-01, -1.9390709857731e+00,  2.0557094159440e+00,                    B,  1.2663218037729e+00,  1.7331053792917e-01, -9.9635709860033e-01,                    B, -8.5318751473045e-02,  4.6613399263670e-01,  1.6567528671106e-02
