##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    A, -3.8408011446008e-01,  1.1517074966929e+00,  4.4657701540915e-01,                    B,  1.3259945131730e+00,  1.3986536933911e+00, -3.7847131718850e-01,                    B, -4.1475520424591e-01, -1.0130141980636e+00, -1.6604403369230e+00,                    A,  5.1755178578416e-01,  2.4873958332188e+00, -3.5353011305459e-01
                    A,  1.3094271178075e+00, -2.2985730597199e+00, -1.8323516364702e+00,                    B,  3.9496981211586e-01, -1.3353513040856e+00,  1.6147722991504e+00,                    A, -1.2428863096502e+00,  4.1113571675496e-01,  1.3657448729708e+00,                    B, -1.0668324347883e+00, -3.3336909391497e-01, -4.1701217263489e+00
                    B, -1.1929301461542e+00,  2.2333931089637e+00, -2.8259996912100e-02,                    A, -1.0101876957763e+00,  1.7172018773190e+00, -2.1849840327915e-01,                    A,  1.8327282384038e+00, -1.8763069573567e+00, -1.1157037519065e+00,                    B,  1.3384782650541e+00, -9.4721556840060e-01,  5.4504953556604e-01
                    A,  4.3544647968303e-01,  2.5242266122312e+00,  2.2700876050424e+00,                    B, -1.9456669912516e+00,  5.8433755438016e-01,  9.9323174554055e-01,                    B,  2.3663775580501e-01,  4.1699323626501e-01, -2.6028043309323e+00,                    A, -6.1060514831282e-02,  1.2793617273527e+00, -4.7639164646044e-01
                    A,  1.7049392745918e-02,  1.3321679096035e+00, -2.2888094531572e+00,                    B,  2.2488195301091e+00,  4.4028300173283e-01,  4.3336470004657e-01,                    B, -1.7669785526442e+00, -1.1539267662127e+00, -4.1080380526552e-01,                    A, -3.5272416446249e+00, -1.3400930868383e-01, -1.6359264889763e+00
                    A, -1.7308876891017e-01, -8.3444819154165e-01, -1.5924793285550e+00,                    B, -5.5495340275096e-02,  2.4770180537068e+00, -5.7246524383014e-02,                    B,  9.8972443272767e-01,  5.2174457174752e-01,  3.9413205269611e-01,                    A,  1.8653010435082e+00,  1.9372969154739e+00,  9.4689005035352e-01
                    A,  1.8246349093688e-01, -1.4409447781905e+00,  1.8153490080564e-01,                    B, -3.6807687649225e-02, -1.2462571994182e+00,  2.0762131868095e+00,                    A,  8.6906367081736e-01,  2.7988769382482e-01, -1.1326363980113e-01,                    B, -3.2893943994039e-01,  1.3937478614069e-01,  8.3604784257812e-02
                    B, -9.7825889697950e-01,  2.5980275426787e-01, -8.7097715167912e-01,                    B,  1.3044373935898e+00,  9.0825596895240e-01, -1.6901514019975e+00,                    A,  6.6476081993989e-01,  4.9252987478504e-01,  2.5042826201000e+00,                    A, -1.3720643007853e+00, -9.8653761277064e-01,  2.6766378073454e-01
                    A, -1.6481813613222e+00, -3.5081988345185e-01,  1.2067376739189e+00,                    B,  1.3829023839337e+00,  6.2688509077719e-01, -1.5162188687736e+00,                    B,  1.5894073966756e+00, -5.5793755580657e-01, -1.5209062875189e+00,                    A,  1.0450415865701e+00, -6.9640808778183e-01,  6.9870688540398e-01
                    A, -1.0348865794334e+00, -2.3625197093351e-01, -1.2338080028073e+00,                    B, -1.3960298838056e-01,  2.3862636048682e+00, -2.2143352483899e+00,                    A,  3.8877477191229e-01, -1.8990616190367e-01,  9.2640850614930e-01,                    B,  1.2157179045756e+00, -1.8846179107078e-01, -2.2455089371115e-01
