#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  A,-1.232186628726e+00, 2.194596836426e+00,-1.568533956020e+00,                  A, 4.392941133821e-01, 5.340305656536e-02,-1.519956133856e+00,                  B, 4.028835816120e-01, 1.205339497428e+00,-3.508434859239e-01,                  B,-1.767927127844e+00,-1.577489750217e+00, 1.252833469842e+00
                  B, 1.217765422587e+00,-1.098282249140e+00,-1.094311247358e+00,                  A,-7.315323998041e-02, 2.518767513524e-01, 1.015301500862e+00,                  B,-4.801394750098e-01,-1.465202448491e+00,-2.917502133652e+00,                  A,-2.263038871429e+00,-2.145361154675e+00,-1.193464049038e-01
                  B,-2.361869484836e-01,-1.599757795893e+00, 1.095351759589e+00,                  A,-5.845315316550e-01,-3.052380730853e-01,-3.100068405360e-01,                  A, 1.158648423381e+00, 2.104004591129e+00, 4.714484551326e-01,                  B, 2.824492695927e+00,-9.294536226240e-01,-1.575891889360e-01
                  A, 2.090078206128e+00, 8.284979818217e-01,-4.175074573762e-02,                  B,-1.293523008717e+00, 2.681850356841e+00, 1.297166356939e+00,                  B,-1.708454862699e+00,-1.512780681203e+00,-4.180525005596e+00,                  A,-2.074394594039e+00, 3.864528184652e-01, 1.063651777537e+00
                  A, 3.700940202002e-01,-7.959160076620e-01, 1.670229370014e+00,                  B,-3.055158030714e+00,-5.988507359021e-01,-3.746741884181e-01,                  B,-6.871104219672e-01,-1.127386760255e+00, 7.612588088501e-01,                  A, 5.778958267089e-01, 2.674785225256e+00,-1.273276208504e+00
