##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    B,  1.2717532115811e+00, -1.2834598467770e+00, -4.9616135885722e-01,                    B, -3.2183405007098e-01, -8.8030405750263e-01,  1.3657137830942e+00,                    A,  2.3752873301138e+00,  2.0476214319066e+00, -9.8141913645936e-01,                    A, -2.6090924182733e+00, -2.0925965669065e+00,  1.6976137625928e+00
                    B, -1.8647715862715e+00,  7.8801123405293e-01, -1.5860395900935e+00,                    A,  5.3749963539540e-01, -5.6238368496801e-01,  1.8166603032813e+00,                    A,  2.2922998063979e+00, -1.3857401482888e+00, -5.8674844730425e-01,                    B,  1.5573870001675e+00,  1.3120531423759e-01, -1.2357826769761e-01
                    A, -5.5961816044369e-02, -2.2912538680480e+00, -3.9540871033759e-01,                    B, -4.2678335430156e-01, -2.8093124857182e+00, -2.0125457748863e+00,                    A,  3.8007079837489e+00, -1.9201322123417e-01, -2.7160619960171e+00,                    B,  1.6735098045438e+00,  5.2474010841279e-01, -1.4753303450790e+00
                    B,  1.6653127906031e-01,  1.3667401337294e+00,  2.3491977939118e+00,                    A, -1.6837360202281e+00, -6.9860532616413e-01, -1.4898321070172e-01,                    A,  1.1067149893758e-01,  1.1353385752764e+00, -6.3968662107447e-01,                    B, -1.4551369613602e+00,  8.6789662572833e-01,  1.4406967864789e+00
                    A, -3.8023804087750e-01, -6.0830031273462e-01, -2.0004276372944e+00,                    A,  2.5473191586791e-01, -8.3188261229269e-01,  2.2884782887523e-01,                    B,  3.7805979281827e-01, -1.8495308325094e+00,  4.9184966238974e-01,                    B,  1.7252959384838e+00, -1.3338721413084e+00,  1.5089465511172e+00
                    B, -2.3651872134103e+00,  8.1705880447328e-01,  1.3036048784087e+00,                    A,  6.2562996113871e-01, -5.3831459769335e-01,  3.8777740640546e-01,                    A, -1.2863412964188e+00, -8.2327718337612e-01,  1.1305904912805e+00,                    B,  1.7762769234880e+00,  2.0986972606733e+00,  1.2275131929673e+00
                    B, -6.0162560080050e-01, -1.1852146837114e-01, -2.1959151390526e+00,                    B, -2.5618045089099e+00, -7.1337630150440e-01,  4.7028273327088e-01,                    A,  1.8087463194416e+00,  2.1168318591689e+00,  7.9497438290766e-01,                    A, -4.8241163190649e-01,  1.8238256920988e-01, -1.7932406943123e-02
                    A,  2.2878147747485e-02, -3.6073647213161e-01, -1.8592068963125e+00,                    A,  1.8766181690023e+00, -1.8153600217796e+00, -1.6044741086225e+00,                    B, -9.9749047168593e-01, -1.1625936205401e+00,  2.8821546395389e+00,                    B,  1.8533239798359e+00, -2.8941747714113e+00,  1.3803070462359e-01
                    B,  3.5319767905620e-01,  1.5864683885285e+00,  2.7483019174977e-01,                    A, -3.4042743258715e-01,  1.2754271051801e+00, -2.1542766843011e+00,                    B,  1.8237569679283e+00, -7.6075424950156e-01, -1.5820523363915e+00,                    A,  6.5218268484458e-01, -4.2350305801158e-01,  7.5346649905166e-01
                    B,  5.9006472763404e-01, -4.6196561611742e-01,  1.0021981171721e+00,                    A, -2.2018785727711e+00, -8.1695094942263e-01, -6.3231886655177e-02,                    B,  3.4517910105614e-01,  1.1576259779233e+00,  7.4423280581950e-01,                    A, -1.1631066233549e+00, -3.0477159936466e+00,  2.1070011014765e-01
