#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2,          p8 flavor,              p8 x0,              p8 x1,              p8 x2,          p9 flavor,              p9 x0,              p9 x1,              p9 x2,         p10 flavor,             p10 x0,             p10 x1,             p10 x2,         p11 flavor,             p11 x0,             p11 x1,             p11 x2
                  B,-3.031565841028e-01, 9.679386345187e-01,-4.871730849971e-01,                  A,-4.506864964177e-01, 4.049632983046e-01,-2.325095363444e+00,                  A, 6.169831717778e-01, 2.498145102411e+00, 4.513227113968e-01,                  B,-2.179181070152e+00, 1.373719797777e+00,-9.115667105370e-01,                  A, 1.523476806282e+00, 9.375767090812e-01, 1.895769812725e+00,                  A, 8.313686493021e-01, 1.348597511430e+00, 6.134346001739e-01,                  A, 1.998228950240e+00,-9.051331342069e-01, 1.981223871536e-01,                  A, 1.279553264605e+00,-6.748239813551e-04,-2.946962538477e-01,                  B,-1.626523633608e+00,-1.427899851085e+00, 8.532136077498e-01,                  B, 4.223750432030e-01,-1.585035655922e-01, 8.941147614038e-01,                  B,-2.846442501792e+00, 3.113329499005e-01,-5.898583017841e-01,                  B,-1.684713851671e+00, 6.549290735392e-01,-2.135602554566e+00
                  A,-2.738149292317e+00, 1.458025880254e+00, 9.824321229427e-01,                  A, 1.197708715389e+00, 9.313226170596e-01, 3.938838078419e-01,                  B,-9.373507327754e-02, 1.529409223007e+00,-2.120997292976e+00,                  A,-5.893007541912e-02,-1.124796939612e+00, 2.060682582274e+00,                  B,-1.131142960184e+00,-1.439340191613e+00,-1.181815971229e+00,                  A,-1.260058401120e+00,-8.477911248827e-01, 4.566630520934e-01,                  A,-9.414980613062e-01, 1.368003643937e+00, 3.032040931099e-01,                  B, 7.357760883142e-01, 3.267823686862e-01,-5.129175734790e-01,                  B,-6.179141380540e-01, 8.881355901286e-01,-1.039586590794e+00,                  A,-1.934359449090e-01,-9.823730432007e-01, 7.422374479685e-01,                  B,-1.565789939284e+00,-2.011478257140e+00, 9.737991203778e-01,                  B,-1.637656706994e+00, 1.835109966701e+00, 1.119830372797e+00
                  B, 5.009954169975e-02,-1.342999016182e+00, 1.589738656322e+00,                  A,-5.092123046353e-01, 2.545570306797e-01,-1.398348938156e+00,                  B, 1.710263045918e-01, 1.425242732876e+00,-1.934548496831e-01,                  B,-1.852222517376e+00,-1.202841484831e+00, 5.569725052869e-01,                  B,-2.106545747858e+00, 3.588412862966e+00,-9.171579245447e-01,                  B, 1.864657033742e+00, 1.311513522725e+00, 7.143196636686e-01,                  A, 1.500195658280e-01, 1.217611468644e+00,-1.633366033869e+00,                  A, 8.626254515977e-01,-6.623140956921e-01, 3.947026130110e-01,                  A, 1.947077845770e+00,-1.064776968306e+00, 1.377423270210e+00,                  B,-2.117713382898e+00, 2.198888675051e+00,-1.822149014244e+00,                  A,-5.498726765470e-01,-8.198679633016e-01, 3.265551470773e-01,                  A,-3.923120608937e-01,-1.329809437801e+00,-2.460049724327e+00
                  A, 1.349269049934e+00,-1.230738177155e+00,-1.782152182903e+00,                  A,-1.119940599806e+00, 1.583418650631e+00, 1.966553120333e+00,                  B, 7.944230044400e-01, 1.389031287428e+00, 5.383722193119e-01,                  B, 2.413358244184e+00,-8.605194594096e-01,-8.219148199827e-01,                  B, 1.889752603512e+00,-1.558400118941e+00, 9.970255399928e-01,                  A, 1.230574958202e+00, 2.508939211630e-01,-1.089228444708e+00,                  A,-9.083553472740e-01, 1.496801908887e+00,-8.489058307094e-01,                  B, 1.449361362268e-01,-1.575316615701e+00, 4.267250874234e-01,                  B,-2.402417313797e+00, 1.852431473655e-02, 5.191481818137e-01,                  A,-2.289203694817e+00,-8.053196198374e-02,-9.202051622730e-01,                  A, 2.463904238408e+00,-2.306538903396e-01, 1.284451785057e+00,                  B,-4.523605419761e-01, 3.856663188027e-01, 3.827908558893e-01
                  B,-2.360381686769e+00, 9.344464668735e-02,-2.097391788505e+00,                  A,-8.186716166738e-01,-7.986478431202e-01, 5.967796385052e-01,                  B, 1.959293171495e+00,-1.312832062731e+00, 7.154573445027e-02,                  A,-1.665790643812e+00,-1.690033997438e+00,-6.965237068134e-01,                  B, 1.823591482828e-01, 1.250958455585e+00,-1.027605548138e+00,                  A,-2.171094046962e-01, 2.303008088882e+00, 2.248298840895e+00,                  A, 1.903290917799e+00, 1.696150342734e+00,-6.808609212677e-01,                  B,-8.161996374034e-01, 6.260479756245e-01, 2.493800860796e+00,                  B,-2.579270705888e-01,-8.666261777136e-02, 1.220995594866e+00,                  A, 7.480427057801e-01, 7.844738647793e-02,-1.580718045262e+00,                  A,-5.341470476964e-01, 1.510141271180e-01,-1.751682545636e+00,                  B, 4.545700539890e-01, 6.736334259365e-01, 2.014307731902e+00
