#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B,-1.221988056256e+00,-1.347987072772e+00, 3.315276250234e+00,                  A, 3.904898925364e-01, 1.984874863220e-01, 1.223791225495e+00,                  A, 1.253922531417e+00, 1.658224815437e+00,-9.833410457168e-01,                  A,-6.940360873963e-01,-1.765486200040e+00, 4.734280408363e-01,                  A, 2.330721935643e+00,-3.423237932086e-01,-9.367643200079e-01,                  B, 2.017722321317e-01,-1.016809865865e+00, 1.700150248679e+00,                  B, 2.485886610553e-01,-1.468491190381e+00,-9.448543122584e-01,                  B,-9.378337611092e-02, 3.532985105938e-01,-2.227112700886e+00
                  B,-5.880058928416e-01,-3.049372063954e+00, 3.003097726410e-01,                  A,-1.469343342659e-01, 1.115501944884e+00, 1.697498600483e+00,                  B, 2.747645634366e+00,-9.028973081518e-01,-1.532652868446e+00,                  A,-4.562860235072e-01,-1.238865733102e+00, 9.034969551982e-01,                  A, 2.606106095887e+00,-2.037426132627e+00, 1.758472637825e-01,                  B,-3.940481882330e-01,-8.087963247946e-01,-2.641506129670e+00,                  B,-1.778618928895e+00, 6.416446428175e-01,-9.622400418350e-01,                  A,-1.485082142456e+00, 9.849024309505e-01, 1.930722208370e-01
                  A,-8.739527977848e-01, 3.189426000013e+00,-1.533369730344e+00,                  B, 7.789722933763e-01,-1.343500334513e+00,-6.311407473730e-02,                  A,-2.155187329039e+00,-2.153053253686e+00, 7.657186421256e-01,                  B,-9.358766860526e-01, 3.097718765471e-01,-3.629505652256e-01,                  B,-1.480581894143e+00, 1.574192953067e+00,-1.542638846000e+00,                  A, 3.709971536792e-01,-1.630476933601e+00,-2.272833306382e+00,                  B, 9.596478285597e-02, 1.489504903818e+00, 1.414274628119e+00,                  A, 1.425442078850e+00, 2.232281522175e+00, 1.589522579897e+00
                  B, 1.135588467929e-01, 1.361004427094e+00,-5.126942524761e-01,                  A,-2.308952987775e+00,-1.628216846878e+00, 4.390314530960e-01,                  A,-1.692144490760e-02,-2.703975048746e-02, 8.391004958396e-02,                  B, 5.346218864266e-01,-5.699637481962e-01,-2.266883519140e+00,                  B,-5.946684594582e-01,-8.710055253460e-01, 1.205272777307e+00,                  A,-8.768025210256e-01,-1.036016659519e+00, 2.230187219183e+00,                  A,-7.533632454600e-01, 2.033817883104e+00, 2.475241822321e-01,                  B, 1.811775903863e+00, 1.702752755634e-02,-5.449912289068e-01
                  A,-9.603293596956e-01,-1.790431406862e+00,-2.203782506037e+00,                  B,-3.538544687986e-01, 3.051407412345e-01,-1.117434567149e+00,                  A, 6.783948608384e-01, 1.065260256011e+00,-1.442604955563e+00,                  A, 2.137641986821e-01,-9.521935675268e-01, 1.179661194144e+00,                  A,-7.759643392316e-01, 1.053139330553e+00, 9.155710051983e-01,                  B, 1.044214693772e+00, 7.687394103867e-01,-3.249806731677e-01,                  B,-1.822982576652e+00,-1.388657968294e+00,-9.379426605341e-01,                  B,-1.064076013464e+00, 2.158264269098e+00,-1.682620049571e+00
