#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2
                  A,-6.905602230261e-02, 1.522839855332e+00,-1.490522510968e+00,                  B, 1.737783334934e+00,-6.422656868500e-01, 1.276894504360e-01,                  B, 2.273933384816e+00,-1.600836859463e-01, 2.875412498840e+00,                  A,-8.069832506789e-01, 1.376218975761e-01,-1.983108095767e-01,                  A,-2.637766988085e+00, 7.337254166018e-02, 1.582204188302e+00,                  B,-2.457785792804e+00, 1.074612310635e+00,-2.614068625780e+00
                  A, 5.995832981877e-01,-2.752869434476e+00,-2.479674218716e+00,                  B,-4.385795922583e-01,-1.956241746230e+00,-8.003852605817e-01,                  A,-1.488108008280e+00,-1.729106623205e-01, 9.193064892569e-01,                  A,-4.752378734019e-01, 8.295560849163e-01,-1.027972739409e+00,                  B, 3.462608004365e-01, 6.655056274907e-01, 1.883545226159e+00,                  B, 1.497667575051e-01,-4.978796658386e-01, 2.505678208363e-01
                  B,-2.876490520590e-01, 2.538050364706e+00,-2.059078627284e+00,                  A, 2.462888992087e+00, 1.081982952114e-01, 1.033086131739e+00,                  B, 1.084609537485e+00, 6.416215994371e-01,-2.368234704911e+00,                  A, 4.905279374011e-01,-1.756291300757e+00,-2.305330736113e-01,                  A,-1.467241050413e+00, 8.245115638903e-01,-1.083496622227e-01,                  B,-6.563300918116e-01,-3.265517049596e-01,-1.018903552620e+00
                  B, 3.598740183421e-01,-7.062683356857e-01, 1.126617296281e+00,                  B,-1.162557279995e+00,-1.513474648629e+00,-1.152997371844e+00,                  A, 1.469419379997e+00, 1.520233035207e+00,-1.381201111906e-01,                  A, 1.549799842314e+00,-9.847547497252e-01, 2.241194018252e-01,                  B,-1.106978435837e+00, 1.444246031787e+00, 3.962129747246e-01,                  A,-5.693962642624e-02, 4.545972984413e-02,-6.575983505621e-01
                  B,-6.750775213570e-01,-1.076515734934e+00, 9.860475078196e-01,                  A,-5.797407363763e-01, 1.388030911210e+00,-5.874156463934e-01,                  B,-9.524422630900e-01, 5.289923616768e-03, 2.068729163183e+00,                  A, 2.067874688232e+00, 2.201917523948e+00, 5.263163769440e-01,                  A,-6.931571122385e-01, 8.874469969819e-02, 1.054076925810e+00,                  B, 2.252900817630e+00,-3.753774135509e-01, 8.470496142601e-03
