##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    A,  2.4237869860609e+00,  5.7574512070819e-01,  4.4352362737787e-01,                    A,  3.6555436734899e-01,  1.0578216277105e-01, -4.7353723064274e-01,                    B, -3.2087597648922e-02, -1.0576761019294e+00, -1.1400202981672e+00,                    B,  5.7468466847238e-01,  7.6369508806758e-01,  2.8736324688097e+00
                    B, -4.0322224302012e-01,  1.4126452448696e+00, -1.0248958620937e+00,                    A,  1.8141396608933e+00,  7.6221327950617e-02,  1.8810695275939e+00,                    B,  1.2555611383633e+00, -1.2782912621179e+00, -3.0834245928586e+00,                    A,  9.8741892204114e-01, -1.1137189620120e+00, -1.0208162300559e+00
                    B,  1.6587421602449e+00, -9.2008814190699e-01, -2.7287986991108e-01,                    A, -7.7778806653855e-01, -3.4281377289067e-01, -5.3849029001506e-01,                    B,  1.3734377264548e+00, -2.5477710508830e+00,  6.9577936826253e-01,                    A, -8.0701356795415e-01, -2.2964696923542e+00,  7.4315171259238e-01
                    B, -1.8975245780421e+00,  1.0069219868995e+00, -8.3372550756326e-01,                    B, -6.7647510728215e-01, -1.4596785686386e+00,  9.8038580717804e-02,                    A, -1.7692517285876e+00, -4.0882287613425e-01,  7.1429719181167e-01,                    A,  2.3220091322691e+00,  2.3984954449077e-01,  1.8378354974081e+00
                    B, -1.3797257582624e+00,  1.6805903277058e+00, -6.1096950214403e-01,                    A,  3.6617066113861e-01,  2.3245846286140e-01,  2.6580939543158e+00,                    A,  6.5294118451778e-02, -1.0273190076784e+00,  8.7397213817262e-01,                    B, -1.1800959988758e-01, -2.5030163832051e+00, -1.2506957254817e-01
                    A, -1.3411896548087e+00,  4.2385662229119e-02, -1.2167178875517e-01,                    B,  1.1558739871790e+00,  3.3419509031097e-01, -1.9647552362235e+00,                    A,  1.9851408463972e+00,  7.3177704224538e-01,  2.5608068449346e+00,                    B, -6.4990707973735e-01,  2.6815530596163e+00,  1.3444644040712e-02
                    A, -1.4888366992611e+00, -9.9802536578931e-02, -2.4050531908889e+00,                    B, -7.6743412554719e-01,  1.2613016254520e+00, -6.9537309339262e-01,                    A,  1.5482097950872e+00, -2.1206267631722e+00,  2.1224662052932e-01,                    B, -1.2239861990498e+00,  2.0006803770225e+00, -1.0237547606969e-01
                    B,  5.2302176758949e-01, -1.5500612765022e+00, -3.4119475422814e-01,                    A, -9.5292940774768e-02,  7.8150784768457e-01,  1.7554871372824e+00,                    A, -6.2659262139757e-01, -1.5073554732709e+00,  1.3573702365207e+00,                    B, -9.5878651571730e-01, -4.3007031731228e-01, -3.0196840741064e-01
                    B, -4.9823108259589e-01, -1.5073300929453e+00,  9.0755642049746e-01,                    B, -1.9686802418253e+00,  1.5714222014582e-01,  5.2092584549478e-02,                    A,  6.4131421751230e-01,  1.2258596887383e+00, -6.8540565942440e-01,                    A,  4.5616151963055e-01,  9.3485070769335e-01,  1.0299140141925e+00
                    B,  4.0987816748125e-01,  5.5274247453321e-01, -2.4727826752345e+00,                    B, -3.5464690487574e-01,  1.3952262259284e+00, -1.2490245803313e+00,                    A, -1.8150040272070e+00,  1.7609064368458e-01,  1.8993880777400e+00,                    A, -7.7208544358011e-01,  1.2633842303155e+00,  1.4775332938324e+00
