##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A,  3.8399827852088e-01, -1.0587188074487e+00,  7.1816026163528e-01,                    A,  2.1576005340238e+00, -8.7104668699812e-02, -5.2081914160709e-01,                    A,  2.0092348375764e+00, -3.8725288492531e-01,  1.4241207567997e+00,                    B, -2.3491574596786e-01,  7.7671627349213e-01, -9.4522088649530e-01,                    A,  1.2770151039799e+00,  4.0041607520228e-01, -2.5444810335787e+00,                    B, -1.9463228603113e+00,  1.1746726736559e-01, -1.5135347742352e-01,                    B,  6.4555196654747e-01,  1.5479884647103e+00, -8.4015453495083e-01,                    B, -1.5489079165247e-01,  1.5762857806161e+00,  4.4568589433898e-01
                    A, -1.2770693671748e+00, -2.8415622768510e-01, -7.7323069662558e-01,                    A,  2.6956351064665e-01,  2.8233620722173e-01,  1.2619523595893e+00,                    B,  8.0622807947808e-01,  1.0457006109737e+00, -5.5537712615272e-01,                    B, -4.8565640334995e-01,  2.3132680298361e+00, -1.0696174700053e+00,                    A, -2.2014916775829e-01, -2.0464021298597e+00, -2.8080943618094e-01,                    B, -7.0575544085662e-01,  2.3723886194310e+00,  9.3650599494615e-01,                    A,  1.6029312176829e+00,  1.3272416349807e+00,  7.6643603893624e-01,                    B, -1.2652153054965e-01, -1.4584988684426e+00, -1.6044662317378e+00
                    B, -3.2774448727899e-01,  1.4306101298000e+00,  1.6281117510167e+00,                    A,  2.5022315744143e+00, -4.0180985869568e-01, -2.0412588714690e+00,                    B, -1.0347310611083e+00, -1.4308257863135e+00,  3.9471539639595e+00,                    A, -4.1868960822872e-01, -2.6536999082709e-01,  5.9478515878959e-01,                    A, -2.8091390159408e+00, -1.1862467599117e+00, -2.1195697754789e+00,                    B,  1.0882064637113e-01,  7.0838397690148e-01,  2.3841902999476e-02,                    B, -1.4695240672114e+00,  7.3335177835995e-01,  6.0730729463067e-02,                    A, -6.3762386999925e-01, -1.4415220070959e+00, -3.2307195148143e-01
                    B,  1.5714407816875e+00, -8.2288574090983e-01,  1.6504385448525e+00,                    A, -1.4897901395844e-01,  7.2352842833768e-01, -1.2746124949791e+00,                    A, -2.2280796513053e+00, -1.5459297242082e+00, -1.6590383308046e+00,                    B,  2.2233389781558e+00,  2.7660781065032e-01,  4.5950459137653e-01,                    A, -1.5104808774348e-02, -2.6518732890395e+00, -1.5157356268558e+00,                    B, -1.2414857471391e+00,  1.2558721006335e+00, -1.5758097219224e-01,                    A,  8.1970107662984e-02, -4.6441765852560e-01, -2.1535207486440e+00,                    B, -1.8904335376856e+00, -9.4108245505578e-02,  1.1251634039085e+00
                    B, -1.0221726579022e+00,  2.3649249520037e+00, -1.7239526657800e+00,                    A, -1.5495307947680e+00, -1.8708677074608e+00,  2.3651719282338e-01,                    A,  1.8818575915710e+00,  2.6733453434696e-01,  6.8106674650293e-01,                    B,  1.9274393273707e+00, -2.4740149643385e+00,  9.8344760882326e-01,                    B,  8.5336826706058e-01,  1.4282335234863e-01,  3.2615872569092e-02,                    A, -3.7310443932121e-01,  1.4138938391061e+00,  5.7925527370190e-01,                    B, -4.9753863476833e-02,  5.9805644700997e-01,  1.8497536822696e+00,                    A,  8.6353306229033e-01, -2.3716854745211e+00, -1.1087513334227e+00
                    B,  5.4622541832028e-02,  2.2916490502912e+00, -6.9163898543319e-01,                    B, -9.2761331721688e-01,  7.5923251743638e-01,  1.2606677006503e+00,                    B, -1.6293282618296e+00,  2.8337427968063e-01,  2.6230817611770e+00,                    B,  7.9572630145559e-01, -1.6898007485489e+00, -6.5799018249971e-01,                    A, -1.5655870018519e+00,  7.3262426790059e-02, -1.5194365000592e+00,                    A,  4.9198362121357e-01, -2.9409656664831e-01,  4.2228404494175e-01,                    A,  9.0648702699917e-01,  4.4548100093590e-01, -8.6101955589865e-03,                    A,  1.1439721446669e+00,  8.2503363771432e-01, -1.4448330246354e+00
                    A, -1.1464751712474e-01, -4.9640806968108e-01,  6.8995615570237e-01,                    A, -8.4547731758737e-01, -1.9508238825982e+00,  1.0322123010002e+00,                    A, -7.5151991297114e-01,  7.0834466995844e-01,  9.3227865630560e-01,                    B,  6.7637807493614e-01, -4.4473064878498e-01,  2.6136228333407e-01,                    A,  2.6669676663884e+00,  9.0515606586124e-03,  8.6581749962156e-01,                    B,  4.1349440979179e-01,  7.6086861690828e-01, -2.3642188992821e+00,                    B,  2.3944855378030e-01, -1.6480112571649e+00, -1.2972232593428e+00,                    B, -6.4038898266435e-01,  1.7457331178109e-01, -1.1889014535843e+00
                    B, -3.5375639989868e+00, -9.5205401187439e-01, -7.9434626324624e-01,                    A, -2.0486672340078e+00, -3.1058354868114e-01, -1.1452040329177e+00,                    B,  1.0839627931455e+00,  1.2644317833512e+00,  1.2609697044739e+00,                    B, -1.4127599405767e+00, -7.6916099885151e-01,  8.9332788924189e-01,                    B, -1.4448679313726e-01,  1.0635640066536e+00, -4.1703174016782e-01,                    A, -1.6691496671902e+00,  6.2595130306524e-01,  1.9963987120628e+00,                    A, -6.8524997628221e-02, -1.9097226779848e+00, -2.0196667586266e+00,                    A, -6.1943703486406e-02, -5.9825417325002e-01, -8.0843855951282e-01
                    A, -8.3267156084443e-01, -1.3671077274829e+00, -1.6630831569471e+00,                    B, -3.2624499568059e-01, -1.2751274441586e+00,  2.2887082785135e-01,                    A,  2.3442720386757e+00, -1.0147672392323e+00, -1.1387763862967e+00,                    B,  1.1044663633249e+00, -9.4753846643482e-01,  2.2473230142492e-03,                    A,  9.8373761500988e-01,  5.4268475085161e-01,  5.1770406722202e-01,                    B, -1.3225316802971e+00,  1.5466856534327e+00, -6.4974638783098e-01,                    A,  1.3522997419295e+00, -2.4856891870576e+00,  1.5814686441750e+00,                    B,  1.9586510751283e+00, -1.8414099692057e-01, -1.6568490686701e+00
                    A,  1.7060690864186e+00, -2.7378977752891e-02, -1.3264077919824e+00,                    A, -2.1830123905476e+00, -2.3014526373611e+00,  6.7599796770840e-01,                    B,  1.3087472638830e+00,  1.2694711739651e+00,  7.9832241178963e-01,                    B, -1.4962078032277e+00,  1.5351329948751e-01,  5.0309036286132e-01,                    A,  6.8481422100972e-01, -1.6248836111037e+00,  1.7189315531526e+00,                    A,  1.8777709830246e-01,  5.8029942357765e-01,  2.9618337978500e+00,                    B, -1.2316143879101e+00,  1.5195265913572e-01, -6.9467417696117e-01,                    B,  6.0306413727937e-02, -3.7767763870202e+00,  9.9857011232183e-01
