##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B, -7.8165725175097e-02,  2.8192823312543e-01,  6.2322548327946e-01,                    B,  1.8824532110687e+00,  1.1765043897485e+00,  1.3202710702902e+00,                    A,  2.2086499874859e+00,  3.1424589217302e-01, -1.2138933095279e+00,                    B, -6.9473885217421e-01, -1.6499145868109e+00,  4.7423947650666e-01,                    A,  2.0274288371738e+00, -2.2002290461182e+00, -6.4970069580460e-01,                    A,  8.0561825782866e-01,  9.8973616643654e-01, -1.4947964597483e+00,                    B, -2.3726600186599e+00,  5.5443456334768e-01,  1.6503299033652e+00,                    A, -9.0817089411175e-01,  1.7521973112140e+00,  1.6962594653904e+00
                    A,  6.8092540398900e-01,  7.5410528827704e-01, -9.0565363408569e-01,                    A,  1.7829008176449e+00,  1.2165295152389e+00,  1.2164695281700e+00,                    B, -7.9058474543214e-04, -2.0967569763401e+00,  1.0032995834886e+00,                    B, -1.7873167679958e-01, -7.2680610382020e-01,  2.2871988437970e-01,                    B, -1.6237996028369e+00,  7.6402662964664e-01,  1.0120367198284e+00,                    A,  1.1831693636232e+00,  2.4714971390294e+00,  1.7671754145747e-01,                    A,  6.6691247826463e-01, -5.6939503474905e-01, -3.6825976853488e+00,                    B,  1.4654712507841e-01, -1.3322615939160e+00, -7.5690597634512e-01
                    A, -3.8238213840660e-01,  8.9488797874754e-01,  1.3460498998294e+00,                    A,  2.5569854458968e+00, -1.2374758755199e+00, -1.4399215589807e-01,                    B, -1.1720927482401e+00,  4.1928021006274e-01, -1.3832833391702e+00,                    A,  1.6455082402861e-01, -8.0000109763033e-01, -6.4365247594075e-02,                    B,  9.1715534750950e-01,  2.4622224440534e+00,  3.4719523806541e-01,                    B, -2.1332232645997e+00, -2.1759052335884e-01,  6.7723098234780e-01,                    A,  3.6613876760759e-01, -2.7495675379412e+00,  2.0571502339857e+00,                    B, -1.7551749604137e+00, -1.5076310099866e+00,  1.8115321913820e+00
                    A, -4.1238301855238e-02, -3.8940548209415e+00, -1.8903320304549e+00,                    A, -2.8720396601552e+00,  8.6246121931588e-02, -2.3124648356079e+00,                    B,  1.1009865458697e+00,  2.1135089060847e+00,  1.7916043110718e+00,                    A,  1.3520738345689e+00,  7.0350081392049e-01, -2.7168397378513e+00,                    B, -1.9322427202450e+00,  1.4574241919826e+00, -1.0447637496362e+00,                    B, -1.3156504005153e+00,  2.4276603203221e+00,  5.7008008607054e-01,                    A, -8.9280131293272e-01, -4.7765465305698e+00,  8.0255804286756e-02,                    B, -8.2445249667333e-01, -2.2255767454560e-01,  1.5704629253949e+00
                    B, -6.9301598485739e-01,  1.4580130364139e+00, -5.7503586547980e-01,                    A, -7.1323247810052e-02, -2.7119424535140e-01,  9.5763358211772e-02,                    B, -9.6580841970586e-02, -2.1493499035300e+00, -1.6612811956140e+00,                    A, -2.4324640589892e+00, -2.8421444124144e+00,  2.7446473665392e+00,                    A,  9.6290973028473e-01,  6.5928931521053e-02,  1.3822982369175e+00,                    B, -8.4215155763398e-01,  5.2566097158237e-01, -2.6177076735877e+00,                    B,  1.7369977601729e+00, -8.2230844433988e-01,  9.8611942173228e-01,                    A,  1.6817002313605e+00,  2.0862066661200e+00, -4.1354337833200e-01
                    B,  6.5643089690090e-01,  1.1909435051756e+00, -1.8892845403002e+00,                    B, -5.5604747089351e-01,  5.0647701105053e-01,  1.8874546487349e+00,                    A, -1.6871043396696e-01,  8.4873024362353e-01, -2.7945849941537e+00,                    B,  1.1452660363815e+00, -8.1131707974450e-01, -1.2407204877894e+00,                    A, -2.2936454703346e+00,  1.6179947406343e+00,  5.9856216672638e-01,                    B, -2.5497106331803e-01,  1.7859147963266e+00,  9.3189271863121e-01,                    A, -1.4911874595003e+00, -7.8416554313381e-01, -2.1829230489968e+00,                    A,  1.0083665956669e+00,  7.0153135860788e-02,  3.5499674803768e-02
                    B, -1.5250216841271e+00,  1.3693515864220e+00, -7.2036154771951e-01,                    B, -1.6852290586038e+00, -1.6546643510168e-01, -2.3905354697953e+00,                    A, -2.2019155207644e-02, -4.3318100440428e-01, -8.2369296748187e-01,                    A,  7.5360882565751e-01, -1.4508441647237e+00,  6.2103262521587e-01,                    A, -2.0268418237779e+00, -1.0730571860002e+00, -9.7424923821982e-01,                    B,  6.0574021760902e-01, -2.8070115236079e-01,  2.4025107119486e+00,                    B, -2.7062762741670e-01,  7.9643566770396e-01,  5.2272236577581e-01,                    A, -6.4834945091074e-01, -3.3041604605386e-01,  4.7425577227902e-01
                    B,  9.8121522022628e-02,  2.0449204438637e+00,  1.5454979763986e+00,                    A, -1.6981254264623e+00, -1.9809983259844e+00,  2.4391897180897e+00,                    B, -1.3348509332343e-01, -5.2051874253185e-01, -4.8709960090650e-01,                    B, -4.0953907680309e-01,  2.2682671519147e+00, -8.8826632380799e-02,                    B,  2.3304111195296e+00, -1.3311659160363e+00,  1.9668409404255e+00,                    A,  7.4117808217024e-01,  1.8397167201817e+00,  1.0470380383540e+00,                    A, -2.8502586444718e+00,  2.3219735445889e+00, -4.8271537413524e-01,                    A, -1.6679724565940e-01,  1.7422685287763e+00,  6.4777251487443e-01
                    B,  2.1831897460601e+00, -6.0898366835985e-01, -1.5633288029314e+00,                    B,  5.4484147366270e-03, -9.9614866866825e-01,  1.7194589328907e+00,                    A, -2.1818753012675e+00, -8.3656692679543e-02, -1.0930685758952e+00,                    B, -3.1152708510316e-01,  9.1129715882459e-01,  7.2048047146591e-01,                    B, -3.8202049076454e-01,  2.7742225981548e+00, -1.7810625317403e-01,                    A,  2.6414855520196e+00, -2.0637307290922e+00,  4.1462519103232e-01,                    A, -1.5155330633017e+00,  1.6872419324210e+00, -5.4122607686898e-01,                    A,  4.1120899434275e+00,  2.3590892135122e+00, -7.8615641118105e-01
                    B,  4.1947615176521e+00, -1.6306730520594e+00, -1.2915696511911e+00,                    B,  2.7351545969694e+00, -1.3603865664149e+00,  8.6876408410577e-01,                    B, -2.3601448726662e+00,  6.8913166754541e-01,  2.6153782075390e+00,                    A,  2.7126065871442e+00,  5.5844285208632e-01,  3.8315173786082e-02,                    B, -2.6867736110920e+00,  2.2686953950052e+00,  1.4628480548996e+00,                    A, -4.0941650852646e-01,  1.8715244885819e+00,  1.8426688211904e+00,                    A, -1.4656119619737e+00, -1.5202254727679e+00, -3.2289321725087e-01,                    A, -2.8044222518184e-01, -2.9167046855743e-01,  1.4558116911393e+00
