#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  A,-1.013524080449e+00, 1.033529863756e+00, 2.583529706851e-01,                  B,-9.793422265441e-01, 5.140857191187e-01,-1.664221782940e+00,                  B, 5.359523569283e-01,-1.500413421783e-01, 1.787473245387e+00,                  B,-5.296334389125e-01,-4.998969658962e-01, 3.767284979502e-01,                  A, 4.462018801999e-01,-6.248996039811e-01, 2.263085478459e-01,                  A, 1.341026749505e+00, 1.389545341479e+00, 1.251926801276e+00,                  B,-1.219445714017e-01, 2.148917901927e+00, 5.963389710938e-01,                  A,-9.147770575803e-01,-9.467350733022e-01, 1.251883309714e+00
                  B,-9.732255263186e-01,-1.045524796970e+00, 1.454733154457e+00,                  A,-6.829980918594e-01,-1.770277127276e+00, 2.605730055608e-01,                  B, 3.726022907691e-01, 1.984076978546e+00, 1.343585621025e+00,                  B, 1.189372790762e+00,-2.028386677292e+00,-1.507931058361e+00,                  A, 5.563875883136e-01,-1.669622500885e+00, 1.077858517977e+00,                  A, 1.396498183162e+00,-7.420096533105e-02,-2.537450388479e-01,                  B, 2.813077948448e-01,-3.170184047802e-01,-1.681957986674e+00,                  A, 1.121805150340e+00,-5.855832359964e-01, 1.551128420835e+00
                  A,-1.430009366082e-02,-1.692541125471e+00,-1.752830179844e+00,                  B,-6.322605731177e-01,-2.825984363349e-01, 7.841311444882e-01,                  B, 5.212696840693e-01,-1.689694305768e+00,-1.050292594306e-01,                  B,-7.779956837794e-01, 1.934876089845e-01, 2.134096645189e+00,                  A,-1.252552701939e+00,-1.456141959503e+00, 1.052179153718e+00,                  A,-1.259581043923e+00,-1.220427711638e+00,-3.581560719240e+00,                  A, 8.858172906624e-01, 3.350038826717e-01,-9.946744009228e-01,                  B,-3.353256164480e-01,-1.599310728139e+00,-2.771886985967e+00
                  A, 4.901846157388e-01,-1.869396487837e+00,-7.737884621360e-01,                  A,-4.999256085871e-01,-2.097797888493e+00,-2.375349039088e+00,                  B,-7.348850711979e-02, 5.437351171917e-01, 2.793359267555e+00,                  A, 1.999812574786e+00,-5.321331163321e-01,-2.231436400658e+00,                  B,-1.508843581833e+00,-2.819373476586e-01,-2.855559901587e-01,                  B, 1.300352297099e+00,-1.309123562429e+00,-1.218141463287e+00,                  A, 9.605936498721e-01,-2.637749150863e+00, 1.947453156987e-01,                  B, 2.930934838840e+00, 1.227905931310e+00,-1.286197491991e+00
                  B,-1.081349921955e+00, 4.709938107177e-01,-4.625368649382e-01,                  A,-1.407244937014e+00,-9.751377221057e-01,-6.350837941444e-01,                  B, 1.877040718420e+00, 4.510807497879e-02,-6.691841746846e-01,                  B, 1.795540218619e+00,-6.149889873684e-01, 1.628436017310e+00,                  B,-1.963785523960e+00,-3.879930895386e-01, 2.073202527442e+00,                  A,-5.539317362481e-01, 1.607774187579e+00, 1.024909291361e+00,                  A, 6.048002339111e-01, 1.705559706130e+00,-5.419986707582e-01,                  A, 1.240524506874e+00,-1.280600727188e+00,-7.718308150311e-01
