##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    A, -4.3750833711984e-01, -1.4564551399070e+00,  1.0794939649933e+00,                    B,  8.9040156840317e-01, -9.2442612772732e-01, -9.1944890091333e-01,                    B, -6.7632142824911e-01,  1.9198458697465e+00,  2.7439076001684e+00,                    A,  4.5983737244201e-01,  1.1201970509911e+00, -8.0941043854542e-01
                    B, -7.7448610031818e-01,  9.8036278690893e-01, -3.5104889839973e-01,                    A, -1.8964072007182e-01,  6.8102219933834e-02,  1.9533589197030e+00,                    A,  1.1226506667070e+00, -1.6029568766378e+00, -1.0685336568601e+00,                    B,  2.8981659264589e-01,  2.3441355795027e-01, -3.1357771481232e+00
                    B,  2.1987853893299e+00, -4.4065632714780e-01,  2.4607064779942e-02,                    A,  4.6958260654980e-01, -1.6834586130049e+00, -1.6633668185628e+00,                    B, -1.4064830977150e+00,  1.7537972964954e+00,  1.0215003444964e+00,                    A,  8.8865904395688e-02, -2.9875968880150e+00,  1.5518583783695e+00
                    B, -9.0940745837716e-02,  7.8879293291191e-01,  2.5049603927649e+00,                    A,  8.9044832580014e-02,  2.0082970603102e+00, -1.9954400411984e+00,                    B, -8.1034840751336e-01, -9.4877846283263e-01,  1.9084653868741e-01,                    A, -2.2242222281349e-01,  3.2407444005241e-01, -1.1018111811144e+00
                    A,  1.1942026685627e-01,  1.7426995852262e+00,  2.0559865625057e+00,                    B,  4.9932938339046e-01, -3.0301913335309e-01,  2.6818515014469e+00,                    A,  4.5964245304707e-01, -1.1304996600745e-01,  1.7416603721905e+00,                    B, -2.8474933077602e-01, -1.9942388409386e-01, -1.2434693008565e+00
                    B,  6.7515030198820e-01, -1.1544967690296e+00, -1.2753403858369e+00,                    B, -8.8128891148087e-01, -1.6927432272346e+00,  1.9506775856880e+00,                    A,  1.3010408273885e+00, -6.3664707558937e-01,  2.6655136065372e+00,                    A,  2.1133006899852e+00, -1.6585326112037e-02,  5.9734759365117e-01
                    B,  4.8658948531054e-01,  4.0739861292626e-01, -1.4140582069055e+00,                    A, -1.5404164166590e+00, -6.4627486699750e-01,  5.0911525949709e-01,                    A, -1.4270389449246e+00,  9.9281564271684e-01,  3.7001275984586e-02,                    B,  9.4596040439453e-01,  1.1228657429314e+00,  4.3909240735733e-01
                    A, -2.0722087422386e+00,  2.4101930066779e+00,  1.7157264403898e+00,                    B, -1.3171192725136e-02, -1.2465546734736e+00, -8.3666416202752e-01,                    B, -1.3367535021897e+00,  1.0665716746942e+00, -1.2238097498917e+00,                    A,  1.9946044463544e+00, -1.7853843356491e+00,  1.8666037054800e+00
                    A, -6.7733304192526e-01,  1.1135066278054e+00, -7.7158142680109e-01,                    B,  2.1075962806756e-01, -1.4318380499078e+00,  1.5156835373076e+00,                    A,  7.8443008882821e-01,  6.9426790700665e-01,  1.6042070219332e+00,                    B, -3.4009239289522e-01, -2.3907137327777e-01,  1.3331452158475e+00
                    A,  1.1730964194750e-01,  1.1944641468543e+00, -9.1280434528885e-01,                    A,  3.5916211739250e-01, -1.1790710942706e-01, -4.3386442058619e-01,                    B,  3.0685765293210e-01,  8.9894321433056e-01,  3.3916383703811e+00,                    B, -1.0844963486382e+00, -7.8379784225477e-01, -6.2571435594412e-01
