#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B,-1.238001240917e+00,-4.842521536891e-01, 2.058737056257e+00,                  A,-2.594103866203e+00, 1.234990090697e+00,-2.363855103723e-01,                  A,-1.218295254328e+00,-1.043689492840e+00,-4.997879202191e-01,                  B,-3.215405960085e-01, 1.752061449069e+00, 2.147908259850e+00,                  A, 2.291873469914e+00, 9.775025702524e-01, 2.168731331271e+00,                  A, 2.390675833257e-01, 1.388417968434e+00,-1.809306821419e+00,                  B, 1.038083200334e+00, 7.912599923575e-01,-3.533010943885e+00,                  B,-1.040026277291e+00,-1.169726497981e+00,-2.279064354761e+00
                  A,-2.626542127714e+00,-3.087865428431e+00,-3.388502421191e-01,                  A, 2.537249087613e-01,-1.638842685711e+00, 7.083837219292e-01,                  B,-1.717812653859e+00,-2.146979256091e+00, 7.767526381456e-01,                  B,-1.902578634381e+00,-7.539498841782e-01, 1.830133203897e+00,                  A, 1.671940835616e+00, 1.501770550887e+00, 1.643183421186e+00,                  B,-5.305763953229e-02,-2.729629270207e-01, 1.298851183405e+00,                  A,-4.451536027277e-01,-4.250122625732e-01,-1.142836480183e+00,                  B, 5.091495140950e-01,-4.239548078067e+00,-7.275970704270e-03
                  B,-5.570237898494e-02, 1.907890630331e+00, 1.466245221982e-01,                  B,-5.795485979358e-01,-4.468254066050e-01,-9.749658777328e-02,                  B, 5.597684243603e-01, 7.093256130703e-01, 1.185125736476e+00,                  A, 3.313750378481e+00, 2.270933651707e+00,-1.395439807431e+00,                  A,-1.006017569585e+00, 1.635074263971e+00,-2.457717423006e+00,                  A,-3.124191120276e+00,-1.404128101069e-01,-8.945644722526e-01,                  B, 1.137559951265e+00,-3.147639448727e+00, 1.456754876163e+00,                  A, 1.770453198949e+00,-3.133047342787e-01, 5.098640352482e-01
                  B, 8.129823676211e-01,-1.476370589542e+00, 3.063701336619e-01,                  B, 1.304896937701e+00, 6.658681986704e-01, 3.418300443422e-01,                  B,-2.793709411127e-02, 2.903476400164e-01, 1.466814634012e+00,                  B,-2.345403173768e+00,-4.089639354328e+00, 9.668266099936e-01,                  A,-4.252502275900e-01, 2.472414970107e+00, 1.343058507319e+00,                  A,-7.300315385888e-01,-3.237248729272e+00, 1.099406947925e+00,                  A, 3.661175264725e+00, 3.649619854874e-01, 8.066086616508e-01,                  A,-1.128853701547e+00, 1.011270736711e+00, 3.032415063036e+00
                  A, 2.076042873955e+00, 2.164334198914e+00, 3.383874604676e-01,                  B,-4.465967443682e+00, 2.254940470894e+00,-1.674224847723e-01,                  A,-2.133711792924e+00, 2.645518808233e+00,-1.503513622022e+00,                  B, 1.186170489204e+00,-1.414562973279e-01,-2.850172327594e+00,                  B, 2.084710693382e+00,-1.043319367993e+00,-1.191006707509e+00,                  B, 5.381709576420e-02,-2.795847202468e+00,-2.136450605814e-01,                  A,-1.867814923785e+00,-4.188030384897e-01,-3.572372172641e-01,                  A, 8.242006535172e-01, 5.560806617152e-01, 1.473137167520e+00
