##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    A, -1.2031304508888e+00,  3.7665188554832e-02, -2.5347282182773e+00,                    B, -1.1790769980023e+00, -1.7007514233131e+00, -1.3749922922281e+00
                    B,  1.4063052399499e+00, -1.0380425799352e+00, -1.3161157098641e+00,                    A,  5.1570531329523e-01,  1.1508507118635e+00,  1.0822850388672e+00
                    B, -1.0915932088092e-01, -2.0209686579294e-01, -9.4179774608744e-01,                    A,  2.9169422569038e+00,  3.7890063662195e-01,  1.1216041833498e+00
                    B,  3.7454694203032e+00, -2.2219174253384e+00,  2.7437208807124e-01,                    A, -7.6162999094203e-01, -2.2442944712845e+00,  2.1191473875723e+00
                    B,  2.2738955304674e+00,  1.2358517943527e+00,  1.3568928482053e+00,                    A,  4.7492224206183e-01,  1.3392950829591e+00,  7.9525373575268e-01
                    A,  1.3561327031590e+00, -8.2760757570654e-01,  2.4071632073135e+00,                    B, -1.7121023213655e+00,  2.0008455020306e-01, -4.0272196829246e-01
                    A,  5.0050198897170e-01, -1.3541827549315e+00,  9.3396069095622e-01,                    B,  3.0671741024903e-01, -3.1793465502620e+00, -1.7495431203918e-01
                    A, -3.5092643072202e-01,  2.3092208392665e-01, -2.2479918644744e+00,                    B,  2.8047290142109e+00,  2.1544293312651e-01, -2.2532130356892e+00
                    A, -2.0568342390008e+00,  1.2518355551949e+00,  3.1503306423605e+00,                    B, -1.8277638950145e-01, -9.2782345198260e-01,  5.9698561750275e-01
                    A, -1.5464668245783e-01,  3.9210477402054e+00,  4.5747983954929e-01,                    B, -5.1628146938360e-01,  6.8236668773814e-01, -2.0611571256753e-01
