##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    A, -4.1860161448306e-01, -1.1119143155249e+00,  1.3948120751992e+00,                    A, -2.7219221431508e+00,  9.9276431810209e-01,  9.3569733439106e-01,                    B,  7.5739124450740e-01, -1.3622744191411e-01, -2.8262447605228e+00,                    B,  3.6139871274752e-01, -5.1532099743837e-01, -2.0438849094058e+00
                    A,  3.8742348917027e-01, -5.8151847150630e-01, -3.7811240612177e-01,                    B,  3.8238792493412e+00, -3.8870661468064e-03, -1.6695520628083e+00,                    B,  2.9506258253216e+00, -1.4926497752693e+00, -4.0083823932040e+00,                    A, -2.8515185672989e-01, -1.0585852529017e+00,  6.9257854235512e-01
                    B, -9.6261929246978e-02, -1.0827550942622e+00, -2.2325606073634e+00,                    A, -3.0070365208291e+00, -3.9042420358692e+00, -1.4078592537762e+00,                    B, -7.6382387029827e-01,  7.1044673835494e-01, -2.6098812474570e+00,                    A, -8.7730915626764e-01, -1.0906854807580e+00,  1.3278084799615e+00
                    B,  1.9127388046101e+00, -1.5327446802597e+00,  2.2019168769116e+00,                    A, -1.6270915545010e+00, -1.1757059164444e+00, -2.8466191078997e+00,                    A, -2.1982038239488e+00, -1.5925401881339e+00, -1.0911378563264e+00,                    B,  7.2462953882387e-01, -2.4596647335245e+00,  7.3696986666174e-01
                    A,  2.0696880841787e-01,  1.1744294186469e+00, -1.4751899767632e+00,                    B,  3.8115751449641e-01, -2.3607009414002e+00, -1.2472074044096e+00,                    A, -2.9868657170334e-01,  2.2076720780108e+00, -1.0633084037109e+00,                    B, -4.1802601247017e-01,  1.6716174261158e+00,  2.5582309598296e+00
                    A,  2.7040669706735e+00, -1.2596987533400e+00,  5.2507243198540e-01,                    B, -1.6572343979184e+00, -1.2641307197955e+00,  7.3707304575073e-02,                    A,  1.9351377741324e+00, -1.3892420065789e-01, -1.8221263489066e+00,                    B,  2.6375897682550e-01,  2.8181576102549e+00,  1.8838309042253e+00
                    A, -7.0276949533907e-01, -1.1721843881248e+00, -4.3131400838553e+00,                    A, -9.3786374173857e-01, -2.7655967353077e+00, -1.1034110416090e+00,                    B, -9.6483601514861e-01,  2.3256779612240e+00,  1.5418358704969e+00,                    B, -2.5024747202365e+00,  1.8746193330053e+00, -8.7135722245359e-01
                    B,  2.0823378443607e+00,  3.0186584391938e+00, -2.0336483583695e+00,                    A, -1.9081899428304e-02, -1.6827772650729e+00, -1.5472795357959e+00,                    A, -1.6325461743097e+00, -4.7837639563186e-01, -8.3946693614847e-01,                    B,  2.4112661249765e+00,  2.2174183861742e-01,  3.5474152178482e-01
                    B,  2.0891349240889e+00,  2.7528131108097e+00, -1.8635171081850e+00,                    A,  8.9586292290993e-01, -8.0440143852520e-01,  1.4538449092340e+00,                    B, -3.8612944308610e-02, -2.0705450372417e-01, -1.8128153665444e+00,                    A,  4.8485189533887e-01, -1.3192125780499e-01,  2.4054297147219e+00
                    A, -3.0824246235972e+00,  8.7917184643512e-01, -3.1879486162555e-01,                    B,  5.8402943883942e-01, -3.9344165996457e-01, -2.9651673698809e+00,                    A,  2.8870380812046e+00,  1.8762847193456e+00, -5.6503760617948e-01,                    B,  6.2318726287172e-01, -8.4941776606555e-01,  2.6741502253376e+00
