##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    A, -3.4327339394805e+00,  5.9368991196006e+00,  3.2637563824321e+00,                    B,  2.8939285388961e+00, -3.2066166690952e+00,  9.8105361383474e-01,                    A,  1.8495150570639e+00, -1.4672279187829e+00,  6.6952563430614e-01,                    B, -1.9881886670548e+00, -1.5434964404736e+00, -2.4124097003039e+00
                    A,  5.1541175152143e-01,  4.9314426869910e+00, -2.6563640039563e-01,                    A,  1.8336575944329e+00, -3.9525419628772e-01, -3.0231611020754e+00,                    B,  9.1389383762370e-01, -2.4735053242107e+00,  1.4896373576090e+00,                    B, -3.0742615307293e+00, -4.9124758525741e+00, -1.6441926340612e+00
                    B,  2.2656929810953e+00,  2.2286093487343e+00,  4.5461586321278e+00,                    A, -2.9097841509556e+00, -7.0590071611154e+00,  6.6896163432401e-02,                    B, -3.3803539868953e+00, -7.8965499598510e-01,  1.7829673524217e+00,                    A, -2.6896036042833e+00, -1.9866201186608e+00,  7.2160451078921e-01
                    B,  4.8112708196855e+00,  1.1862392752008e+00, -3.8287183185579e+00,                    B, -3.9569861613074e+00,  5.8747892308938e-01, -1.6982741020651e+00,                    A, -3.5027281018745e-01,  1.7213379595299e+00, -5.5657577033214e+00,                    A,  3.7692472155762e+00,  2.7747134645037e+00,  1.9284411759147e-01
                    B,  1.0738537529118e+00, -2.0856121092464e-01,  4.0310076848106e+00,                    B, -5.0146847534407e-01,  1.9369205651628e+00,  2.1800784340464e+00,                    A,  4.2266934862989e-01, -5.8146624134333e-01, -5.7788333319442e-01,                    A, -6.0927903942777e-01,  4.0012253615987e+00,  2.7144053838063e+00
                    A, -1.5035157150022e+00, -1.9204423035701e+00,  3.3123030134252e+00,                    B,  3.6818917898939e+00, -2.7866579949363e+00, -6.3800228019402e+00,                    B, -4.7735677036183e-01,  5.5449893979352e-01,  1.0267090063734e+00,                    A, -2.4551528362347e+00,  3.3351658728959e-01, -3.2986012947710e+00
                    A, -1.1580932856821e+00, -2.9749088990655e+00, -4.1951966624054e+00,                    A,  2.8061428832530e+00, -2.9584415743774e+00,  1.2028031426344e+00,                    B,  1.6979256698836e+00,  1.5145095658534e+00, -1.9453767566787e+00,                    B, -3.3420645182754e+00,  3.3551115617260e+00, -3.2305735214217e+00
                    B,  1.4696619547379e-01,  1.1875424338059e+00,  3.0264668043748e-01,                    A,  2.9732777546159e+00,  4.4340090814370e-01,  9.8534559129535e-01,                    A, -1.3151754779555e+00,  8.1339276926058e-01, -2.6775998917230e+00,                    B,  2.8493837570005e+00,  5.1536395861275e+00, -1.1041772405535e+00
                    A,  3.8653658275041e+00,  1.8700144503689e+00,  2.4484270204309e+00,                    B,  1.7593235619162e+00, -1.2564730473681e+00, -2.2542613247598e+00,                    A, -1.2116381886872e+00,  6.5448332921674e-01,  1.5373673953737e+00,                    B,  5.7073644418532e+00,  5.4883172704048e-01, -1.3857987847522e+00
                    A,  1.5638754825830e+00,  2.1335128650853e+00, -2.7358885643499e+00,                    A, -4.7184214752143e+00,  1.1083298525492e+00, -1.4558854555860e+00,                    B, -3.3735357763928e+00,  1.9376524390795e+00, -3.3076449927033e+00,                    B, -1.0358150556450e+00, -1.1027338640231e+00,  3.7445322130883e+00
