#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  A,-1.332389843478e+00,-1.469147816823e+00, 2.406324673688e-01,                  B, 9.714789372868e-01, 3.949208709382e-01,-1.512720162294e+00,                  B, 2.741074769031e+00, 2.324952111844e+00,-1.717176854587e+00,                  B, 1.993122279940e+00,-6.907814340992e-01,-5.650424367917e-01,                  A, 1.089229868326e+00,-1.666876219284e-02, 7.180079966796e-02,                  A,-4.233237398566e-01, 4.727259073192e-01,-5.072569355824e-01,                  B,-2.503437021445e+00,-6.326410323288e-01,-2.500936172385e+00,                  A,-2.906666338310e+00,-1.827466564131e+00, 7.632936313490e-01
                  A,-2.116383636446e+00,-2.868373280816e-01,-1.721816615752e+00,                  B,-2.153541615354e+00,-6.265835661981e-02, 1.110743818263e+00,                  B,-2.296383362342e+00,-1.202232929294e+00, 5.716817385406e-01,                  B,-2.413181215385e-01,-2.786033544539e+00, 2.013912722504e-01,                  A, 2.083269933474e+00, 7.918100970180e-02, 1.482523750751e+00,                  A,-9.981524257484e-01,-3.188639475572e-01,-9.529919447943e-01,                  A, 1.434067836358e+00,-2.694676534940e+00,-1.528314955775e+00,                  B, 2.385953127013e+00, 1.510655150434e+00, 1.462180959133e+00
                  A, 4.862978157195e-01, 8.406609979163e-02,-1.286214190157e+00,                  B,-3.115928153911e+00,-9.009897971886e-01,-1.343041681719e+00,                  A, 2.415472592763e+00,-7.623829028590e-01,-1.855440068542e-01,                  B, 2.157077742994e+00, 1.278844772828e+00,-2.695361289775e+00,                  A, 1.264068333146e+00, 1.383118822241e+00, 6.788657071389e-01,                  A,-1.782231493411e-01, 1.987912669233e+00,-1.373426109952e+00,                  B,-1.831066432610e+00, 3.846656701951e-02, 3.259009453729e+00,                  B, 6.651133123781e-01,-1.593795149113e+00,-7.878531518892e-01
                  A, 1.196948781426e+00, 5.329291168923e-01, 1.534302338949e+00,                  A, 1.726868624442e+00, 2.828159106575e-01, 3.085355883254e+00,                  A, 2.348670988161e+00, 2.347859854536e+00, 1.863971353751e-01,                  B,-1.179162705077e+00, 1.486925846612e-01,-2.988803324984e+00,                  B, 1.089914845297e+00,-8.226061498250e-01,-1.044922847707e+00,                  B,-4.352002392297e-01, 7.141145568937e-02, 5.916827142041e-01,                  A, 4.075244103382e-01,-1.237531457133e+00, 1.517776109859e+00,                  B,-9.965704524598e-01,-4.238064518040e-01,-1.207785157981e+00
                  B,-2.490368848005e+00, 7.062819755711e-01, 8.088751772616e-01,                  B,-2.451068792289e-01, 1.693937967317e+00,-1.161454712128e+00,                  B, 1.970183339777e+00,-5.856638966036e-02,-5.479765212740e-01,                  A,-2.338223604878e-01,-4.498571648271e-01,-1.255127931481e+00,                  A, 2.495726347426e+00, 4.547322361005e-01,-1.769045026722e+00,                  A, 8.421062914079e-01,-4.334499749963e-01, 1.809844314860e+00,                  B, 9.940811503325e-01, 3.472898778406e-01, 1.011665221349e+00,                  A,-7.207951911357e-02, 3.008019483780e+00, 8.811846063068e-01
