##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    A, -1.2754624075999e+00,  1.7787671198362e+00, -1.0106768812438e+00,                    B,  9.8931533885386e-01,  2.1734300913490e+00,  5.3519496021998e-01,                    B,  9.1215515604195e-01, -4.4944749980234e+00,  2.5664726607453e+00,                    A, -1.9589699604254e+00, -1.8977571829085e+00, -4.6489254021052e-01,                    B,  2.7431007970471e-01, -2.4168252530422e+00, -1.4675859238983e+00,                    A, -1.4827317646894e+00, -2.5189658620814e+00,  2.2324643763021e+00
                    A,  3.0891769914762e+00, -4.1404541629195e-01,  2.6833562765454e+00,                    B, -1.9649662520822e-02, -1.6490942203407e+00,  2.0279782939834e+00,                    B, -3.3752942139380e+00,  1.8304165985992e-01, -3.5951852208244e-01,                    B,  7.2643050380449e-01,  2.6193039288256e+00,  1.1987685358124e-01,                    A,  1.0301571784630e+00, -3.5718535235805e+00, -1.3841375094593e-01,                    A,  5.1788574101094e-01,  1.2679460223486e+00,  1.5431878100644e+00
                    A, -9.3268540755910e-01,  4.4867191933964e-01, -1.3262602151424e+00,                    B,  3.3526220250700e+00, -1.4342727635807e+00, -7.6746096042192e-01,                    A, -2.1873949062192e+00,  5.2717440382612e-01,  1.0319620565320e+00,                    A, -3.4184795855141e-01,  7.0619705434538e-01,  6.7760230040536e-01,                    B, -1.8825993376808e+00, -1.8211854400843e+00,  3.5485789634926e-01,                    B, -2.8340612693404e-01,  3.9692080395516e-01,  2.9031091668388e+00
                    B,  6.8195506211485e-01, -2.7981109901082e-01,  1.7405079254994e-01,                    B, -2.2769295247290e-01,  2.6590217124150e+00,  2.3323622327879e+00,                    A, -1.5357751138305e+00, -1.3341213151546e-01, -2.2539200293752e-01,                    B,  1.0847268005289e+00,  6.9491967799411e-01,  1.5081790453013e+00,                    A, -6.7310639765258e-02,  7.4467786953462e-01, -1.8334890987817e+00,                    A, -1.4329642805949e+00,  1.5230646047605e+00,  7.4747807821539e-01
                    B,  5.9100601590308e-01,  3.2290527248634e-01,  9.0721512847566e-01,                    A,  1.2183675832184e+00, -3.3461327034478e-01,  1.1811208059218e+00,                    A, -2.2359664263180e+00, -1.1027830738095e+00, -1.7031355228159e+00,                    A, -1.6928422886014e+00, -6.0112092353221e-01,  1.4170169653719e-01,                    B,  4.9809095347984e+00, -2.1223307703493e+00, -6.7764941683696e-01,                    B,  1.0002611450139e+00, -4.8748458304483e-02, -1.3513233646260e+00
                    A, -3.1706019869674e+00, -2.4668149084080e+00, -3.6400528669508e-01,                    A, -2.2188644666165e+00, -8.3458583614779e-01, -1.1762038670439e+00,                    B, -1.2022563057181e+00,  1.2790401957853e+00,  3.6827053135398e+00,                    B, -2.4818819601657e+00,  3.1151361245419e+00,  7.7705569943073e-01,                    A, -7.4157145099500e-01,  2.6921490626627e+00, -1.4968646846374e+00,                    B, -3.9104542635450e+00, -7.0922703666644e-01,  5.5120120534939e-01
                    B,  1.4263255843558e+00, -1.7055209084103e+00,  2.7445876523712e+00,                    A,  2.8492038516158e-01,  1.9427197603373e-01, -1.4150414604205e+00,                    A,  2.2313017363612e+00,  1.7628433392817e-01, -1.5792526025239e+00,                    B, -1.4919975074825e+00, -3.6249699080284e-01, -1.9652846711590e+00,                    A,  1.3202629921412e+00,  2.3496563674562e+00,  7.3534142399505e-02,                    B, -1.7246132561480e-01, -1.9427427144851e+00,  4.4430287190349e-01
                    B,  3.2171213873656e+00, -6.0487659859442e+00,  2.6160337209119e-01,                    B,  5.0853808452342e-01, -1.0568155637641e+00,  1.8682241426996e+00,                    B,  5.1682392485946e-02,  5.3591633392764e-01, -1.4922840006631e+00,                    A, -2.4533863822425e-01, -3.5804279863488e+00, -6.0296416151386e-01,                    A, -3.6310053433035e+00,  3.0541837453967e+00,  7.9049507444165e-01,                    A,  2.0348722585375e+00,  2.3780593203274e-01, -3.2405861732710e-01
                    B,  2.0377734904917e-01, -2.2180598028797e+00, -3.9918742289625e-02,                    A,  5.9521888606324e-01,  3.1768014504983e-01,  1.9985298603613e+00,                    A,  2.1266690426525e+00, -7.5323012966051e-01,  1.2760206502668e+00,                    B, -1.0537316485385e+00, -2.4508603172971e+00,  2.2877455909404e+00,                    A,  1.3206791215854e+00,  1.4747116132329e+00, -1.0522242809099e+00,                    B, -1.6649776511473e+00, -5.3989694472153e-01, -1.5231633367742e+00
                    A, -5.9150561303325e-01, -3.6423153445199e-01, -4.4003950027853e-01,                    A, -3.7225721124377e-01, -2.1302997470509e+00, -3.4219519517471e-01,                    B,  1.0608062502529e+00,  1.3223793682210e+00,  1.0119530912203e+00,                    B, -8.7282093838460e-01,  4.4059251087034e-02,  4.1418087021383e-01,                    A,  2.0742164669565e-01,  1.6105793919237e+00,  1.7595540381858e+00,                    B,  1.0817357615035e+00,  4.9684076585698e-02, -3.0432476708267e-01
