#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2,          p8 flavor,              p8 x0,              p8 x1,              p8 x2,          p9 flavor,              p9 x0,              p9 x1,              p9 x2,         p10 flavor,             p10 x0,             p10 x1,             p10 x2,         p11 flavor,             p11 x0,             p11 x1,             p11 x2
                  B, 9.439853218921e-01, 2.838825323551e+00, 1.707444793276e+00,                  B, 1.405623267289e+00,-6.087290564508e-01,-4.357060340218e-01,                  A, 3.873058832066e-01, 1.461843937811e+00, 1.219935193165e+00,                  A, 2.519282465177e+00, 1.015201346674e+00, 7.156273924543e-01,                  A, 1.073970514343e+00,-2.750022322924e+00,-2.504443598757e+00,                  A, 1.553081858708e-02, 1.882703359231e+00,-1.135362300162e+00,                  B,-3.044174298851e-01,-5.078441451062e-01, 4.185606694575e-01,                  A,-5.690609409789e-01,-5.340657649154e-01,-2.117911044458e+00,                  B, 6.375621101637e-01,-1.145809760575e+00, 1.388643692824e+00,                  B, 1.455004759823e-01, 3.954640799156e-01,-2.221908619006e+00,                  B,-2.355881028448e+00, 1.343694549975e-01,-7.095881030194e-04,                  A,-1.419053334441e+00,-2.720831803507e+00,-2.341277780478e+00
                  A, 1.967145269823e+00,-3.091340786546e+00,-1.112697708153e+00,                  B, 1.808832650438e+00, 1.355939468527e+00,-4.563096909249e-01,                  A,-3.273990613358e+00, 8.113505831087e-02, 6.837907202492e-01,                  B,-2.558836913980e-01,-6.206310694216e-01,-1.506634542612e+00,                  B,-1.749786044923e+00,-2.015902813875e+00,-7.270629089590e-01,                  B,-1.269468667437e+00,-3.181504639675e-01,-8.368072844352e-01,                  A, 1.201803428928e+00,-1.580177428311e+00, 4.417649478259e-01,                  A, 1.988541091345e+00,-2.016707218012e-01, 9.523415972701e-02,                  B, 2.216291941295e-01, 5.961608907614e-01, 1.923230132882e-01,                  A, 1.143372305519e+00, 2.591274282504e+00, 7.774689023564e-01,                  B,-3.140511804208e-01, 1.299668627024e+00,-3.045152323637e+00,                  A, 6.485272733586e-01,-2.782466164707e-01,-1.311802351614e+00
                  A, 5.249239032237e-01, 5.958061546426e-01, 1.952856712040e+00,                  B,-4.450793691199e+00,-4.129194487383e-01, 2.660252157300e+00,                  B,-2.900568571372e-01, 1.471887490655e+00,-2.785808336733e+00,                  A,-2.723707673395e+00,-2.440349358526e+00, 1.658840435957e+00,                  B, 3.638171786557e+00,-1.805119807381e+00,-9.488507497837e-01,                  A, 7.819609392420e-01,-2.678449045108e-01,-1.723833689824e+00,                  A, 7.647802610982e-01, 3.152985602716e-01, 9.524897071888e-01,                  A, 6.540068587986e-01, 2.759840792634e+00,-2.186689788682e+00,                  B,-1.468681092296e+00, 6.566101933950e-01, 2.905296752127e-01,                  A,-1.823842052431e+00, 2.724402317651e+00, 3.090615706014e-01,                  B, 1.373928282180e+00, 1.213810585786e+00, 9.202456772818e-01,                  B,-1.859185919496e+00,-4.829781274778e+00, 1.160404793225e+00
                  B, 3.305780139419e+00,-2.905809076879e-01, 1.009554856256e+00,                  A,-1.469123815432e+00,-2.547012526498e+00,-5.385763466329e-01,                  A,-4.524561165948e-01, 1.945375511586e+00,-8.163746441716e-01,                  B, 1.620694049604e+00, 6.957575462574e-01, 2.403110828401e-01,                  B,-1.205134382143e+00, 2.234265501524e+00, 2.252701573013e+00,                  A, 1.987141048233e+00, 4.067511934422e-01, 2.693887798497e+00,                  B, 3.263163486206e+00,-1.949449689924e+00, 1.651392582531e+00,                  B, 8.668378849182e-02,-1.161174637989e+00, 9.140591066775e-01,                  A,-4.900055607076e-01,-2.696980405442e+00,-7.145299650177e-01,                  A,-1.031490087980e+00,-8.525997266829e-01, 2.067904136997e+00,                  A,-4.665704870852e-01,-3.848514310847e-01, 6.998982497281e-01,                  B,-5.140590564115e-01, 7.124858277509e-01, 5.956025252834e-01
                  A, 3.606756277865e+00, 2.727247063530e-01, 1.068243475402e+00,                  B, 9.895957088350e-01,-8.060844293024e-01,-1.336569662209e+00,                  B,-4.075236399381e-01, 7.049838779395e-01, 4.387696124967e+00,                  B,-1.249938341508e+00,-7.565628315227e-02,-1.379477117389e+00,                  A,-4.177113486496e-01,-6.873341561694e-02, 2.702000437651e+00,                  A,-5.854453267353e-01,-2.091247001955e+00, 1.331077639252e+00,                  B, 2.677087649396e+00, 3.532826693203e-01,-9.137767939100e-01,                  A, 2.292372202897e-01, 3.574538090681e+00,-8.947154900884e-02,                  A, 7.469164160147e-01, 3.313500077768e-01, 1.221629284530e+00,                  A, 2.278347058947e+00, 1.593263085733e+00, 8.309358964245e-02,                  B,-8.105491998963e-01, 3.163454305700e-01,-2.937507625389e+00,                  B,-1.646658763137e+00,-1.527776103378e-01, 1.009868384928e+00
